,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,Class
GSM120468,-21.6317425,-1.011280762,2.452274813,-7.054468581,1.06785517,-0.477162932,6.611874296,-1.787969904,0.525174862,-1.201025845,0.813227328,-0.098475502,0.800146102,-0.842180846,3.184548378,-0.997425367,3.821147533,-0.330591961,3.824479079,-0.525149988,0.139679743,-0.419507935,5.567995575,-0.063221344,0.477548176,-0.727871463,0.528081063,-1.744941255,-0.0169534,-0.994974026,2.225112683,-0.272985609,-0.261828246,-4.093712834,1.542938926,1.742070468,-2.235136873,-0.19072409,1.921862694,0.128046939,-4.892107424,-0.24741977,-1.049198207,2.071519685,0.551070252,1.16322342,-2.808797658,-1.881893578,-0.960466392,0.215885575,1.034220335,0.016204153,1.056921186,1.528486277,-0.572567253,-1.193606574,-0.615593611,1.049122868,2.571992622,0.533291824,1.626553087,-1.604038323,-0.179971735,-0.238874665,-1.809896372,3.201134366,1.671277241,0.570909078,2.197500144,-1.213183222,-0.209010046,-2.102392314,-1.338349028,2.621037548,1.466246585,1.467289345,-0.364684191,-0.513681805,-0.629352226,-0.531187168,-0.447213433,-0.170530898,-1.211989929,-0.087293887,1.037271337,0.393809593,0.589922776,-0.213029123,-1.45413693,-0.161750294,-0.740957778,0.853639903,0.273604675,0.510259106,-2.248386012,-0.523137708,-0.43825231,-0.111277795,1.025022653,0.147847585,-1.441298951,1.815447724,-0.097721226,0.625750684,-1.45E-14,1
GSM120475,-28.27278917,-9.488905872,-2.35365605,-2.320983756,-0.087303991,0.869337163,3.380390163,1.621799307,1.32069573,0.606815708,-2.521727863,-3.732755014,-4.006745584,-4.927610008,-2.886346924,2.559519582,2.263001182,0.599794152,-8.359595129,2.940122112,-2.03031752,0.348956825,-0.912030685,0.624068935,-1.380924156,-1.582933785,6.181024055,2.776640525,0.319948478,2.777965262,-0.743333698,-1.554274438,-1.814277373,-1.382979159,1.090565129,1.912531875,6.123745042,-4.303537682,-0.104675012,-2.81586756,-1.36627258,-0.710774816,-1.069735249,-0.433072284,2.149964263,-0.607036613,2.776001561,-0.302558704,-1.295291434,0.437116868,-0.628367453,0.904935741,1.787393174,1.060500003,-0.791716648,1.068954917,-1.702958731,0.217401499,-1.923814747,-0.099667913,1.397064555,0.394099443,-0.649207534,-2.950633679,-0.265298072,1.77032392,-1.943906878,0.07660878,1.513015508,0.891127357,2.151352688,-0.89640867,-0.127925302,0.578852839,1.22979214,1.49893467,0.528593886,-0.319400651,0.885179825,0.302647446,-1.57476692,1.125305524,0.410275238,0.503349758,-0.707423411,0.230304602,0.366719226,0.154170458,1.534952345,0.460427058,0.478574922,-0.227983445,-0.411045804,-0.232745673,0.24174649,-0.548453344,0.433154729,0.263685916,-0.227413017,0.616130811,0.054156418,-0.160780928,-0.043018178,0.089574875,-2.38E-14,1
GSM120477,-15.19681101,1.11970964,-4.711986033,-3.802460897,2.107156814,0.876180012,-2.822687744,-0.312545262,-0.273629197,0.138674882,1.668095783,-0.75307946,3.096971128,1.122517249,0.88232229,0.922347618,2.45997799,1.74851807,-0.556344254,2.644550924,-3.804605409,0.454011656,-2.002721687,-0.026454919,-1.442243415,2.434132438,-0.432174245,1.836703582,-1.980402211,1.351184472,1.684954588,1.150706073,-0.035019946,-1.39703777,-1.017999574,1.496573871,-1.363921024,0.538336188,1.431495739,1.212872359,0.194878866,0.390651537,0.72843125,3.439052051,-1.514229802,-3.028934018,1.237262269,-1.202367144,-0.004597544,1.179011191,0.872121066,1.089412431,1.122610409,-0.542284365,-0.72335758,-1.041699015,0.737748303,1.994365962,0.918689984,0.926255331,1.230495707,0.971443641,0.250075637,0.006479444,0.317536302,-1.376015642,1.199180283,1.551053548,-1.753529004,1.840584062,1.573990591,-2.465664277,3.164521139,-1.349140599,0.207537245,-2.017828763,-1.43738228,-1.08806536,-1.661836733,0.813183949,0.939374581,0.516732422,-0.817208402,-0.404028723,-3.078526214,-0.294744558,-0.391358631,1.915408841,0.96851496,0.774538508,1.117555218,0.419757989,-0.556581213,-0.242580531,-0.313851796,0.312011723,-1.177525711,3.04645801,2.219789568,-1.03776991,-0.262983827,0.567049951,0.459409922,-0.070058666,-1.63E-16,1
GSM120478,-17.27622471,-7.202905712,-4.602625555,-2.071320343,-2.806144771,-1.654942943,-1.491953062,2.283519738,0.730442433,0.091151943,3.394777066,-2.367983564,-0.137265959,-5.683020738,-1.597244856,1.088417289,0.513354006,3.865327134,0.110642623,-0.769778125,-0.288079021,-0.894807242,-0.838952902,-0.7400804,3.119954362,-1.30601372,-2.793978233,1.012971582,-0.444955907,1.568693358,-0.791367763,-0.208545978,0.857989806,0.837863346,-1.434305917,-0.428923562,-0.93315565,1.102658929,-0.35512616,-0.440073668,2.447010336,3.306293146,-1.5846375,0.295863957,1.912167119,1.980235481,2.146182606,-3.136217835,-2.611297195,1.070867387,2.862922585,0.692002799,-1.131887835,-1.7296203,-2.581091679,1.115699064,3.184357256,1.859336902,-1.278585716,-1.459741981,0.738642213,1.845286822,1.598366232,-1.156928179,0.027000654,-0.154600915,0.57904033,0.565444847,0.754478396,-1.490501846,2.221527211,2.852202896,0.075972181,1.987016496,-0.366667631,-0.756978276,0.053812238,0.331185955,-1.765537806,0.651682068,1.450053344,-3.036119216,-1.10175022,-1.581736985,3.174834955,-0.00869023,0.154694589,0.3695021,-0.411870985,0.339985364,0.15552866,0.446962681,-2.036854923,0.492440563,-0.180518078,-0.077772959,-0.431625936,-0.33170109,0.047080057,-0.358424764,-0.43110844,-0.594045393,-0.762269889,-0.317722653,-2.76E-15,1
GSM120481,-16.45608533,-5.543290549,0.452100568,-0.387465991,2.645601841,-1.974402935,2.056914418,0.679481541,-1.207552328,1.315384305,3.397599844,0.727563179,3.806749047,-0.025002532,-0.10222895,0.587366902,-1.339106004,0.041242627,-2.619570971,2.585892068,-0.763292737,-2.073964865,0.623128029,-3.374714773,-0.140456569,-1.454661341,-2.535375518,-0.627712171,3.504800318,-0.356435046,-0.059418367,-0.842924203,1.50652796,-0.658693511,-1.222257946,1.062192036,-0.507269982,-2.850967668,0.958829477,0.95863039,2.600145557,-1.535086894,-3.589419471,1.06535864,0.202784532,1.436028698,-0.197614962,1.006024652,0.715845905,1.480063575,-2.309973741,0.940028105,-0.591640544,0.647245209,0.704666037,1.107286959,1.090006273,0.4884607,-2.722919258,-1.927437624,-3.102645094,-2.786844003,-1.524942919,0.026332915,-1.589670336,0.122059455,0.092355081,-0.707295429,-2.357392851,0.993656894,-1.10704231,0.164162359,0.538366776,-1.388222344,-1.419326415,-0.87586881,0.508843335,-0.993716153,3.026620057,-0.186247681,1.128040096,0.872682239,0.685487582,1.204383245,0.846751595,2.512831081,0.855238804,0.738968043,-1.551740363,-2.389957278,0.647535832,0.328192187,-0.972711716,-0.155020275,-1.406757212,-0.196621187,-1.474081367,1.176093451,0.489040348,1.362401797,-1.432410457,-0.039663796,-1.261103059,0.085018878,2.78E-16,1
GSM120484,-12.75014639,1.42039295,-11.27992159,3.159518753,6.348584037,3.770710803,-2.370279728,-2.728988111,6.126604747,0.560629943,1.824108034,1.244624038,4.428201319,0.070054268,-1.392635817,-1.430093087,-1.953103886,0.246950622,-3.350644638,0.599809284,0.248942913,0.401306795,-1.402079034,-4.533552965,-1.130922614,1.64413527,1.506995485,1.237281147,0.331802591,0.988280726,-2.643662601,-1.386014661,-1.620218222,-1.580322662,-0.729064144,-2.371332891,2.810157145,0.48249672,0.085757995,0.687315219,0.796804918,-3.292427549,-0.926621309,1.318178207,-0.785886084,-1.402646583,0.163818398,1.811411938,1.267139884,1.181808765,1.002937994,0.863703914,1.217339544,-0.51102213,0.07999935,-2.420000572,0.077925754,-3.028864054,2.43009392,-0.81558604,-0.185522084,1.739556965,-0.046938747,-0.575055474,2.138724226,0.039863503,0.438670132,-0.301835413,1.28056936,-1.913848701,-3.68809466,-0.618837057,0.154992264,0.448594375,-1.420784509,0.733699934,0.267996449,0.517377551,-0.071118294,1.964762162,0.312634293,-1.175068468,-1.834630556,2.185635586,1.133197019,-1.459228346,0.942181492,-0.950679606,-0.609818011,0.690802218,0.404039615,0.556407429,-1.136541373,2.191155182,0.662933543,0.740976867,-0.179686245,-0.453233395,0.428116773,0.865892725,-0.605650229,1.241854027,0.320069571,-1.084010487,-7.88E-15,1
GSM120486,-18.07702566,-2.777410005,-0.278210509,-5.451533625,2.752248452,3.47241747,-2.811975762,-0.221556652,1.560628105,-3.375558158,-1.463917492,-4.213700381,1.975648548,0.754032705,-0.334830637,-0.468428269,4.555476102,0.603524981,-0.302588585,-1.276503899,2.029137294,-0.190311295,-0.896906087,-0.361846019,-4.377523478,-1.202556397,-0.385974642,1.336339738,-1.537126126,-2.527918387,0.705400446,-3.73724504,1.238975922,1.120166001,-4.883572529,2.043664957,-0.245482367,-0.450167078,1.685732732,-1.1652241,2.38263161,1.611611002,1.015831547,-0.219740037,2.50914836,1.913795043,0.844340251,-0.919844415,2.337818431,0.755393039,-1.488194239,-0.6320501,-0.86877066,2.494734917,-0.56881306,0.113592398,-1.116577813,-0.106626991,0.861319188,-2.374511049,-0.632060491,0.869574814,0.162026522,3.808446219,-1.953373391,0.522625835,-0.779229478,0.684539676,0.897343229,0.807811984,-2.745177345,1.692452437,-0.962604661,-3.824470161,2.487863369,1.186329499,0.709064712,-0.633905944,-0.597853093,-0.366228159,-0.919182397,-1.611597913,-2.055467208,0.16634421,-0.950839314,0.639027784,0.462695383,-0.32916022,-0.615905073,2.1503392,-1.091272881,-0.837468298,0.654104288,-0.154573012,-0.344451199,-0.491045576,0.025205143,0.037648453,0.460613101,-1.021783721,0.368828072,-0.84806074,-0.362686208,-0.481790871,-4.49E-16,1
GSM120487,-6.611094907,8.780517288,0.094821862,-3.56198822,-2.898055552,-2.207896487,-0.141144305,0.338213376,2.574081299,-1.389044888,-3.302349776,1.159842857,1.865550993,-0.262424313,1.226295012,-3.154973089,0.164964737,2.128053699,-1.125745209,1.86049297,0.582990592,-2.161347207,1.962628614,-1.084660618,-0.446441031,-0.397320581,1.214825489,-0.8419673,-0.047333731,-0.524172259,-1.896922198,-0.796826913,-0.359642223,-4.106031795,-3.32531269,0.23039487,-0.751965196,0.556578924,-0.021376902,0.685521675,-0.836862178,-2.099234896,-0.227157067,0.47920009,0.687289585,0.165601527,-0.551026053,-1.187297384,-0.968081811,1.573512357,-0.738586117,-1.912478511,-0.258834476,-0.230187696,-2.540393375,-0.397097732,-0.703369002,0.136228363,2.378479723,-2.186824875,-0.842900844,0.556307922,1.52903284,-0.095049599,0.107539522,-0.30664968,2.079630365,-2.215533532,0.202391424,-1.064002821,1.714798813,-0.754599277,2.582055402,-1.674500677,-1.1518721,-0.828545719,0.926089627,1.714253631,2.133695144,-1.576581111,-2.260532198,-0.375201302,2.911198341,-1.128646652,1.179074694,-1.163441349,0.948856294,0.539288714,1.104188689,0.28802628,0.783108552,-0.011596068,0.071574388,0.565334123,-2.139884159,0.419258183,0.267646546,1.070821213,-2.925380035,-1.207801114,1.137755806,-0.648319419,0.456616926,-0.638283059,4.57E-15,1
GSM120488,-13.00652778,0.332301372,-0.7072595,-3.434155632,3.389187519,2.241437282,0.121495637,0.136014991,-3.418691383,1.233881429,2.822226724,1.427921416,2.029635929,1.561993952,-0.907854177,-0.458923128,-0.154659785,-1.49063951,-0.639852474,-0.072916604,-1.602747508,1.145849235,2.004065415,1.00395111,-2.270180772,0.048143014,1.024776831,1.812387907,-2.009356904,-0.211792855,0.099896045,0.508281097,-0.008748751,-0.873791492,-0.524003928,-1.740863113,-0.988083062,-1.318432656,-2.102386881,0.681918683,-0.373696999,-0.206596543,0.665019531,-1.598030418,1.692341333,0.349581577,-0.122586337,2.000306272,0.142285259,-0.755925769,0.079278207,-1.149306192,0.394027404,1.15457177,0.347915739,1.645163294,-0.016995538,0.081771302,-0.515772303,1.20991233,-0.431585263,-0.61261742,0.969624228,-0.718812988,0.171995496,-2.328462641,-0.111819831,1.517358011,1.309938283,0.269145067,0.280852572,-1.975329922,0.495493594,-1.1147741,0.486135748,-1.48838337,-0.252321544,2.037592075,-0.528462727,1.261588258,1.065444074,0.336262626,-0.257973975,-5.14027115,-0.207013913,1.770247923,2.481192219,-0.060891061,0.742309358,-0.540264692,-2.097220333,-2.410315782,-0.071024772,1.209400444,0.187100854,1.230611456,-0.846089904,-1.496908398,-0.628902293,1.396848225,0.849208084,1.916321515,-1.593763275,-0.825967221,3.29E-15,1
GSM120493,-28.66445894,-3.441671752,-4.16932348,1.740377682,-2.771599547,-0.8561006,4.350730576,-3.284024032,1.11718808,3.028227166,3.457045336,2.277823129,-0.755130398,3.975765455,2.708188854,6.109163442,-3.888643624,1.514910034,-0.783613194,-1.40552457,-1.03340702,-2.140097304,-0.113000589,0.863563922,-0.870934545,0.662113749,2.755862237,2.359515072,1.579950814,0.15935144,2.6745391,-2.194210404,1.456922635,3.067221513,0.93779032,0.061684207,0.138851116,-0.756649943,3.784914335,-1.84227275,0.425882958,-2.836671696,-0.277265406,1.446339418,-2.009518744,3.827935885,-2.199453936,-3.709693785,0.925952438,0.718404691,-0.913837133,-2.137664538,2.866141793,-0.660341634,2.530945687,-1.498796069,2.559606185,-1.683437807,0.451291781,-0.94086103,2.835302962,-1.797557392,-0.010395805,0.73785216,2.041045877,-0.507222924,0.588859385,0.943595534,-2.824383922,-3.013027105,0.875439253,-0.652198433,-0.700470673,-1.34768425,0.64315214,0.423808713,-0.597359051,-0.040535846,-1.049395352,-0.230046644,-0.568608275,0.251828676,0.054119284,-0.909809275,0.607070295,0.384003636,-1.378825603,-0.605740164,0.790899309,-0.438555665,-0.148144184,-1.273603327,-0.575800228,-0.403359374,-0.172288136,0.780551043,0.858344724,-0.471668661,-0.156848206,-0.127064438,0.909066079,-1.161819107,-0.042849771,-0.18944253,-4.92E-14,1
