X,GSM120468,GSM120475,GSM120477,GSM120478,GSM120481,GSM120484,GSM120486,GSM120487,GSM120488,GSM120493,GSM120495,GSM120496,GSM120500,GSM120505,GSM120506,GSM120508,GSM120518,GSM120524,GSM120529,GSM120537,GSM120541,GSM120543,GSM120544,GSM120545,GSM120551,GSM120555,GSM120558,GSM120560,GSM120562,GSM120569,GSM120570,GSM120571,GSM120573,GSM120597,GSM120598,GSM120599,GSM120601,GSM120604,GSM120625,GSM120626,GSM120627,GSM120630,GSM120632,GSM120633,GSM120637,GSM120469,GSM120470,GSM120483,GSM120485,GSM120489,GSM120492,GSM120494,GSM120497,GSM120498,GSM120501,GSM120503,GSM120510,GSM120512,GSM120515,GSM120516,GSM120520,GSM120522,GSM120526,GSM120528,GSM120532,GSM120534,GSM120536,GSM120539,GSM120540,GSM120542,GSM120546,GSM120547,GSM120548,GSM120549,GSM120550,GSM120552,GSM120553,GSM120554,GSM120556,GSM120557,GSM120559,GSM120561,GSM120563,GSM120564,GSM120565,GSM120566,GSM120567,GSM120568,GSM120572,GSM120592,GSM120593,GSM120595,GSM120596,GSM120600,GSM120602,GSM120603,GSM120605,GSM120606,GSM120628,GSM120629,GSM120631,GSM120634,GSM120635,GSM120636,GSM120639
61,-0.08449116,-1.159193267,0.512463378,0.155624766,0.443599332,0.576331488,0.782847286,1.508987363,0.434089832,-0.271718354,0.413769274,-0.875812687,-0.308701594,1.36992263,1.648707201,-0.024817134,0.585924771,1.512615125,0.547786254,0.350860339,1.415504337,1.057441418,1.187436839,1.603577319,1.716813681,0.700221856,2.521484046,0.975317096,0.747499638,0.2750471,1.185840174,0.462900527,0.295352768,0.965887218,0.627786454,1.39749134,0.833028359,0.020608179,0.416247846,0.861205126,0.796165973,1.083323209,1.21361542,1.02222269,1.164629943,2.456122976,1.150687113,2.120888922,2.225764246,0.818648461,0.811713941,1.354207467,1.737474081,2.032848556,1.819885572,1.47487007,1.437695195,1.290824472,1.72156038,0.952040457,1.679127414,1.621323291,1.014294605,1.95310689,2.061084572,1.897374524,1.394679308,0.681610611,2.328094015,1.656787587,1.195572409,2.240624701,1.449560154,0.80863616,0.03257871,1.189476418,0.865356103,1.335111218,1.029696231,1.080150926,0.881006314,0.261245101,0.070315978,3.312083395,1.621846365,1.601183554,0.659521325,1.818461003,1.801223759,2.227802185,1.968984709,1.328010951,1.37748427,1.37401468,2.325884224,1.236320041,2.680961753,1.056959035,0.487071217,2.184054956,0.712282834,1.228481575,0.713827981,0.866551889,1.775914084
67,1.297544041,1.114372922,0.779489514,2.827990349,1.50421649,1.230669169,1.112656259,0.994108407,1.930174679,2.345814677,1.964888932,1.285207213,1.509368982,0.732675055,0.878097285,2.319970228,0.632752098,0.966405117,1.517842933,1.855907005,1.085100182,1.145578465,1.959962198,0.550919618,0.746351185,1.20249089,-0.531728412,0.838120915,1.734586875,0.772428774,2.255836312,1.036686704,1.250267735,1.150389509,1.887354159,1.052201902,2.588290846,1.628878356,4.609157523,0.672794977,1.036003465,0.87605756,0.688057855,0.71973295,3.23664508,-0.397045109,0.325835698,0.329595979,-0.098274204,0.429159558,1.246547557,-0.450659482,0.137512058,0.11793631,0.018406095,-0.431095775,0.772428774,-0.129873644,0.590095503,0.700929223,-0.230984246,-0.324722864,0.762936258,0.913794972,0.156153122,0.596244719,0.909233402,0.976483458,0.284434747,0.865358147,-0.325149149,0.493550949,0.457253377,0.242019689,2.49378386,1.13965428,0.254468446,-0.399546107,0.580335813,0.632712449,-0.240070638,-0.617973351,-0.047745901,-0.27397405,-0.141183316,0.765368033,1.490715921,0.798488608,-0.036178441,0.330968649,0.194717897,0.983476873,-0.193497054,0.45774449,-0.155852261,0.316521936,1.206298926,-0.208416443,0.772428774,1.879729285,1.217066241,0.933545456,0.193203189,1.768375707,-0.223547425
107,-2.30077253,-3.543289358,-1.32711376,-1.861764463,-1.722928515,-1.901884268,-2.446246594,-1.373355163,-1.457077208,-1.479571639,-2.789658263,-2.496111137,-2.474424442,-1.439283865,-1.599299077,-1.265397055,-1.247696286,-1.816403012,-3.342101322,-1.95251837,-1.313122729,-1.972628054,-1.277897785,-1.321545716,-1.202700215,-2.26286413,-0.520917829,-1.916356507,-1.79958205,-2.210364807,-2.798618288,-2.313601965,-1.727760586,-1.835833811,-1.560077703,-0.82699578,-1.971642855,-2.359941019,-2.067741447,-0.667189502,-1.185799469,-1.32711376,-1.273858284,-2.958257042,-2.638069264,-0.631785247,-2.030973912,-0.921365212,-1.045054045,-1.019076905,-1.762230117,-1.075967086,-0.990706688,-1.183118745,-1.588106287,-0.539946436,-0.537297456,-1.563364645,-1.32711376,-2.051830542,-0.336473932,-0.456754142,-1.227302881,-0.784730384,-0.486686523,-1.736041461,0.128410591,-0.809106518,-0.887008031,-1.265808561,-0.442683851,-1.064724426,-0.412622346,-0.5035733,-1.654763096,-0.805716331,-0.641128343,-0.661769862,-2.192534608,-1.407235388,-1.32711376,0.086735493,0.185313156,-0.172833958,-1.482163083,-1.363221729,-0.9418171,-0.398185005,0.208657675,-1.250682142,-0.39133922,-1.738813178,-1.378730696,-0.372202594,-1.074778199,-1.673433054,-2.874743002,-0.207198875,-1.32711376,-1.230968065,-1.621371062,-1.32711376,-1.248996382,-1.681241319,-1.32711376
130,0.658488675,-0.008265785,1.172304922,0.185131718,0.474673281,0.625723602,-0.120314027,1.562140554,-0.017850279,0.234213498,0.297540621,-0.339793281,1.172304922,1.775201004,1.050016817,0.563894084,0.812896308,1.380378012,0.549997233,-0.052203136,0.663369579,-0.52871452,0.577681537,1.193147568,-0.102830739,0.956503642,1.956852085,0.53232559,1.842327091,1.172304922,0.46476793,2.339549126,0.657376374,0.911479813,0.431558147,0.651703183,1.603910782,0.360819003,1.319824719,0.455848937,1.230100452,0.585303895,1.237965763,0.14011237,-0.568234028,3.491442214,-0.265932935,1.536347274,0.574536322,2.384649421,0.861180057,2.012001739,1.172304922,1.67574553,1.267503358,1.56195525,3.540822581,1.263765744,1.399289147,1.174524784,2.09499318,1.550034845,2.548257876,0.734496375,3.261000495,1.666268627,1.938302645,1.964937525,-0.51142798,1.396441407,1.644674331,1.763640142,0.840629809,2.199785785,0.547334127,2.139487789,0.981754205,1.976222303,0.907746534,1.066044634,1.172304922,-0.196011883,1.279820905,1.675778083,1.844644339,1.499287167,0.180644694,1.78156285,1.456699042,1.758734056,1.17008506,0.846033671,1.692448419,3.180499913,1.518244286,1.599366921,0.168055323,0.245778551,1.172304922,1.231682561,0.846361116,1.172304922,2.416330893,1.067584471,2.443534844
214,0.75726892,1.273070254,0.214461378,1.047959086,0.768719857,0.597770997,0.287718161,0.517970272,0.204378395,0.866327731,1.440429868,1.362527914,0.439483975,0.184395456,0.991200406,0.78008562,0.279165876,0.835550421,0.87646169,0.690573596,-0.004789652,0.643161049,0.381063459,0.585429102,0.234684879,0.165381403,0.58331124,-0.180106086,1.074912731,0.451769844,1.048341409,0.976816986,0.920233987,0.865797051,0.784223539,0.802299432,1.103914082,0.748251477,0.856615159,1.31350251,0.172089311,0.385476699,0.850405545,0.427807875,1.027088403,0.515363354,0.999441791,0.161129341,-0.05716762,0.363193137,0.154221225,0.853078504,0.639219762,0.167271904,-0.405281039,-0.562241198,0.313912084,0.430618744,1.037193825,0.448349205,-0.672718107,-0.228369494,0.155214429,0.523020073,-0.138492712,0.468669904,0.164302306,0.400572879,0.305380896,-0.828694577,-1.172493906,0.053660715,0.398100707,-0.038214071,0.965969397,0.487830204,-0.557958274,0.280672235,0.814642232,0.554030107,0.028933855,-0.420006958,-0.692286081,-0.015144411,0.534206217,0.392835737,0.794026996,0.555955343,-0.084711132,0.19562813,0.520514364,0.5836239,0.681355606,0.300536134,0.299836765,0.339414767,0.623585593,-0.374072887,0.28971672,0.588885151,0.07929921,0.266181006,0.137525063,0.692844686,0.22942637
298,0.500873952,-0.003615837,0.46666718,-0.498093276,0.856091745,-0.899456606,-0.487043347,0.788585146,0.253362116,0.423941997,-0.083189019,-0.196156621,-0.364527676,0.335538075,0.333999688,0.670457884,0.710940993,0.943332725,-0.270709162,-0.295529709,-0.074588424,0.248702132,0.184475337,-1.136247323,1.391840789,0.201824556,2.031864926,0.289998828,-0.012413218,-1.467023846,0.505539767,-0.986277577,-0.352351255,-0.097367156,0.316640772,-0.30216142,-0.896680178,-0.436991825,0.42533437,0.427927984,0.506749277,-0.069312669,0.770576995,0.170214289,0.147756312,0.529829171,0.290013715,0.582847891,1.591381967,-0.276763139,-0.002230639,2.691227481,1.857303071,0.967268238,0.434564974,-0.165266138,0.698710458,1.256907874,0.472279695,0.099774953,0.560524364,-0.75996409,0.246039938,1.117021488,0.46666718,1.563158906,0.113885453,1.467102793,2.652346875,0.871737347,1.480054794,1.783110759,1.335446012,1.659615201,0.46666718,0.775370585,0.576177874,0.699377202,1.291754839,0.782267966,0.171449752,0.827189546,1.327498191,1.148801188,1.196180789,0.262625343,0.46666718,0.603393691,0.682264051,1.037343212,0.45013212,0.647263582,1.690964104,0.46666718,1.180782473,0.568653507,0.846255592,-0.985856279,-0.198169495,0.653533431,1.81896515,0.776982284,0.338238671,0.369750732,0.317867899
335,-1.117325369,-0.055094086,-0.128903537,0.00991974,-0.571617144,0.253242926,-0.620656996,-0.105022018,-0.125670059,-0.758120131,-1.053507869,-0.908603436,-0.107119255,-0.122792867,-0.278356823,-0.754668486,0.193383135,-0.950288849,-1.32036322,-0.364515786,0.523201217,-0.408222711,-0.545063356,-0.23713973,-0.04719549,-0.13840177,-0.430365681,0.493828725,-0.367728778,-0.554162877,-1.22668756,-0.01233656,-0.56714209,-0.274577671,-0.169694444,-0.367071555,0.383969398,-0.147472862,-0.407952255,-0.538916368,-0.304274444,0.470386116,-0.450601989,-0.987081888,-0.605710392,0.201759891,-0.762141447,0.780531696,-0.012414745,0.717066334,-0.053601873,2.290407571,0.705732614,1.439312289,0.306088102,0.670803004,-0.171409221,0.267170222,-0.042688297,0.255551298,0.783030226,0.241131356,-0.553661829,0.11676875,0.037063762,-0.109997404,0.755735838,0.545837627,-0.179170559,0.048510863,1.498173254,-0.170943578,0.807218291,-0.289325036,-0.389526116,0.66462968,0.907100754,0.481902831,0.472203818,-0.432314923,-0.662636167,1.412117351,0.089184354,0.252093598,1.280484955,0.065569851,-0.107119255,0.256056712,1.399877567,-0.245799177,0.267825171,-0.163506433,-0.109216492,-0.192675101,0.798707501,0.904546072,0.071988276,0.281848073,-0.107119255,0.187771912,-0.318131935,0.25180178,-0.295654711,-0.717419194,-2.00298726
349,0.908497884,1.979683455,1.101329111,1.82934544,0.575878511,1.398198469,0.913980049,0.814868699,0.713813362,1.291185421,1.867614585,1.001875998,1.959095618,0.505802852,0.566453977,1.061920115,0.938332271,0.452107691,0.852213815,0.753186814,0.914622087,0.712221363,1.07035792,0.695601915,0.021190557,0.591293065,0.82713247,0.153207082,1.122758937,1.465903554,1.139902213,1.463597628,1.113277496,1.457724935,1.654260267,2.173963813,1.488382341,1.078331308,1.58103467,0.798000725,1.35842006,0.701111043,0.577038819,0.359639117,1.497001683,0.000683237,-0.226664588,0.291229681,-0.083662654,0.555245422,1.500459167,-0.052115334,0.802715705,-0.382408807,0.423606682,0.592545759,0.754023056,0.462573169,0.724486147,0.447581965,-0.08951312,1.583699,0.665209751,0.989037743,0.854176775,0.622879636,-0.001166074,0.313967127,0.378417918,0.357294379,-0.727581038,1.003689927,0.027327369,0.308840724,1.255316698,1.178906693,0.110301404,0.762620738,-0.018559796,1.030351309,0.096098867,-1.016771284,0.282981288,0.849153889,0.386009763,0.674171317,0.901472623,0.568491944,0.281861485,-0.185955771,0.775976078,0.805211949,-0.096666817,0.976222438,0.546569952,0.666167691,-0.018173471,0.016126378,1.249316609,0.67494511,0.134567103,-0.343354,0.824432268,0.775822902,0.173204709
484,-2.009699106,-2.363009335,-2.26141139,-1.921978489,-1.709449414,-2.55638749,-1.732688046,-2.963575302,-1.583780142,-1.845197309,-2.250279659,-1.982871932,-1.322056562,-1.34764584,-1.350286563,-1.507851693,-1.372851436,-2.453784752,-2.305518798,-2.217776639,-1.213193171,-2.350093648,-1.876827232,-1.526102248,-1.709371792,-1.302927182,-1.639692861,-1.64640806,-1.966035775,-1.819369517,-2.420161291,-2.22580483,-1.734640982,-2.09013926,-2.161188026,-0.695560213,-2.113363896,-1.988304812,-1.687483998,-1.575379673,-1.946806408,-1.818451632,-2.046911792,-2.564957448,-2.630064311,-0.504411416,-1.611016152,-0.759142485,-1.023363581,-1.578880274,-2.066496072,-0.488515544,-1.443520246,-0.146063932,-0.78411251,-0.312945486,-1.361822423,-1.718606365,-1.925005588,-1.54502034,-0.660389411,-0.076374437,-1.582380874,-1.447840264,-0.650617708,-1.716144283,-1.010856221,-0.289491912,-1.148738338,0.256594048,-0.260362672,-0.920533221,-1.809625152,-0.355359131,-2.799352779,-1.36397858,-0.610927946,-0.077254109,-0.784058142,-2.191069836,-1.070615423,-0.036916761,1.116411056,-1.075344972,-1.449359161,-2.089710408,-1.159975049,-1.208150728,-0.307112838,-1.863222901,-1.334401984,-1.836674214,-2.251422701,-1.578880274,-1.366017569,-1.318435283,-1.101359721,-0.268319376,-1.229595434,-1.732877594,-0.897449594,-1.578880274,-1.591152003,-1.526517486,-1.810519858
548,-0.234372573,0.628715158,-0.340153364,-0.024270688,0.723556207,-0.05553574,-0.083906032,-0.214855576,0.163011041,0.381113234,0.088032911,0.275842307,0.3208468,-0.253054337,0.639085226,-0.017528748,-0.161235397,-0.236254185,-0.082550128,0.051634575,0.524704007,-0.271049025,-0.131711081,-0.382281216,-0.022935156,-0.388434707,-0.089443164,-0.159992939,0.38707415,-0.028429435,-0.119684683,-0.256450582,-0.247027844,-0.104748713,0.529710973,-0.002528527,0.696806387,0.161178771,0.507353084,-0.141334959,0.161068657,0.221294495,-0.004206385,-0.562819924,0.431872497,-0.324628799,-0.494361679,-0.435035756,-1.19423736,-0.479853532,-0.024071995,0.246783452,0.298360011,-0.447403522,-0.146775778,-1.101244245,-0.421096519,-0.24738112,0.011092668,-0.504793088,-0.15683924,-0.716407061,-0.369801963,-0.392013331,-0.327372588,-0.46758522,-0.007759317,-0.683075878,-0.620661589,-0.706447615,-0.69256242,0.171630467,-0.277829916,-0.173615517,0.341526798,-0.252621128,-0.404386315,0.3533141,-0.71136459,-0.0721811,-1.085819425,-0.490242358,-0.33385324,0.174879049,-0.653220761,-0.063400499,0.509284856,-0.293176066,-0.330375654,-0.661547025,-0.389924136,0.10145548,-0.373458733,0.202884162,-0.330678848,-1.013046358,-0.357008692,-0.131288991,-0.205560987,-0.033668211,-0.293734242,-0.697706522,-0.113201549,0.035528407,-1.005425575
