"","Gene","p.value","Adjusted.p.value"
"1","61",5.40966105712687e-07,0.008749585793797
"2","67",5.38319975439838e-09,8.70678728276394e-05
"3","107",6.8426788228527e-09,0.00011067348728082
"4","130",1.54512890809294e-06,0.0249909149594953
"5","214",2.59759006130628e-07,0.00420134216515677
"6","298",2.04732129431744e-06,0.0331133746142903
"7","335",4.0590527606301e-07,0.00656511193504312
"8","349",1.46303831669071e-08,0.000236631817341555
"9","484",4.89547886238069e-10,7.91794751201453e-06
"10","548",3.8558926597637e-07,0.00623652078790181
"11","647",1.69155107457409e-08,0.000273591470801613
"12","694",1.12139860102491e-06,0.0181375009729769
"13","768",1.95055999336052e-06,0.031548357332613
"14","787",3.28673590800235e-07,0.00531596665760299
"15","834",6.53973939895865e-12,1.05773745038757e-07
"16","872",5.38442913300128e-07,0.00870877567971627
"17","884",4.37473194725235e-09,7.07569145148595e-05
"18","917",8.51904270327945e-10,1.37786996682842e-05
"19","984",3.99002087035765e-09,6.45345975571646e-05
"20","1012",2.40036474864546e-08,0.000388234994445917
"21","1161",1.09194794758486e-06,0.0176611661042375
"22","1202",1.33456050406196e-08,0.000215851815926982
"23","1240",3.77780131192145e-07,0.00611021584190176
"24","1289",4.40405466925234e-07,0.00712311802204874
"25","1477",1.18539531388562e-06,0.019172583806786
"26","1513",1.46137971065418e-08,0.000236363554401207
"27","1514",8.21442800447184e-07,0.0132860158544327
"28","1539",7.9875088643919e-07,0.0129189968372675
"29","1569",7.83857402334811e-08,0.00126781096253632
"30","1581",1.02977735475703e-06,0.0166556189358402
"31","1617",1.45436777465872e-06,0.0235229443873302
"32","1674",1.1519339421678e-07,0.0018631379580622
"33","1713",5.36270833482369e-07,0.00867364446074383
"34","1716",8.20271676353842e-08,0.0013267074093347
"35","1793",3.99727947666367e-09,6.46519982555581e-05
"36","1814",1.32250203388031e-07,0.00213901478959801
"37","1815",4.04446111095613e-07,0.00654151140086044
"38","1886",2.30556537743888e-07,0.00372902144146964
"39","1919",1.96399453885249e-07,0.00317656476714002
"40","2047",4.49923669755426e-13,7.27706543462426e-09
"41","2053",1.18751174785788e-07,0.00192068150098533
"42","2069",4.15178329516647e-10,6.71509430160224e-06
"43","2083",3.48535545740958e-07,0.00563721391681425
"44","2163",1.84947593121665e-07,0.0029913423711498
"45","2178",2.39327739728305e-06,0.0387088686236561
"46","2240",1.23343006670586e-10,1.99494978989006e-06
"47","2333",1.86539754062123e-06,0.0301709398220078
"48","2352",6.53299321362017e-08,0.00105664632237093
"49","2375",6.05251396025442e-08,0.000978933607931551
"50","2419",7.85878411718911e-08,0.00127107974311417
"51","2430",1.37217073966353e-07,0.0022193489543318
"52","2462",7.00491307020085e-08,0.00113297463997429
"53","2500",2.95227652464074e-08,0.000477501205095393
"54","2593",1.53012607283361e-06,0.0247482591020109
"55","2619",1.42805135637866e-06,0.0230973026380684
"56","2680",1.65054327483955e-06,0.0266958869272548
"57","2706",2.7319882144541e-16,4.41871773805806e-12
"58","2729",2.9180675897476e-07,0.00471968251965777
"59","2733",2.84654446077874e-06,0.0460400101086353
"60","2752",5.59856185416483e-07,0.0090551139429262
"61","2822",8.88191459262285e-07,0.0143656086621082
"62","2842",2.37351229172297e-06,0.0383891878063274
"63","2876",4.33583019115871e-07,0.0070127717511801
"64","2900",1.94014461000614e-08,0.000313798989222394
"65","2920",3.30244559888834e-19,5.34137551164201e-15
"66","2973",2.84709363666814e-13,4.60488924794704e-09
"67","2996",9.38997580608125e-07,0.0151873468687558
"68","3000",3.08432347714086e-08,0.000498858479192763
"69","3003",1.3159098918229e-07,0.00212835265903436
"70","3049",1.41937336389955e-06,0.0229569447877114
"71","3203",2.00779338493012e-07,0.00324740502078597
"72","3283",3.01473363931657e-14,4.87603018823063e-10
"73","3303",1.20842988857637e-07,0.00195451450178342
"74","3352",1.4367463901045e-06,0.0232379361135502
"75","3382",9.30062789206736e-07,0.0150428355526297
"76","3384",8.10410017292903e-08,0.00131075716196954
"77","3389",7.03685146344531e-07,0.0113814035569764
"78","3443",2.98666637421616e-06,0.0483063419365721
"79","3482",2.1829713466946e-09,3.53073785614385e-05
"80","3515",1.76642746868954e-06,0.0285701978785846
"81","3533",8.51768478375263e-09,0.000137765033692415
"82","3544",1.38042530128435e-07,0.00223269988229731
"83","3563",1.60445880827247e-06,0.0259505167649989
"84","3593",7.69255300528199e-07,0.0124419352307431
"85","3637",3.68156226032374e-08,0.000595455879984761
"86","3764",3.03315694260028e-07,0.0049058280389617
"87","3766",2.74825488893675e-06,0.044450274573663
"88","3778",6.7699761185206e-08,0.00109497593740952
"89","3788",1.54494699066181e-07,0.00249879726269641
"90","3801",7.11207889073157e-07,0.0115030763978692
"91","3803",6.13671753153463e-07,0.00992552693550411
"92","3828",1.47370311143436e-11,2.38356741243394e-07
"93","3836",4.80519493482684e-07,0.00777192228758893
"94","3875",2.07920170425237e-12,3.36290083645778e-08
"95","3880",1.67536038361528e-10,2.70972788445935e-06
"96","3935",9.53072721809951e-07,0.0154149982025541
"97","4084",2.06914685628274e-06,0.0334663812535171
"98","4100",4.46173398861315e-10,7.21640855318291e-06
"99","4152",2.01242897809059e-06,0.0325490262916371
"100","4240",1.41311823199257e-06,0.0228557742842478
"101","4243",7.64870687058385e-08,0.00123710184924823
"102","4251",7.20496534523802e-09,0.00011653310949388
"103","4296",4.04512269561605e-07,0.0065425814478894
"104","4321",1.23976696184722e-08,0.000200519908409169
"105","4359",2.29771171355498e-14,3.71631892550382e-10
"106","4366",1.3489754767339e-06,0.0218183293606941
"107","4373",1.66137395877369e-09,2.68710624092057e-05
"108","4404",3.81341431517163e-11,6.1678163133586e-07
"109","4413",1.4260315987603e-11,2.30646350783491e-07
"110","4459",1.29312746970375e-07,0.00209150436949884
"111","4464",1.2934518059135e-06,0.0209202895088449
"112","4471",1.29501244121096e-06,0.0209455312241461
"113","4504",6.67538413721224e-07,0.0107967663035271
"114","4505",2.61603500523091e-07,0.00423117501746047
"115","4507",1.18157527896676e-06,0.0191107985620084
"116","4532",3.11969372347202e-09,5.04579262834364e-05
"117","4570",3.19225705466195e-07,0.00516315656021024
"118","4584",6.06758960008469e-09,9.81371941917697e-05
"119","4627",8.25879378193691e-07,0.0133577730629048
"120","4677",1.40251571475535e-06,0.022684289170453
"121","4810",2.03026877455303e-08,0.000328375671596207
"122","4859",8.78266961991073e-08,0.00142050898432436
