"","Gene","p.value","Adjusted.p.value"
"1","1",0.000226415922753765,1
"2","2",0.000206443273403434,1
"3","6",1.09575639557305e-05,0.177227639419986
"4","12",4.050086385605e-05,0.655060972007753
"5","13",0.227057335194211,1
"6","15",0.265660110922555,1
"7","16",0.261338975118366,1
"8","17",0.0120683145317633,1
"9","20",0.506102464925651,1
"10","25",9.59108666638574e-05,1
"11","28",0.257429557107431,1
"12","33",0.0794625800951771,1
"13","34",0.000710509419621311,1
"14","36",0.840646609570871,1
"15","38",7.51115899169326e-05,1
"16","43",0.759860922086893,1
"17","46",0.0237361407036096,1
"18","49",0.406765768743473,1
"19","52",0.000645588738757567,1
"20","54",0.561564316512879,1
"21","55",0.0569073885983121,1
"22","56",0.934691109591516,1
"23","58",0.410873465469829,1
"24","59",0.00213596450861336,1
"25","60",0.190037622799301,1
"26","61",5.40966105712687e-07,0.008749585793797
"27","62",0.820478918207707,1
"28","63",0.143052837353951,1
"29","65",0.731753315977252,1
"30","66",0.0652208135043571,1
"31","67",5.38319975439838e-09,8.70678728276394e-05
"32","68",3.02317264957683e-05,0.488967944342556
"33","72",0.0274240053928236,1
"34","73",0.958068274769166,1
"35","75",0.0308087760089535,1
"36","76",9.71876795718554e-05,1
"37","80",0.649211593231294,1
"38","83",0.34664571362792,1
"39","87",0.190518686446931,1
"40","91",0.0390669333523297,1
"41","92",0.00416460756406919,1
"42","93",0.929558494470514,1
"43","95",0.136142357834967,1
"44","107",6.8426788228527e-09,0.00011067348728082
"45","108",0.48625002970959,1
"46","109",0.473167770465298,1
"47","110",0.146781709367994,1
"48","111",0.565337370128635,1
"49","113",0.65614996523182,1
"50","116",0.0126417664891947,1
"51","117",0.935519133468261,1
"52","118",0.77079379004462,1
"53","119",1.25481372816156e-05,0.202953572392851
"54","120",0.93108283285752,1
"55","122",0.527015475491541,1
"56","126",0.438555536821511,1
"57","128",0.00255492643330852,1
"58","130",1.54512890809294e-06,0.0249909149594953
"59","131",0.0294468725330584,1
"60","132",0.0946344084013653,1
"61","133",0.283629760010505,1
"62","135",0.724118635040835,1
"63","136",0.00652928423651025,1
"64","137",0.000961253670010648,1
"65","141",0.841564966037495,1
"66","146",0.550500422523996,1
"67","147",0.00883833022963064,1
"68","148",0.137630279008173,1
"69","154",0.266545452389684,1
"70","156",0.157760896350557,1
"71","163",0.877181857020902,1
"72","165",0.801101826702588,1
"73","166",0.0690267043232295,1
"74","167",0.0158044024234541,1
"75","171",0.234350437181058,1
"76","175",0.124720939723276,1
"77","176",0.00591391280660813,1
"78","177",0.561140650111768,1
