,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,Class
GSM152804,-7.4803745,8.618673932,-1.919274575,1.176103385,-1.670006359,2.888386225,-3.355677415,1.784617779,-12.94197333,6.745426068,-4.677248721,-1.270550035,0.150974394,-2.661553276,4.538921694,-2.806415605,2.956026731,-0.20819951,1.243937564,-1.737510807,3.441631382,-3.651011095,1.9775707,-2.634423546,-0.062839322,7.252348556,-1.294420491,-3.26129605,-4.878186406,4.086161634,-2.156906022,1.229308455,-0.989544115,1.390594028,-0.755326268,1.538196162,-6.442313751,0.827230944,-1.826331582,3.060561385,-1.416284822,2.910183566,-0.526769382,4.770749349,-1.765781291,0.739737503,0.822367841,-1.071350855,1.736640348,1.880472787,-3.282473991,-1.916835578,1.785789409,0.885620866,-0.191691798,-1.245508377,0.953654232,-0.254510314,-1.850106999,2.122187044,1.560891563,1.499152476,-0.166828399,-1.776873732,-0.204988667,1.067464212,1.936415528,-0.073579836,-0.397490735,-1.607487558,0.146601281,0.041863115,0.135244153,0.928687523,0.193232079,-1.619729847,-1.274077858,1.561906119,0.088601639,0.984440814,3.101316226,-2.898893654,-0.0462649,-0.271584566,-0.040087116,1.035491486,0.985148835,1.834598658,-0.300007809,-1.96458198,-0.048660452,0.691092066,1.096613626,0.56888839,0.671041354,0.08828923,-0.778478174,-0.663202088,-0.812362524,1.45010543,0.608304936,0.409086775,1.011639605,0.306820157,-0.339729349,-0.080605229,-1.158321446,-0.696809173,-0.245305993,1.748801857,0.584329289,0.335664805,-0.991410745,-0.32722101,-0.140887083,-0.566152139,-0.316767109,-0.92883842,0.234504001,1.855663434,1.14075546,0.857280546,0.877509691,-0.356970141,-0.416698687,-0.164252736,-0.195775658,-0.166005893,-0.070019184,0.415151917,0.305090465,0.243544848,0.810760223,-0.661263016,-0.584378817,-0.694777434,-0.168825643,0.153708009,0.380318558,0.367725925,0.867290309,-0.18883047,-0.43170031,-0.875397439,-0.303546702,0.06766294,0.257283521,0.585089409,0.822750972,-0.575605484,-0.217630082,-0.475873427,-0.171664924,0.385884438,0.252420927,0.154432048,0.075576173,-0.504362683,-0.249052348,-0.130188601,0.253699786,0.408564753,-0.28815448,-0.001965591,-0.280496211,0.338714145,-0.326638353,0.073886537,-0.248446083,0.389629716,2.58E-15,Normal
GSM152805,-51.1694369,-27.45648832,-15.72098212,2.494689589,-7.582209379,-8.549484789,6.670720525,0.705387925,-19.38071934,-4.019618863,14.15589318,-3.888217574,-7.547660544,1.940112352,-0.006568527,5.756840206,0.907537493,-2.616355031,-3.533985541,0.940712843,-3.530258136,1.190190576,-2.422610179,2.44863883,-0.8247582,0.241623734,0.004379514,4.352586346,4.206528376,3.52516735,-3.112849501,-0.682885307,-2.953534323,1.129268824,-2.962367815,1.308508622,-1.942475999,2.715429792,0.739890664,-1.915679271,-3.187252182,-2.51454269,-1.282326994,0.44858243,3.041717866,-1.838121423,1.452973099,0.106371775,1.283531017,1.755166423,0.961526347,-0.697712972,1.916894373,-3.341150492,-1.005221165,-0.177947857,1.267385407,-1.187571265,1.273451248,-1.725239637,1.958181102,1.372633911,-1.167486478,-0.303843791,1.03703768,-1.112118863,0.662108513,0.540492788,-1.310580464,1.577182275,-1.589239922,-0.713426468,0.502379819,-1.108410317,-1.095136843,1.412973604,1.083631855,1.686255001,-0.942679322,0.248723346,-0.092012305,-0.473827049,-1.579878659,-0.637014375,-0.040220922,-0.392238917,0.092765344,-0.970386176,0.112128567,0.139304985,0.683223401,-0.518228071,0.053129823,-1.340436516,-0.203568348,0.179821238,-0.016174538,0.574303081,-0.345132064,0.794580238,0.936070189,-0.235419428,0.068261135,-0.306462565,0.14055162,0.221190089,0.585085248,0.241129181,-0.38656299,0.584400801,-0.428565599,0.095594181,0.679149154,0.013233345,-0.905809843,0.78159147,0.593001937,-0.607153638,0.242195421,0.03428933,-0.187653591,-0.006174515,0.670071517,-0.557055513,0.003638363,0.108616048,0.235038449,-0.06133954,-0.451069644,-0.312206188,0.124238944,-0.473586798,0.093947458,0.160768149,-0.461647181,0.359218281,-0.249929291,0.380384892,0.124016555,0.167764461,0.17508426,0.063346374,-0.103949173,-0.127576252,0.266746417,0.25554107,-0.129529506,0.432407807,0.348299068,0.015678279,0.001436348,0.024152108,-0.3720121,0.001130604,0.281923605,0.215707843,-0.202221905,-0.07570187,0.078164188,0.09557808,0.250224982,0.039778994,-0.007827867,-0.087982832,-0.008381263,0.105731113,0.205222709,-0.151716704,0.06066183,-0.080619415,-4.09E-15,Normal
GSM152806,-29.47710288,-15.54779248,-4.014281755,-9.05789197,0.67703666,-3.94821369,-3.944620091,7.510376878,0.308514106,2.55602822,-2.503283057,-2.087391462,3.687013676,0.041049103,-1.318976102,2.060440791,0.480449119,2.641333051,4.290411124,-4.006460255,1.221979366,1.496802921,-1.233736458,2.271153384,-2.376522174,0.811713278,1.248728743,-1.373248407,-3.41134424,-4.02114466,-0.113866994,-3.467708665,-0.578397324,-0.256149541,0.490128481,3.171187748,-0.558488186,-2.205824336,0.354050898,5.27115075,-1.237318286,0.369884739,4.521926214,-1.111121522,2.932405967,-3.015013346,3.242839519,1.219672083,1.342403069,-1.436309722,1.575366918,2.160352737,0.173739227,-0.589751282,-1.329901999,-2.080416975,0.275412349,0.95296792,-2.77843695,0.377295834,-0.21702311,-1.486444947,-0.202420833,-0.409100355,0.289461383,0.196226839,-0.501910009,0.4166584,-0.59894961,2.822077851,-1.125167751,1.493406338,-3.832763246,-1.046739374,-0.254641163,-3.596224105,1.881512317,-0.592676747,0.622159202,-0.323128186,-1.923111235,-0.345528847,-2.445922076,1.402845546,-1.799124383,-0.389775912,-1.486696374,-0.702966427,-0.181946085,-3.298687301,1.130287071,1.348579424,-1.358306231,1.062194708,1.300282643,-0.811102752,-0.318011999,-0.749717252,0.177105047,0.444066012,1.07926634,0.172460551,0.052345768,-0.818822768,0.514423003,1.727500556,0.306998789,-0.316970668,-0.083048862,0.113686198,-0.664316073,0.30462163,-1.939688854,-0.577005619,-1.210959789,-0.319654882,0.174084019,1.219120258,-0.572643173,-0.241921612,-0.47608219,0.164069169,-0.548021317,-0.328423631,-0.227192465,-0.295465222,0.790372793,-1.28490404,-0.634991859,-0.944778942,0.978621729,-0.042610427,-0.047025856,-0.152998277,0.994243865,0.37822623,-0.57587173,0.593928945,-0.189911706,0.103683188,-0.001936502,-0.733299217,0.811567437,0.702416955,-0.032573378,-0.201150517,0.523140047,-0.946904316,-0.140854262,-0.731656161,-0.593124253,0.167973536,0.148522815,0.474538695,-0.535901928,-0.438442335,0.088309971,-0.201064643,-0.021712798,-0.274123969,0.30702115,-0.1452469,-0.049967514,-0.087892377,0.131719623,-0.248829662,0.385342718,0.15917205,-0.35048472,0.064934836,1.44E-15,Normal
GSM152807,-8.793531771,14.45454198,-6.023060921,-0.320825332,-4.262763961,8.691118149,-3.191507523,-1.441153733,-7.82410791,6.628498826,5.980091252,-2.643615544,-1.92894069,-2.887259853,0.268550104,-5.205320944,2.982530557,1.282745083,3.185537748,0.800263749,1.108283161,-1.631847464,0.07498056,4.640844058,-0.209009717,1.946959453,2.582481621,-3.001984377,-5.768948337,1.178758831,-0.138610354,-0.269371593,-0.154984235,-4.714161189,-0.173811082,-2.490851778,1.612499326,-1.264213851,0.937764268,-2.897841656,-0.745849961,-0.613816327,-1.099026699,-0.742422131,0.403534068,-0.668981614,2.563035643,0.57837085,-0.924421385,0.188235318,-0.172334035,0.4954163,-0.806148174,-0.635606911,0.992769042,-0.479215344,0.487936916,-0.266691058,1.06693535,-0.106671798,1.10334857,1.160655724,-0.067578221,0.796841699,-0.466616257,0.547274734,-1.344869041,0.068254234,0.02276104,1.075609032,-0.752924949,-0.600087189,-0.408559025,-0.689546522,-0.105713152,-1.594762871,-0.115569138,-0.65117945,0.680169333,-0.249195128,-0.696911214,0.214873312,-1.304893467,-0.986366393,0.749642463,-1.502483839,-0.11115809,0.110575003,1.084122461,0.951538,0.645371863,-0.584020392,-0.703811343,0.759282683,-0.316609898,-0.614443874,-0.260919465,0.975348922,0.406519374,-0.191196929,-0.639288896,-0.295119205,-0.29437404,-0.55746675,0.249789763,-0.687673673,0.400079945,-0.229637529,0.250031948,-0.578066862,-0.525607804,-0.031796276,-0.071126302,0.338174676,0.580611412,-0.072812133,-0.199470031,0.454416637,-1.239822171,0.558302396,0.216808393,0.318977191,0.294587651,0.215502352,0.245240714,-0.126338369,-0.258856192,-0.902945327,-0.142293414,-0.195403031,-1.20001057,0.377705162,-1.302541818,0.552896418,0.893868991,-0.330065563,0.878545346,0.133770096,-0.730892184,-0.610963081,0.538842254,1.795789418,0.009426997,0.157337993,-1.127926979,0.511082217,0.471176673,0.513080891,0.257929302,-0.213540299,0.766005098,1.23296637,-0.10334904,-0.520480558,-0.040164939,-0.113109404,0.838076201,1.73988705,-0.601829837,1.171462723,-1.317968851,-0.786426422,0.283635248,-2.531658739,1.960689343,0.105764308,-2.0382188,-1.424233616,0.336816853,0.169649509,2.34E-15,Normal
GSM152808,-27.20688143,-12.06882688,-13.18689374,-29.31073587,1.499878079,4.153502783,-7.759506569,2.102449991,1.910248269,6.065205006,-1.927255686,0.945179359,-4.879659584,-0.412630418,3.024175542,0.703954838,-0.336815232,-4.494134913,-1.177962569,-0.782331711,1.273306004,0.919930582,-1.535322994,0.439680345,-0.084244221,-1.667003728,-0.268375968,-0.401555242,0.525351795,1.912916631,3.098880397,4.304765432,-0.059209692,-1.49874673,0.819380847,-4.454139175,1.04778571,-0.892865456,0.893137752,0.1930445,3.293650576,-1.767184157,1.48541588,1.284695087,-2.765572787,-1.830278079,-2.208916799,0.661032867,1.818275456,1.154974269,0.25827747,-1.755149923,-1.845461181,1.720570612,-3.040386894,2.532733079,-0.200455722,-4.684941716,-2.55908748,3.237412326,-1.176945406,-0.107535212,-1.091209114,-1.659339741,-1.278233691,-0.763833373,-4.080617088,2.405802907,0.409368557,0.622997189,-1.559610176,-0.251999007,0.797605457,-1.779434987,-1.570923276,0.582518395,-1.524656613,-0.485905592,0.823942729,0.16119245,0.427543538,0.825069105,1.239824863,-1.248562828,-1.548704806,0.327682703,-0.022550855,-1.98006759,-0.018893928,0.6202954,-0.954488156,0.471109499,0.381301257,-0.245472791,-0.879862947,0.142145979,-1.081334875,0.946554434,-0.68264891,0.057849013,-0.508354886,1.399611315,-0.680728035,-0.43497006,1.190947148,0.425985943,-0.062085358,-0.003991229,-1.184672474,1.527103865,0.101858175,0.856798385,-0.424935936,0.679323205,0.090975522,-0.616541683,0.742967412,-0.26620981,1.928335892,0.141248792,-1.647182833,0.242099022,-0.369770322,-0.09495393,0.457912516,-0.174654187,0.593196587,-0.03657932,0.117683932,0.239267269,0.253788832,0.524691024,0.067274203,-0.108036675,-0.599542895,-0.139024628,-0.077350955,0.244756033,0.028716397,-0.04269408,0.306571612,-0.586686548,0.161721885,-0.009479801,-0.139862696,0.083393372,0.327962419,0.35199141,0.810921328,0.163693701,0.009806579,-0.427482793,-0.001044995,-0.132372503,0.129375064,0.163423767,0.013111101,-0.032865239,0.157618447,-0.079762563,0.139368145,-0.110193455,0.161950915,-0.157631049,0.062647912,0.281293333,-0.265674644,0.082035822,0.184230311,-0.259396229,2.19E-15,Normal
GSM152809,-6.400624335,16.8899893,-5.193021902,-2.008091827,-2.342484095,8.277673329,-4.852513947,-1.128594601,-9.239140737,5.99799835,4.592092627,-2.200588974,-2.12740869,-1.852243177,2.226794518,-5.571824311,4.381735416,2.276368939,2.908657166,0.891535405,2.124439908,-0.759673605,0.433208573,5.311368297,2.242608039,3.564977006,2.062412581,-1.515059161,-4.350742565,0.201042346,0.495940516,0.172800527,0.311460381,-5.224295344,-0.113941951,-2.484043498,2.473035907,0.105822906,1.097755761,-2.245155246,0.111476725,1.088422321,-2.800738081,-2.757560053,0.308720614,0.782800904,1.473778523,1.831076493,-1.30676809,0.069929218,-0.725715872,1.220333234,-0.920379525,-1.734617234,0.848536109,-0.82995445,0.357917867,-0.111611734,-0.276197452,-0.22408149,0.513038764,0.619650299,-0.889647538,0.854506744,0.270070661,0.451159801,-1.036087281,-1.028389218,0.447350704,0.567638415,-0.435368238,-0.904814457,0.158710479,0.140475394,-0.174213905,-0.309702367,0.121353507,0.140547967,-0.906640519,0.15065463,-0.561141567,0.514031005,-0.563240129,-0.113673397,-1.481457386,-1.721778178,-0.411176033,0.400020875,-0.22201353,0.657115326,0.716204699,0.335279256,-0.200974824,-0.602251296,-1.541170807,0.156059794,0.356875123,0.621478514,-0.596146758,-0.582839041,-0.026743968,-0.508910832,0.097178986,-0.047312986,-0.156054462,-0.284502419,-0.524486629,1.351515002,0.91230621,0.25553232,-1.241005584,0.713928466,0.455311747,0.381382002,-0.912533996,-0.304912891,0.106960421,0.752202555,0.493396127,0.153732166,-0.410105585,-0.238259341,0.132533529,-0.004926633,-1.180704358,0.032329007,-0.250873669,0.539084073,0.588234632,-0.045909812,-0.331592384,0.597228662,0.186867402,0.419926752,-0.012000023,-0.341976522,0.653315166,-0.993149671,-0.043554022,0.097000451,-1.364645821,-1.159075303,-0.03154472,0.281112265,1.671726675,-0.622640325,-0.869461906,-0.448673066,-0.83288739,2.099023105,-1.148443975,-0.94875342,0.620137974,0.029336881,-0.062196544,-0.691875549,-0.86721682,-1.307730175,0.926930661,-0.784375985,0.386232276,0.888383801,-0.273758311,2.141429404,-1.302192869,-0.098281348,2.359951685,0.595202457,-0.494359606,-0.071486568,2.32E-15,Normal
GSM152810,-0.73677735,-2.698573748,4.772278877,-7.905293819,9.326160783,6.395225941,-1.565079973,-18.90277717,-4.288912571,-9.876820853,8.763154421,3.071425975,1.607621396,3.49546511,1.444197439,2.113539853,-5.155514129,4.060446795,3.643932174,6.179312576,8.712941545,-8.063972327,3.060562148,-2.139354223,5.617158338,-2.212147783,0.047027481,5.672575731,-2.387003796,-6.095970462,0.732929878,-0.894576818,4.337030596,-0.786349723,1.278749398,3.764396828,3.201284793,-2.559189293,0.131836113,2.901655991,-2.363735337,0.764063486,2.086357959,2.914841813,-1.385468171,-0.902150411,0.253765016,1.13735823,1.515732447,0.958819959,-0.287967835,-1.43579599,2.456920848,-1.20863916,-0.231106956,1.0752751,-1.76855353,-1.548316617,1.176487133,1.38798223,2.797059676,0.035599803,-1.507966536,-0.691758315,0.750395827,-0.338677522,-0.048592025,1.387412729,-1.31870607,-1.643981309,-0.262338,-0.651430301,0.287157041,-1.00054154,-1.159340096,-0.721792382,-0.000147294,1.350832205,-0.557603686,0.126544913,0.115709907,-0.227571895,0.091162421,0.187325477,-0.955670739,-0.320311812,-0.055649425,0.307470638,0.540261099,0.414244159,-0.382958187,-0.273279364,-0.311200302,-0.245451881,0.335019019,-0.107560729,-0.650330123,0.110290006,0.065555267,0.385175214,0.928991947,0.156242218,-0.942350129,0.742772703,-0.796528953,0.229315487,0.083745896,-0.622593472,-0.155770998,-0.596066953,-1.007438013,0.01815004,0.68198845,-0.225056313,0.085946048,-0.269596315,-0.16698484,0.284166945,-0.011797143,-0.20250073,-0.17392142,0.115247675,0.729184137,-0.479682453,1.103650579,0.273697378,0.118813165,0.175058947,0.10760416,0.285684337,0.157467702,-0.392498439,0.259113618,0.491269286,0.380752964,-0.064707508,-0.221036624,-0.446683298,-0.430473791,0.410693091,-0.075007563,-0.035168915,0.155927554,0.071333984,-0.095243443,-0.085264826,-0.224338076,0.369521668,-0.031256171,0.377404956,0.419637382,-0.058388226,-0.227415263,0.005685039,0.115764779,0.040192918,-0.139077504,0.419860775,-0.17718055,0.202012748,-0.293986631,0.254337873,-0.201072459,0.08316423,0.088133207,-0.210687185,0.092405352,0.06834746,0.046034936,0.113572862,9.18E-15,Normal
GSM152811,-20.90090461,-9.111681678,-8.02486901,-10.54982315,0.623295186,1.504975475,4.075976436,-18.64963509,-11.00845186,-0.592846738,2.225175102,2.834469578,-11.23939277,7.061167797,-1.659864223,3.298226252,-4.740429252,4.012999502,2.524293863,2.52633092,1.022284642,2.893205022,2.962839537,0.475521011,-4.645434369,-0.21359901,-5.012192759,-2.943326049,-0.189501898,1.330561368,5.561726632,-2.447026457,-1.890775134,2.939347294,5.768968511,-4.040442413,-2.483459635,-0.545399501,1.696734083,1.766604371,-0.094882533,3.639963032,-1.924262942,-4.409017336,-1.513418957,1.543926141,-1.132947811,0.025512515,0.083774903,1.862167389,1.338025288,0.086872779,-1.543289569,2.781312189,0.828899385,-1.12568862,-1.62502824,2.720933771,0.330228412,-0.372152284,-3.570910175,-0.633319548,0.828397406,1.932901692,-0.323232235,0.682977049,2.723778995,-1.113310101,1.684049478,0.499792717,0.493793289,1.084085184,-0.45829741,0.208124755,0.595633666,0.167881352,0.114793517,-0.357037092,0.460381445,0.66715923,-0.242891207,-0.091638038,0.165149749,0.044282902,1.145362025,0.117323517,0.729822061,-0.368032808,0.040237069,-0.1434989,1.46102936,0.03045773,-0.470269395,0.680508951,1.357597606,0.295009944,-0.075340072,-0.995135399,-0.189909495,0.823976274,0.221509467,-0.366151672,-0.239184503,0.289102537,-0.004174083,0.427887939,-0.305499977,-0.237981302,1.054077267,-0.223261726,1.61904621,-0.074658075,-0.540154374,-0.320239413,0.263594841,-0.412538045,-0.336529536,-0.174249693,0.288125233,-0.757018072,0.220402486,0.285976391,-0.297893584,0.931130689,-0.092182803,-0.183621679,-0.532703214,-0.526948657,-0.458117744,0.116270682,0.07638646,0.217086534,-0.054201548,-0.024910338,-0.08680845,-0.699721044,0.880339558,-0.063600607,0.278074304,-0.269453218,-0.164302944,-0.196890109,-0.197923372,0.285222641,-0.426023819,-0.114668372,0.127863799,0.047722373,0.17668991,0.333033138,0.139480556,0.245012042,0.144204728,-0.315509641,0.033919259,-0.085955544,0.181427336,-0.017368418,-0.112666001,0.190337401,-0.052289259,0.0761445,0.318573473,0.243872158,0.078812705,-0.071352024,0.209335314,-0.172532811,-0.021595945,0.150196767,-2.43E-15,Normal
GSM152812,-6.853390854,11.50293014,-2.933865438,-1.817086235,1.240441169,2.866750824,-3.96026944,6.485443793,-8.340245282,1.552570261,1.435714384,-0.230448551,-3.244322357,0.464764544,0.392768005,-1.449900851,2.695948768,2.577467787,-0.547699338,2.472690776,1.074090671,2.337539773,1.842529311,0.204727684,2.01597527,2.887968526,-0.616473761,0.218252245,-0.691198037,-1.074014001,1.942299666,-1.683031568,-1.647403546,-1.084171342,-0.26067175,-0.903115195,-1.339903032,-1.847677022,-0.34238287,2.517691127,0.489107957,-1.878398779,1.053659216,-1.122655099,0.75765994,-0.848471516,0.123608638,-1.352184242,-0.627120816,-0.02287996,-0.020447298,0.705471803,3.206663865,0.352535373,1.156051443,-0.025991934,1.363320436,0.867936324,-0.951146478,1.050706061,0.337741557,-1.793111911,0.630380603,-0.827089815,1.34462093,-1.090385315,-2.973581124,0.431732835,-0.251021196,-0.960017814,0.595682461,-1.128789498,0.440613757,-0.482205307,-0.790225613,3.141367202,0.43860714,-2.305941433,-0.212058634,0.292858427,0.612832378,3.05333011,2.113809045,0.912780797,1.97673118,2.132669579,-0.626204386,-0.753924149,-1.089955558,-1.538088681,-1.095951197,-0.535730742,1.636322063,-1.07046636,1.366580687,0.400610355,0.128956182,-0.96591247,1.577615541,-1.368171135,-0.094791113,1.394679135,-1.143446063,0.711323885,-0.264313963,0.550534991,0.602638548,0.058083246,-0.351441813,-2.274181537,0.962144172,-1.265875827,0.683829058,0.841729392,0.269139141,-0.050955772,-1.340156788,-0.247131859,-1.028117479,-0.355385587,1.209990835,-0.200808083,-1.186002685,-0.08910668,-1.633981602,1.59828158,0.471037843,-0.33431343,-1.914444364,-0.485686226,1.499554917,1.379471967,1.968528731,0.198668415,-0.315145638,1.287810238,-0.874814086,-0.584962917,0.482049892,0.66149316,0.578486973,1.317785425,0.272943479,-0.458649832,1.238571676,-1.00517336,-1.587637172,0.934332228,-0.816952697,-0.272232565,0.594680887,0.675444576,-0.920646408,0.182371638,-0.153329958,-0.512715411,0.841026676,0.40398547,-0.090747559,0.755430713,0.812354354,-1.391906066,-0.983476363,0.269756039,-0.243127843,-0.066869008,-0.062728201,0.440940974,0.560867499,-0.475238012,1.59E-15,Normal
GSM152813,-10.7425629,12.0689202,-2.348177716,1.461223965,-2.712959888,7.239596607,-1.335876838,0.23112591,0.133686384,6.178754515,2.375460573,-1.507921548,-1.380795838,0.801687413,-0.689632403,2.76998411,-1.846328069,0.326876125,-0.904353492,1.036355225,0.02768677,1.002057837,-1.955698896,-0.851060025,-0.580588702,0.232974579,-0.447178445,-0.178032599,-2.886451019,-0.663002284,2.18066614,-1.082648152,0.636418254,0.853193867,-0.485468467,1.211855887,0.451500179,1.181961682,-1.416480414,1.026758869,-2.656575005,-0.452522236,-1.393709038,-1.156583271,-2.323994907,-1.694118191,-1.006763874,0.234670659,2.200102254,-2.717967478,-1.06163474,0.833326029,0.224497831,-3.570024932,-0.87105631,0.535238963,-1.449197514,-1.09844495,-0.363085915,-1.605062894,-1.148819481,0.335519888,0.797375215,0.044042184,-1.193152712,-0.132995271,-0.314069548,-0.42662605,1.560441646,0.539695258,0.642828146,-0.94087722,0.821678187,2.887783837,1.681606206,1.559097654,1.141224234,0.45217043,1.73487246,-0.042291106,-0.127708706,-0.403189838,-0.428395695,0.967351666,1.78465646,1.327078021,-1.07724225,0.996318026,-0.541537641,2.249905465,1.158630199,-1.793343535,0.77216986,-0.424190576,0.094823682,-0.191567097,0.933802065,1.588409928,0.202501609,-1.511707338,0.425852644,-0.019344947,-0.355028771,-0.508867233,0.16189379,2.563773584,0.207221381,-1.200272511,0.151313876,1.139383812,-0.607488032,-1.654748998,-0.761367691,-0.293942957,-0.244428119,-1.090181037,1.063916964,1.779766664,1.968900239,0.871598309,1.503862915,1.182419659,-2.597695143,-0.61961979,0.408988759,-0.165037032,-0.910957442,2.23573162,-0.327731491,1.98019982,0.246917797,-1.519317245,-0.100010252,1.393115358,0.0294234,1.16239159,-2.04238269,1.260906255,0.173351239,1.238742728,-0.122013635,-1.396242782,1.307226394,-0.23805395,0.108499607,0.586628886,1.209801468,1.025785792,-0.953436393,-0.325792537,-0.173016179,0.573489032,0.572646006,-0.262625195,-1.318108123,0.644542201,-0.019642572,-0.341117516,0.303127531,-0.990708045,0.203321405,0.317902718,-0.309102574,-0.219216323,0.054119859,0.191281527,-0.785692162,-0.403751407,0.334316513,0.581799241,3.28E-16,Normal
