,PC1,PC118,PC162,PC171,CLASS
GSM152804,-7.4803745,-0.92883842,0.408564753,2.58E-15,Normal
GSM152805,-51.1694369,-0.607153638,0.039778994,-4.09E-15,Normal
GSM152806,-29.47710288,1.219120258,-0.1452469,1.44E-15,Normal
GSM152807,-8.793531771,0.454416637,-0.786426422,2.34E-15,Normal
GSM152808,-27.20688143,-0.26620981,-0.110193455,2.19E-15,Normal
GSM152809,-6.400624335,0.752202555,0.888383801,2.32E-15,Normal
GSM152810,-0.73677735,0.284166945,0.254337873,9.18E-15,Normal
GSM152811,-20.90090461,-0.174249693,0.0761445,-2.43E-15,Normal
GSM152812,-6.853390854,-0.247131859,-1.391906066,1.59E-15,Normal
GSM152813,-10.7425629,1.779766664,0.317902718,3.28E-16,Normal
GSM152814,-14.37236532,-0.155866376,-1.10765838,2.16E-15,Normal
GSM152815,-6.550868303,-0.903910339,0.046525498,4.38E-15,Normal
GSM152816,-15.54404325,-1.687311738,-0.554998287,3.32E-15,Normal
GSM152817,-23.06500848,-0.643777735,-0.069018803,-1.11E-15,Normal
GSM152818,-36.35883466,2.213259914,0.050877568,1.61E-15,Normal
GSM152819,-23.14998598,1.30337786,-0.006313393,1.05E-15,Normal
GSM152820,-10.93364462,-0.13211722,-0.677561286,3.31E-15,Normal
GSM152821,-11.657847,-0.343647509,1.194472175,1.47E-15,Normal
GSM153115,6.165857591,-0.112570902,-1.499606622,1.04E-15,Normal
GSM153116,-19.38193839,0.52894984,-0.822100995,3.68E-15,Normal
GSM153117,-21.27349578,-2.791014827,0.231054465,4.66E-15,Normal
GSM153118,-9.948466053,-0.225624319,1.460798988,9.06E-16,Normal
GSM153119,-22.51835986,0.159817478,-0.135653677,4.23E-15,Normal
GSM153120,11.68199364,-0.002661983,-0.023199714,5.70E-15,Normal
GSM153121,-10.86123416,-0.067399066,-0.674768219,6.21E-15,Normal
GSM153122,-21.08829572,-0.093909814,0.126903951,3.17E-15,Normal
GSM153123,-12.35496052,0.738437743,-0.583854149,-2.22E-15,Normal
GSM153124,0.739875867,0.00887105,-1.542892471,4.20E-15,Normal
GSM153125,6.492647922,0.765318935,1.269443484,6.69E-15,Normal
GSM153126,-14.75556296,0.794617836,-0.603338285,9.45E-16,Normal
GSM153127,-4.220877435,0.519158368,-0.358286011,5.83E-15,Normal
GSM153128,-9.72917598,-0.764478229,-0.508498055,-6.27E-16,Normal
GSM153129,-12.6405348,-1.038745266,-0.782182973,1.37E-15,Normal
GSM153130,-30.88403243,1.590518571,0.1441952,-3.40E-15,Normal
GSM153131,-9.086490183,1.75236178,-0.247271609,5.00E-15,Normal
GSM153132,-18.54428393,0.505545687,-0.451981751,2.66E-15,Normal
GSM153133,-7.851168712,0.735569344,-1.146983786,1.03E-15,Normal
GSM153134,-21.21486764,-1.60094972,0.929859068,-4.10E-15,Normal
GSM153135,-0.829727596,-0.843024627,-0.683474383,2.54E-15,Normal
GSM153136,5.917283336,-0.164747143,0.736756754,3.50E-15,Normal
GSM153137,4.270536618,2.148258354,0.610714244,-1.88E-16,Normal
GSM153138,-3.553340948,1.334688915,-0.287363096,-5.29E-15,Normal
GSM153139,-28.06833652,-2.17249461,-0.7903377,4.19E-15,Normal
GSM153140,-8.04595187,0.147719937,0.287188083,9.93E-17,Normal
GSM153141,-1.838689093,-1.761663877,-1.199734999,2.93E-15,Normal
GSM153142,-21.76558603,-1.14323015,0.543668759,6.81E-15,Normal
GSM153143,-0.814906229,1.622643253,0.715777873,-2.09E-15,Normal
GSM153144,-8.587642986,-0.001356289,2.100329908,6.11E-15,Normal
GSM153145,-38.61031018,1.043243755,0.099750738,-7.58E-15,Normal
GSM153146,-10.39156243,-0.537981321,2.106937353,7.62E-15,Normal
GSM153147,-7.314219795,0.464196654,1.202098939,6.67E-15,Normal
GSM153148,-6.385324181,0.228499915,-0.07456296,1.39E-15,Normal
GSM153149,-12.73530716,2.475321937,-0.542381434,-2.97E-16,Normal
