"","Gene","p.value","Adjusted.p.value"
"1","1030_s_at",4.92793777000416e-07,0.00622152143463025
"2","1034_at",2.13412084184232e-07,0.00269432756282593
"3","1035_g_at",1.59405584163044e-06,0.0201249550005843
"4","1042_at",2.79524743328819e-09,3.52899988452634e-05
"5","1044_s_at",2.5202842451796e-07,0.00318185885953924
"6","1055_g_at",1.38697784667028e-06,0.0175105953142122
"7","1069_at",1.21414125183294e-07,0.00153285333043909
"8","1072_g_at",1.97133594387689e-10,2.48881162914458e-06
"9","1102_s_at",7.36416459008368e-08,0.000929725779498065
"10","1121_g_at",1.83836250297976e-06,0.0232093266001195
"11","1136_at",6.86389939034537e-11,8.66567298031104e-07
"12","1137_at",1.21319802643185e-10,1.53166250837021e-06
"13","1143_s_at",1.01051309295343e-07,0.00127577277985371
"14","1177_at",8.48252942507083e-09,0.000107091933991519
"15","1182_at",6.04420415039823e-07,0.00763080773987776
"16","1189_at",3.56397833035549e-07,0.0044995226420738
"17","1192_at",1.19796041433721e-08,0.000151242502310072
"18","1196_at",3.11148957655273e-07,0.00392825559039782
"19","1197_at",3.58532786501322e-12,4.52647642957919e-08
"20","1225_g_at",9.70729981768114e-10,1.22554660198224e-05
"21","1241_at",8.74234054151843e-09,0.00011037204933667
"22","1243_at",8.19553703864863e-09,0.000103468655112939
"23","1248_at",4.22623075439659e-08,0.000533561632742569
"24","1251_g_at",1.45282102320754e-08,0.000183418654179952
"25","1252_at",2.06050565027534e-06,0.0260138838347262
"26","1253_at",1.57971104999683e-07,0.001994385200621
"27","1276_g_at",9.97290271008426e-10,1.25907896714814e-05
"28","1278_at",5.74566124504641e-12,7.25389732187109e-08
"29","1281_f_at",1.85068814157048e-07,0.00233649377873273
"30","1290_g_at",2.22687408282622e-08,0.00028114285295681
"31","1319_at",6.88838859908075e-08,0.000869659060633945
"32","1329_s_at",3.27666617749655e-07,0.00413679104908939
"33","1363_at",3.5709644509265e-11,4.5083426192947e-07
"34","1398_g_at",2.10182930313586e-07,0.00265355949520902
"35","1409_at",6.0275778306327e-07,0.00760981701117379
"36","1452_at",2.05110153456532e-07,0.00258951568738872
"37","1468_at",1.63690885650327e-07,0.00206659743133538
"38","1495_at",4.6860019060385e-10,5.91607740637361e-06
"39","149_at",1.68448229093283e-09,2.12665889230269e-05
"40","1501_at",4.86103040531683e-08,0.00061370508867125
"41","1507_s_at",2.21193163334922e-12,2.79256368710339e-08
"42","1519_at",9.59679099311723e-09,0.000121159486288105
"43","1521_at",7.96097674903232e-11,1.00507331456533e-06
"44","1524_at",2.10316377953039e-06,0.0265524427165711
"45","1535_at",2.0966750662953e-06,0.0264705227119781
"46","1563_s_at",3.96101303315781e-07,0.00500077895436174
"47","1577_at",2.19184661677208e-10,2.76720635367475e-06
"48","1578_g_at",1.08939224458529e-09,1.37535770878893e-05
"49","1585_at",9.44418268427417e-08,0.00119232806388961
"50","1593_at",9.07380369212433e-07,0.011455677161307
"51","1597_at",1.61429882968355e-09,2.03805227247549e-05
"52","1598_g_at",7.66061807173229e-07,0.00967153031556201
"53","160031_at",6.76894671923909e-07,0.00854579523303935
"54","1602_at",2.68828883476041e-09,3.39396465388502e-05
"55","1643_g_at",4.17623960533204e-08,0.000527250250173169
"56","1651_at",5.85698395755959e-11,7.39444224641898e-07
"57","1711_at",1.57504137252777e-06,0.0198848973281631
"58","1736_at",1.15351719922221e-11,1.45631546401804e-07
"59","1737_s_at",1.1934550307464e-06,0.0150673697631733
"60","1744_at",2.71492040193128e-06,0.0342758700743824
"61","1767_s_at",1.09405888934433e-14,1.38124934779722e-10
"62","1768_s_at",5.02134156710395e-10,6.33944372846874e-06
"63","1785_at",4.10057762378826e-07,0.00517697925003267
"64","178_f_at",8.70071107045717e-07,0.0109846477264522
"65","1814_at",6.80149439564042e-09,8.58688667449603e-05
"66","1825_at",7.37127183873003e-11,9.30623069639666e-07
"67","1843_at",8.8357803947235e-07,0.0111551727483384
"68","1848_at",5.52645397069594e-08,0.000697714813800362
"69","1877_g_at",2.73532183316119e-08,0.000345334381436601
"70","1879_at",7.6501081702123e-13,9.65826156489302e-09
"71","1898_at",9.99463896426062e-08,0.0012618231692379
"72","1929_at",7.36617340031622e-07,0.00929979391789923
"73","1937_at",4.07014222692132e-07,0.00513855456148817
