"","Gene","p.value","Adjusted.p.value"
"1","41890_at",0.000374516020655307,0.0349069728148015
"2","41903_at",0.000370058491883009,0.0346390520391272
"3","41922_at",6.51047949013445e-05,0.00853150118897692
"4","41998_at",0.000291614645323897,0.0286090809715968
"5","42040_at",0.000155577655958698,0.0174705076619354
"6","42047_at",0.000348250448404722,0.0329645814681059
"7","42107_at",0.00043549665614013,0.0394492908226736
"8","42142_at",1.0237055443249e-05,0.00192926697043062
"9","42265_f_at",5.46336871559376e-08,3.0705614080816e-05
"10","42280_at",0.000552513863322428,0.0477245560028824
"11","42281_at",7.65597611168016e-08,4.08499959262891e-05
"12","42314_at",0.000383624924881221,0.0356179977970336
"13","42325_at",0.000275793503188462,0.0276213301183166
"14","42350_r_at",3.6464267871666e-08,2.26035745706493e-05
"15","42363_r_at",0.000300733370772784,0.0292535154604194
"16","42365_f_at",0.000323682344362893,0.0310558481530559
"17","42431_at",0.000172390391792497,0.0189728608652457
"18","42439_at",1.57307522895386e-05,0.00274758236352932
"19","42461_at",2.57139281353886e-05,0.00405080242957294
"20","42473_at",0.000217781824618627,0.0230845271058005
"21","42481_at",6.68782914594294e-05,0.0087008827194491
"22","42489_at",0.000565669619619108,0.0487277763358416
"23","42491_at",7.44187238071222e-05,0.00943901885662213
"24","42501_at",0.000281004033021272,0.0278951913576802
"25","42568_at",1.20793688082793e-07,5.76429389769314e-05
"26","42571_at",5.17579563124714e-09,4.48295167982967e-06
"27","42582_at",0.000136053973106189,0.0156695734302481
"28","42614_at",9.82697077896476e-05,0.0119488502752797
"29","42639_at",2.40481115498689e-07,0.00010103091263094
"30","42646_at",3.67901910732805e-08,2.26835464061106e-05
"31","42655_f_at",8.50106021250809e-05,0.0105704124436468
"32","42670_at",2.89848436826472e-07,0.000117477896700949
"33","42672_at",0.000102221436250537,0.0123462506852138
"34","42688_at",1.64987257246078e-07,7.34635408088871e-05
"35","42695_at",4.36691307531588e-08,2.55658708091732e-05
"36","42711_g_at",5.57508870181338e-05,0.00751636016675444
"37","42720_at",6.0867999236205e-05,0.00809433102106828
"38","42733_i_at",0.000188399052849619,0.0204515013301695
"39","42734_r_at",1.21840826319366e-07,5.79229927744883e-05
"40","42739_at",3.33205403111881e-05,0.00501686382742288
"41","42740_at",2.65330068557297e-08,1.74753158689529e-05
"42","42745_at",1.2079590048319e-07,5.76429389769314e-05
"43","42748_at",3.85356719247733e-05,0.00565366142686728
"44","42755_at",0.000205802957387075,0.0220178003123681
"45","42768_at",2.29742038545101e-05,0.00367750416214601
"46","42774_r_at",8.49868701435958e-05,0.0105704124436468
"47","42786_at",0.000520744351349858,0.0453249980714185
"48","42804_at",1.60774828096817e-07,7.18408417509012e-05
"49","42809_at",8.80288168631707e-07,0.000279692993187688
"50","42821_at",4.04440213198827e-05,0.00582557292671801
"51","42825_at",2.97281278089108e-07,0.000118965290856658
"52","42826_at",7.39287427672284e-05,0.0093870749738295
