"","Gene","p.value","Adjusted.p.value"
"1","41880_at",0.122993521134955,1
"2","41881_at",0.951770485202249,1
"3","41882_at",0.216744618629515,1
"4","41883_at",0.0493234413810004,1
"5","41884_at",0.31062902734069,1
"6","41885_at",0.0184097903628615,0.695798733869591
"7","41886_r_at",0.744203425968327,1
"8","41887_at",0.0296863159659559,0.986945921321637
"9","41888_at",0.225185206817577,1
"10","41889_at",0.76232895141154,1
"11","41890_at",0.000374516020655307,0.0349069728148015
"12","41891_at",0.0142385594225755,0.577497781267295
"13","41892_at",0.979682739771806,1
"14","41893_at",0.00384579219809357,0.21287037054696
"15","41894_r_at",0.221545668157913,1
"16","41895_at",0.0466363391492099,1
"17","41896_at",0.884832286962657,1
"18","41897_at",0.498747869849164,1
"19","41898_at",0.267259528393414,1
"20","41899_at",0.352611934118063,1
"21","41900_at",0.0163834202647757,0.640475492554378
"22","41901_at",0.471872084317211,1
"23","41902_at",0.989840147806936,1
"24","41903_at",0.000370058491883009,0.0346390520391272
"25","41904_at",0.290569480378112,1
"26","41905_at",0.47777433977105,1
"27","41906_at",0.289121637276652,1
"28","41907_at",0.612741751405408,1
"29","41908_at",0.0165239257895689,0.643867050443598
"30","41909_at",0.942900174283658,1
"31","41910_at",0.0251245006057963,0.875504179366774
"32","41911_at",0.187001807794767,1
"33","41912_at",0.151500094232169,1
"34","41913_at",0.451533414929324,1
"35","41914_at",0.00278285805860802,0.165227959084858
"36","41915_at",0.618347465532705,1
"37","41916_at",0.000792909437993333,0.0633445318941613
"38","41917_at",0.062786335009758,1
"39","41918_at",0.376159597423991,1
"40","41919_at",0.0370611732857619,1
"41","41920_at",0.427053964329163,1
"42","41921_at",0.0191328237581651,0.714971138036602
"43","41922_at",6.51047949013445e-05,0.00853150118897692
"44","41923_at",0.633003817912727,1
"45","41924_at",0.0459344567139696,1
"46","41925_at",0.00661803074664926,0.325097049460006
"47","41926_at",0.00361896707812487,0.2034161315859
"48","41927_at",0.00255948137643055,0.155765339728738
"49","41928_at",0.966990305606252,1
"50","41929_at",0.32763785700181,1
"51","41930_at",0.653529887397394,1
"52","41931_at",0.893639624082026,1
"53","41932_at",0.160354074702486,1
"54","41933_at",0.356750697180187,1
"55","41934_at",0.0251240401212914,0.875504179366774
"56","41935_i_at",0.0330688264027169,1
"57","41936_r_at",0.138379508173741,1
"58","41937_at",0.62847404310177,1
"59","41938_at",0.380478281935376,1
"60","41939_at",0.0531271883767315,1
"61","41940_at",0.662747739723186,1
"62","41941_r_at",0.0185679930385741,0.69989816930877
"63","41942_at",0.352609192290335,1
"64","41943_at",0.204598144201264,1
"65","41944_at",0.480742347072748,1
"66","41945_at",0.516079941825067,1
"67","41946_at",0.960646773237645,1
"68","41947_at",0.252440014188534,1
"69","41948_at",0.347684999599349,1
"70","41949_at",0.614980837333191,1
"71","41950_at",0.947968030537309,1
"72","41951_at",0.154749421664377,1
"73","41952_r_at",0.06862647792156,1
"74","41953_at",0.104482627668964,1
"75","41954_at",0.597195426801482,1
"76","41955_r_at",0.755065000018932,1
"77","41956_at",0.33556638284295,1
"78","41957_i_at",0.487700440337315,1
"79","41958_r_at",0.57312589958709,1
"80","41959_at",0.602730320635987,1
"81","41960_at",0.489700143156689,1
"82","41961_i_at",0.585103018449457,1
"83","41962_r_at",0.227625678610172,1
"84","41963_at",0.297159790754515,1
"85","41964_at",0.497740071162502,1
"86","41965_at",0.723820751485013,1
"87","41966_at",0.391807751651711,1
"88","41967_at",0.178634648700554,1
"89","41968_r_at",0.589477042025225,1
"90","41969_at",0.260449741265161,1
"91","41970_at",0.696566499031531,1
"92","41971_at",0.00111507516904279,0.0823717084845295
"93","41972_at",0.348506407685408,1
"94","41973_at",0.436374913732472,1
"95","41974_at",0.912546802201392,1
"96","41975_at",0.223972017159087,1
"97","41976_at",0.13173073679776,1
"98","41977_at",0.0385292573970476,1
"99","41978_at",0.977143304695136,1
"100","41979_r_at",1,1
"101","41980_at",0.61833791248236,1
"102","41981_at",0.339558840428433,1
"103","41982_at",0.0124573763930676,0.522493631864419
"104","41983_at",0.264522659456875,1
"105","41984_at",0.457286285881369,1
"106","41985_at",0.316746376145897,1
"107","41986_at",0.20973451069787,1
"108","41987_at",0.0480576394678279,1
"109","41988_at",0.0136212293825365,0.559094510960312
"110","41989_at",0.0495099782615964,1
"111","41990_at",0.00140806926740315,0.0985204586464911
"112","41991_at",0.13050859847388,1
"113","41992_at",0.616105733737855,1
"114","41993_at",0.124154942071981,1
"115","41994_at",0.0940434466542509,1
"116","41995_at",0.960646574199143,1
"117","41996_at",0.085321841651377,1
"118","41997_at",0.659285225033589,1
"119","41998_at",0.000291614645323897,0.0286090809715968
"120","41999_at",0.175060062762623,1
"121","42000_r_at",0.01279688073763,0.533545554945552
"122","42001_at",0.418761881587205,1
"123","42002_at",0.39445664895671,1
"124","42003_at",0.680161208963001,1
"125","42004_at",0.155675960521176,1
"126","42005_at",0.252448718887987,1
"127","42006_at",0.182262368652932,1
"128","42007_at",0.309875577021161,1
"129","42008_r_at",0.395351477946046,1
"130","42009_at",0.08359935419456,1
"131","42010_at",0.696564127111962,1
"132","42011_at",0.044399574409684,1
"133","42012_at",0.284787294163703,1
"134","42013_at",0.959378163416291,1
"135","42014_at",0.428893389477204,1
"136","42015_at",0.011960216975475,0.507468272565158
"137","42016_at",0.853515658062433,1
"138","42017_at",0.827378747787746,1
"139","42018_at",0.120302134795525,1
"140","42019_at",0.600502438389687,1
"141","42020_at",0.604940529297371,1
"142","42021_at",0.717867135229317,1
"143","42022_at",0.619456812078539,1
"144","42023_r_at",0.888606147223739,1
"145","42024_at",0.27070091745198,1
"146","42025_i_at",0.133781699712545,1
"147","42026_r_at",0.626220560054676,1
"148","42027_at",0.195107101883775,1
"149","42028_at",0.591687020236093,1
"150","42029_at",0.227014091268133,1
"151","42030_at",0.0968895536458805,1
"152","42031_at",0.217350545987387,1
"153","42032_at",0.789155636544667,1
"154","42033_at",0.196203239738256,1
"155","42034_at",0.0391312982418811,1
"156","42035_at",0.359243589397956,1
"157","42036_at",0.200087906481266,1
"158","42037_at",0.019369239938978,0.722467549105604
"159","42038_at",0.232575566586661,1
"160","42039_at",0.324500263849632,1
"161","42040_at",0.000155577655958698,0.0174705076619354
"162","42041_at",0.0114301139595237,0.491709250985316
"163","42042_at",0.0234187743523365,0.830933485056772
"164","42043_at",0.534760583095368,1
"165","42044_at",0.287660683326181,1
"166","42045_at",0.284079081489079,1
"167","42046_at",0.764761482007291,1
"168","42047_at",0.000348250448404722,0.0329645814681059
"169","42048_at",0.148838330903872,1
"170","42049_at",0.233794241582904,1
"171","42050_at",0.030290540356507,1
"172","42051_at",0.523295619244997,1
"173","42052_at",0.205166433069931,1
"174","42053_at",0.417848089465414,1
"175","42054_at",0.489701516711757,1
"176","42055_at",0.382212146129824,1
"177","42056_at",0.0406691966025093,1
"178","42057_at",0.104821503047638,1
"179","42058_at",0.162260912882658,1
"180","42059_at",0.06167539050853,1
"181","42060_at",0.131323191295097,1
"182","42061_r_at",0.0414567784952775,1
"183","42062_at",0.091261714749336,1
"184","42063_at",0.512995144738491,1
"185","42064_at",0.785487502374768,1
"186","42065_at",0.00155490254799064,0.105772444747596
"187","42066_r_at",0.417847205736303,1
"188","42067_at",0.470893092944189,1
"189","42068_at",0.298636981304756,1
"190","42069_at",0.082755040245652,1
"191","42070_i_at",0.227014385260517,1
"192","42071_r_at",0.225791213034557,1
"193","42072_at",0.0425749374447568,1
"194","42073_at",0.00851199733474539,0.392306458926028
"195","42074_at",0.695388411482903,1
"196","42075_at",0.868519128703357,1
"197","42076_at",0.874790941876095,1
"198","42077_at",0.228245212331185,1
"199","42078_at",0.713114940770642,1
"200","42079_at",0.989840501354994,1
"201","42080_at",0.612748945390779,1
"202","42081_at",0.123373462648922,1
"203","42082_at",0.340375366592369,1
"204","42083_at",0.00373132537334616,0.20768482150559
"205","42084_r_at",0.322933310436266,1
"206","42085_at",0.911285681143493,1
"207","42086_at",0.00456319702973911,0.243378574065144
"208","42087_at",0.287661903402179,1
"209","42088_at",0.00843313620051934,0.38963154536545
"210","42089_at",0.959377213201439,1
"211","42090_at",0.281937381912268,1
"212","42091_at",0.561268856267539,1
"213","42092_at",0.209756138472249,1
"214","42093_at",0.434500755470481,1
"215","42094_at",0.97460474377432,1
"216","42095_at",0.183306444160447,1
"217","42096_at",0.026177444335841,0.901988445835011
"218","42097_at",0.698920484345292,1
"219","42098_at",0.261806667582953,1
"220","42099_at",0.554848721858577,1
"221","42100_at",0.00331730118878173,0.189938167759561
"222","42101_at",0.882322616609865,1
"223","42102_r_at",0.0222737110478078,0.80093934511735
"224","42103_at",0.230707472159114,1
"225","42104_at",0.618348576306095,1
"226","42105_at",0.584001262624966,1
"227","42106_at",0.925181232678566,1
"228","42107_at",0.00043549665614013,0.0394492908226736
"229","42108_at",0.614986431181726,1
"230","42109_at",0.75143845785301,1
"231","42110_at",0.000639833014065015,0.0532658258756265
"232","42111_at",0.331586502239802,1
"233","42112_at",0.21737266258658,1
"234","42113_at",0.81994786253457,1
"235","42114_at",0.0679041321431479,1
"236","42115_at",0.0329373258169321,1
"237","42116_at",0.00166006964266001,0.111544068892808
"238","42117_at",0.228855034045312,1
"239","42118_at",0.13880611487881,1
"240","42119_at",0.102457023829382,1
"241","42120_at",0.210324108408634,1
"242","42121_at",0.526411072862012,1
"243","42122_at",0.791612620447602,1
"244","42123_at",0.784263447949954,1
"245","42124_at",0.197853941230046,1
"246","42125_r_at",0.19619927718456,1
"247","42126_at",0.0151422784367557,0.604560453051688
"248","42127_at",0.229466912750762,1
"249","42128_at",0.421517976926732,1
"250","42129_at",0.000879033147907391,0.0687082948034678
"251","42130_at",0.0106299436747524,0.464661231355416
"252","42131_at",0.0192061333895098,0.717498606028149
"253","42132_at",0.817476121521726,1
"254","42133_at",0.120691029762126,1
"255","42134_at",0.961915131159172,1
"256","42135_at",0.857263813054602,1
"257","42136_at",0.440120964327373,1
"258","42137_at",0.61609100038901,1
"259","42138_at",0.265877479358648,1
"260","42139_at",0.0780733883309717,1
"261","42140_at",0.501776192148807,1
"262","42141_at",0.0138659394923436,0.567453939193633
"263","42142_at",1.0237055443249e-05,0.00192926697043062
"264","42143_at",0.146170364850427,1
"265","42144_at",0.0480580637422376,1
"266","42145_at",0.245914206847191,1
"267","42146_at",0.4787561633374,1
"268","42147_at",0.527444159037528,1
"269","42148_at",0.0437264312723497,1
"270","42149_at",0.516079941824983,1
"271","42150_at",0.286953694340434,1
"272","42151_at",0.669685207053598,1
"273","42152_at",0.702460879343834,1
"274","42153_at",0.399792407210279,1
"275","42154_at",0.243329628809663,1
"276","42155_at",0.383948121321754,1
"277","42156_at",0.476788345998303,1
"278","42157_at",0.812531432577307,1
"279","42158_at",0.0232233228680699,0.825901944799205
"280","42159_r_at",0.135438160250125,1
"281","42160_at",0.813763770328826,1
"282","42161_at",0.0339975330152256,1
"283","42162_at",0.663906903867834,1
"284","42163_at",0.00116616850646421,0.0849574642273588
"285","42164_at",0.000990688829799952,0.0752876494377775
"286","42165_at",0.209751236305073,1
"287","42166_at",0.500767014549836,1
"288","42167_at",0.0402026632940113,1
"289","42168_at",0.244620719952884,1
"290","42169_at",0.65239124511817,1
"291","42170_at",0.857263187655307,1
"292","42171_at",0.400672910752217,1
"293","42172_at",0.319793594385716,1
"294","42173_at",0.00447225607344748,0.239380357783911
"295","42174_at",0.831105371890969,1
"296","42175_at",0.192378330282943,1
"297","42176_at",0.259779424779712,1
"298","42177_at",0.492707386252994,1
"299","42178_at",0.583983652765284,1
"300","42179_at",0.0475191616559144,1
"301","42180_at",0.187535253302478,1
"302","42181_at",0.00812190557712499,0.378311379067042
"303","42182_at",0.612750294218449,1
"304","42183_at",0.332373360013841,1
"305","42184_at",0.113985380401916,1
"306","42185_at",0.000829997057774558,0.0655788833655102
"307","42186_at",0.538960837807663,1
"308","42187_at",0.361744710561156,1
"309","42188_at",0.0429077029848407,1
"310","42189_r_at",0.0959281078425862,1
"311","42190_at",0.0300485743662556,0.994725640036887
"312","42191_at",0.561262910268938,1
"313","42192_at",0.0248154342762119,0.868102386461395
"314","42193_r_at",0.0173326461138535,0.66687976564523
"315","42194_at",0.292751171481633,1
"316","42195_at",0.161786855469627,1
"317","42196_at",0.843538589253933,1
"318","42197_at",0.0435664733551392,1
"319","42198_at",0.722631491197948,1
"320","42199_at",0.197859048522785,1
"321","42200_at",0.765972974203501,1
"322","42201_at",0.198414768028249,1
"323","42202_at",0.00217232410782483,0.136830338614097
"324","42203_at",0.947967504525338,1
"325","42204_at",0.0329373258169321,1
"326","42205_at",0.0255417353528617,0.884912842501266
"327","42206_at",0.345240610059587,1
"328","42207_at",0.0468093136481939,1
"329","42208_at",0.222157220961374,1
"330","42209_at",0.86601441072275,1
"331","42210_at",0.356743394611229,1
"332","42211_at",0.0036193294380256,0.2034161315859
"333","42212_at",0.140935668695919,1
"334","42213_at",0.142665509111582,1
"335","42214_at",0.104474509460882,1
"336","42215_at",0.025533538356133,0.884912842501266
"337","42216_at",0.713114073340257,1
"338","42217_at",0.411469575890223,1
"339","42218_at",0.166616937739974,1
"340","42219_at",0.751439674496812,1
"341","42220_at",0.321388712321867,1
"342","42221_at",0.0273799413443961,0.93226237699844
"343","42222_at",0.889864700454708,1
"344","42223_at",0.0713289649989918,1
"345","42224_at",0.103797435769076,1
"346","42225_at",0.768402472654869,1
"347","42226_at",0.00293147268729853,0.17210808173792
"348","42227_at",0.333158690694057,1
"349","42228_at",0.485707902850771,1
"350","42229_r_at",0.383949023957801,1
"351","42230_at",0.320611057168899,1
"352","42231_at",0.42520110836817,1
"353","42232_at",0.098488912319966,1
"354","42233_r_at",0.991110258643676,1
"355","42234_at",0.39005761010637,1
"356","42235_at",0.722631322946228,1
"357","42236_r_at",0.0128545765094892,0.535245192827318
"358","42237_at",0.0643743458056307,1
"359","42238_at",0.521227674230415,1
"360","42239_at",0.767172339207574,1
"361","42240_at",0.52953983732801,1
"362","42241_at",0.139644815319637,1
"363","42242_at",0.32450485588006,1
"364","42243_at",0.927711118788943,1
"365","42244_at",0.991110331763566,1
"366","42245_r_at",0.936568422680192,1
"367","42246_at",0.537910066323577,1
"368","42247_at",0.703641488830615,1
"369","42248_at",0.335566688619028,1
"370","42249_at",0.0473273028211575,1
"371","42250_at",0.0164557567807928,0.642083073429849
"372","42251_r_at",0.156128493420139,1
"373","42252_at",0.442025244249291,1
"374","42253_at",0.314444361977599,1
"375","42254_at",0.14704194326039,1
"376","42255_at",0.861013918439812,1
"377","42256_at",0.0700917218829527,1
"378","42257_r_at",0.0879508655014805,1
"379","42258_at",0.0695951835835163,1
"380","42259_at",0.179668765874036,1
"381","42260_r_at",0.266561995688076,1
"382","42261_at",0.484702240097827,1
"383","42262_at",0.0116955511705954,0.499489102830184
"384","42263_at",0.00938752168133067,0.423967645818618
"385","42264_r_at",0.789157199678739,1
"386","42265_f_at",5.46336871559376e-08,3.0705614080816e-05
"387","42266_at",0.440133694133367,1
"388","42267_at",0.437306050675449,1
"389","42268_at",0.00479527808244115,0.253539458691392
"390","42269_at",0.0796966202531675,1
"391","42270_at",0.0853212485902139,1
"392","42271_at",0.992380261826813,1
"393","42272_at",0.0353605183102337,1
"394","42273_at",0.22336630260822,1
"395","42274_at",0.535806972319226,1
"396","42275_at",0.730994621322489,1
"397","42276_at",0.764756714984282,1
"398","42277_at",0.0395733968462193,1
"399","42278_at",0.166613718341936,1
"400","42279_at",0.647806383203992,1
"401","42280_at",0.000552513863322428,0.0477245560028824
"402","42281_at",7.65597611168016e-08,4.08499959262891e-05
"403","42282_at",0.707180191578091,1
"404","42283_at",0.440128486588442,1
"405","42284_at",0.94670042088152,1
"406","42285_at",0.103458354522931,1
"407","42286_at",0.941633235474255,1
"408","42287_at",0.0014320017175604,0.0998878802408206
"409","42288_at",0.383946917801009,1
"410","42289_at",0.199532751703302,1
"411","42290_at",0.3030957946847,1
"412","42291_at",0.0988213862876708,1
"413","42292_at",0.524341279900514,1
"414","42293_at",0.0767278535323619,1
"415","42294_g_at",0.386562170801218,1
"416","42295_at",0.00342168991244008,0.194383973599793
"417","42296_f_at",0.0400472409302389,1
"418","42297_at",0.159888475839706,1
"419","42298_at",0.0268269812182065,0.918661869302604
"420","42299_at",0.656985576147143,1
"421","42300_at",0.000990600726152269,0.0752876494377775
"422","42301_at",0.973335375054955,1
"423","42302_at",0.221548884000547,1
"424","42303_at",0.85351501660482,1
"425","42304_at",0.770840624508597,1
"426","42305_at",0.140505294440156,1
"427","42306_at",0.00465359174075348,0.247126891450046
"428","42307_at",0.240760000883035,1
"429","42308_i_at",0.420590655265049,1
"430","42309_f_at",0.956841375913689,1
"431","42310_at",0.955573495069791,1
"432","42311_at",0.353436700310715,1
"433","42312_at",0.518114765356744,1
"434","42313_at",0.00724962288734626,0.348462813599686
"435","42314_at",0.000383624924881221,0.0356179977970336
"436","42315_at",0.0417760818589364,1
"437","42316_at",0.566641574699612,1
"438","42317_at",0.578557998284577,1
"439","42318_at",0.7000951434521,1
"440","42319_at",0.193994038740158,1
"441","42320_at",0.0148811423495865,0.596093559589414
"442","42321_at",0.0679023910540759,1
"443","42322_at",0.180179214754772,1
"444","42323_at",0.693036066993549,1
"445","42324_at",0.0607939217920034,1
"446","42325_at",0.000275793503188462,0.0276213301183166
"447","42326_at",0.735789985519693,1
"448","42327_at",0.698921933857075,1
"449","42328_at",0.758691761840298,1
"450","42329_at",0.246561997449785,1
"451","42330_at",0.260455773572603,1
"452","42331_at",0.152911495259171,1
"453","42332_at",0.816235986802741,1
"454","42333_at",0.00991929545165593,0.441373025484652
"455","42334_at",0.0195422795994479,0.727132557165353
"456","42335_at",0.25910669633089,1
"457","42336_at",0.0807864760603284,1
"458","42337_at",0.0262846360536165,0.904236343204762
"459","42338_at",0.198415335959612,1
"460","42339_at",0.494713960907665,1
"461","42340_at",0.50686668318051,1
"462","42341_at",0.300856901941212,1
