"","Gene","p.value","Adjusted.p.value"
"1","41880_at",0.122993521134955,0.26831394707842
"2","41881_at",0.951770485202249,0.9793188610756
"3","41882_at",0.216744618629515,0.393694515860575
"4","41883_at",0.0493234413810004,0.142237675314785
"5","41884_at",0.31062902734069,0.499263812911138
"6","41885_at",0.0184097903628615,0.0694389579922023
"7","41886_r_at",0.744203425968327,0.851173930475429
"8","41887_at",0.0296863159659559,0.0984947126737273
"9","41888_at",0.225185206817577,0.403615896903486
"10","41889_at",0.76232895141154,0.862452994362514
"11","41890_at",0.000374516020655307,0.00348362780921106
"12","41891_at",0.0142385594225755,0.057632821420922
"13","41892_at",0.979682739771806,0.994257847858173
"14","41893_at",0.00384579219809357,0.0212439258634313
"15","41894_r_at",0.221545668157913,0.399093665247946
"16","41895_at",0.0466363391492099,0.136970237140561
"17","41896_at",0.884832286962657,0.94074366431204
"18","41897_at",0.498747869849164,0.673611833558758
"19","41898_at",0.267259528393414,0.451455857018919
"20","41899_at",0.352611934118063,0.54155562961786
"21","41900_at",0.0163834202647757,0.0639178381012318
"22","41901_at",0.471872084317211,0.650968249881315
"23","41902_at",0.989840147806936,0.999742925743462
"24","41903_at",0.000370058491883009,0.00345688999181978
"25","41904_at",0.290569480378112,0.47667039677315
"26","41905_at",0.47777433977105,0.655952532996577
"27","41906_at",0.289121637276652,0.475032256685157
"28","41907_at",0.612741751405408,0.761414786535475
"29","41908_at",0.0165239257895689,0.0642563070209551
"30","41909_at",0.942900174283658,0.973366367338725
"31","41910_at",0.0251245006057963,0.0873731080178155
"32","41911_at",0.187001807794767,0.357198743064159
"33","41912_at",0.151500094232169,0.309316352754848
"34","41913_at",0.451533414929324,0.633222955146212
"35","41914_at",0.00278285805860802,0.0164893334114361
"36","41915_at",0.618347465532705,0.764981183297819
"37","41916_at",0.000792909437993333,0.0063216244513299
"38","41917_at",0.062786335009758,0.168176469601588
"39","41918_at",0.376159597423991,0.564822405038634
"40","41919_at",0.0370611732857619,0.11577216879939
