"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",5.46336871559376e-08,0.000677239185985002
"2","42281_at",7.65597611168016e-08,0.000948116081670471
"3","42350_r_at",3.6464267871666e-08,0.000452776814162477
"4","42568_at",1.20793688082793e-07,0.00149264760363908
"5","42571_at",5.17579563124714e-09,6.4568050499808e-05
"6","42639_at",2.40481115498689e-07,0.00296272734294385
"7","42646_at",3.67901910732805e-08,0.00045678701236585
"8","42670_at",2.89848436826472e-07,0.00356774440889704
"9","42688_at",1.64987257246078e-07,0.00203544779264486
"10","42695_at",4.36691307531588e-08,0.000541715566992934
"11","42734_r_at",1.21840826319366e-07,0.00150534340917576
"12","42740_at",2.65330068557297e-08,0.000329778742209864
"13","42745_at",1.2079590048319e-07,0.00149264760363908
"14","42804_at",1.60774828096817e-07,0.00198363982905853
"15","42809_at",8.80288168631707e-07,0.0107597622851854
"16","42825_at",2.97281278089108e-07,0.00365834340816456
"17","42838_f_at",2.11620511688427e-07,0.00260864604758324
"18","42912_at",1.83952138975855e-06,0.0223649010566844
"19","42913_f_at",2.92299165934312e-07,0.0035974321531337
"20","42925_at",1.84503764787848e-07,0.00227566943489332
"21","43014_at",2.20852476669404e-07,0.00272200677495041
"22","43066_g_at",3.22986865656718e-06,0.0390861937913982
"23","43076_at",6.7295831255443e-12,8.47792882156071e-08
"24","43090_at",2.4804290618118e-06,0.0300900849488389
"25","43102_g_at",8.44825076450972e-11,1.06177615608358e-06
"26","43112_at",2.83084758832181e-10,3.55101521479088e-06
"27","43120_at",2.74469730674911e-10,3.44349724104743e-06
"28","43125_at",2.29341644137765e-06,0.0278420755983247
"29","43230_at",1.69109706649888e-08,0.000210457029925786
"30","43301_at",1.0602290935106e-06,0.0129411563153904
"31","43313_at",2.98940095211169e-06,0.0362046349310247
"32","43349_r_at",2.76600133939024e-06,0.0335101062267128
"33","43355_s_at",2.19950624890212e-14,2.77555693548958e-10
"34","43370_at",2.80181739304267e-10,3.51487991957203e-06
"35","43377_s_at",3.22973011001472e-06,0.0390861937913982
"36","43395_s_at",2.08523038974481e-09,2.60528684894717e-05
"37","43427_at",5.42666792112215e-07,0.00665418020487998
"38","43440_at",4.59731267090579e-07,0.00564458049733813
"39","43456_at",1.53682490334402e-10,1.93009839610975e-06
"40","43457_at",4.03687921848253e-06,0.0487372428047396
"41","43459_at",2.98940095211169e-06,0.0362046349310247
"42","43465_s_at",4.19460147129226e-07,0.0051509706067469
"43","43470_at",2.57428668758573e-07,0.00316986639089514
"44","43484_at",4.06367037679215e-08,0.000504281671953003
"45","43485_s_at",1.17697857955066e-09,1.47275329659174e-05
"46","43493_at",7.79240190431731e-08,0.00096485520379257
"47","43506_at",1.17081009514062e-10,1.47100580353467e-06
"48","43507_g_at",1.16655178107876e-07,0.00144171487870565
"49","43554_at",1.2742090238456e-09,1.59390806792846e-05
"50","43580_at",2.59895822871506e-06,0.0315097695649414
"51","43585_at",3.98904984290875e-08,0.000495080976003405
"52","43589_at",1.36704078001044e-08,0.0001702102475191
"53","43642_at",3.22982247383734e-06,0.0390861937913982
"54","43669_at",1.07847478639535e-07,0.00133359269840242
"55","43744_at",1.75476416378003e-06,0.0213502155807116
"56","43750_at",2.08743934628971e-06,0.0253582131787274
"57","43751_at",7.98390179597531e-07,0.0097635135062982
"58","43754_at",1.08647290087244e-06,0.0132582288093463
"59","43758_at",3.5430175333921e-06,0.0428421680137773
"60","43792_at",1.34967351941742e-06,0.0164484711811401
"61","43801_f_at",5.29395613531933e-07,0.00649197840874209
"62","43817_f_at",2.50197215985509e-10,3.13972486340215e-06
"63","43827_s_at",2.30939938902118e-11,2.90637913108316e-07
"64","43850_s_at",1.48762943179191e-07,0.00183632977060393
"65","43922_at",7.47923472237088e-07,0.00914859991240406
"66","43925_at",5.66324723259134e-10,7.09718143188347e-06
"67","43931_at",3.40900877160357e-06,0.0412353701013167
"68","43964_at",4.48605058224568e-08,0.000556404853715932
"69","43966_at",4.43969845522928e-10,5.56516201362991e-06
"70","43984_at",2.57419716655444e-07,0.00316986639089514
"71","44004_at",4.9649822520793e-11,6.24428374815848e-07
"72","44010_at",4.8725723368366e-07,0.00597962077176588
"73","44045_at",1.8548348732138e-06,0.0225485522425381
"74","44057_at",1.87289205470071e-08,0.000233006500525316
"75","44075_at",4.91335645135336e-07,0.00602917970145571
"76","44077_at",1.29677036831958e-06,0.0158076307898157
"77","44080_at",3.45407323826037e-08,0.000428961355459555
"78","44088_at",2.66152191241695e-10,3.33941154350955e-06
"79","44102_at",9.54804957346656e-07,0.0116638973589468
"80","44106_at",4.39844282664215e-09,5.48837695908408e-05
"81","44119_at",3.16187446291262e-11,3.97795426179037e-07
"82","44128_at",2.74477488755531e-06,0.0332556925376201
"83","44140_at",1.15646965219665e-07,0.00142939649011506
"84","44148_at",1.37608715412674e-07,0.00169933002663111
"85","44339_at",6.39947668509288e-07,0.00783743909623326
"86","44422_r_at",1.16653036548721e-07,0.00144171487870565
"87","44436_at",2.98695136952694e-08,0.000371188446691113
"88","44568_at",1.74105612066767e-06,0.0211903940446462
"89","44575_at",6.29516944502181e-07,0.00771158257015171
"90","44576_at",2.13444072160704e-07,0.00263091163345284
"91","44591_at",1.14043838377763e-06,0.0139122078437034
