"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",5.46336871559376e-08,0.000662542724140055
"2","42281_at",7.65597611168016e-08,0.000924841914290964
"3","42350_r_at",3.6464267871666e-08,0.000444098318409021
"4","42568_at",1.20793688082793e-07,0.00145145695600284
"5","42571_at",5.17579563124714e-09,6.39624824109521e-05
"6","42639_at",2.40481115498689e-07,0.00286364912335839
"7","42646_at",3.67901910732805e-08,0.000447994156699336
"8","42670_at",2.89848436826472e-07,0.00344166033887753
"9","42688_at",1.64987257246078e-07,0.00197456749472106
"10","42695_at",4.36691307531588e-08,0.000530798284304645
"11","42734_r_at",1.21840826319366e-07,0.00146379568740086
"12","42740_at",2.65330068557297e-08,0.000324153744756449
"13","42745_at",1.2079590048319e-07,0.00145148354020601
"14","42804_at",1.60774828096817e-07,0.001924635467147
"15","42809_at",8.80288168631707e-07,0.0102650403344143
"16","42825_at",2.97281278089108e-07,0.00352843148963962
"17","42838_f_at",2.11620511688427e-07,0.00252484432495462
"18","42912_at",1.83952138975855e-06,0.0210533223057866
"19","42913_f_at",2.92299165934312e-07,0.00347017569797215
"20","42925_at",1.84503764787848e-07,0.00220555800427394
"21","43014_at",2.20852476669404e-07,0.00263322407932931
"22","43046_at",4.16261592070825e-06,0.0463257525815621
"23","43066_g_at",3.22986865656718e-06,0.0363101834371283
"24","43076_at",6.7295831255443e-12,8.46379669699707e-08
"25","43090_at",2.4804290618118e-06,0.0281528698515639
"26","43102_g_at",8.44825076450972e-11,1.05746754819368e-06
"27","43112_at",2.83084758832181e-10,3.53601172257277e-06
"28","43120_at",2.74469730674911e-10,3.42840140586031e-06
"29","43125_at",2.29341644137765e-06,0.0260807317713467
"30","43230_at",1.69109706649888e-08,0.000207396144235423
"31","43301_at",1.0602290935106e-06,0.0123018381720035
"32","43313_at",2.98940095211169e-06,0.0336995169331551
"33","43349_r_at",2.76600133939024e-06,0.0312696451418067
"34","43355_s_at",2.19950624890212e-14,2.77555693548958e-10
"35","43370_at",2.80181739304267e-10,3.4997501056496e-06
"36","43377_s_at",3.22973011001472e-06,0.0363086258967855
