,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,Class
GSM152822,-5.330848927,4.647327908,-0.413789127,0.458289318,-1.067794186,1.246311889,-1.250809259,2.423397474,-1.327964123,2.106101944,1.031420789,-1.599747344,0.451671667,-3.198325472,1.179267379,-1.73478959,2.400422295,-0.472107963,0.409045611,-0.778032109,0.653489255,-1.320803781,0.963963185,-0.777488368,0.811093564,-0.047670711,0.225362966,-1.163980736,0.299382252,-0.504935889,0.985284736,-0.49448324,0.895373416,-1.124098098,0.407432469,-0.320445618,0.293437206,-0.03467326,0.218703644,-0.654405783,0.548193796,-1.281044926,0.928493253,-0.073584748,-0.09136113,1.664399794,-0.07117566,-0.001784884,-0.073759697,0.156207618,-1.135138641,-0.436320711,0.366516847,0.063539141,-1.145141639,-0.014119107,-0.301002031,0.470119611,0.054917335,-0.807972954,-0.65042594,0.785203645,-1.206648084,-0.224249857,-0.324861166,-0.39861638,0.433372127,0.018464079,0.466972771,-0.710436852,-0.859015892,0.321553162,1.037348696,0.347477599,-1.407636628,-0.076025073,-0.30192336,0.784032532,0.988219492,-0.245818266,-0.216685952,-0.649889072,0.55835304,0.203925606,0.353632975,0.764522004,-0.024506939,-0.107867229,-0.068211087,-0.787907696,-0.103917038,0.014401904,1.141927913,0.583817289,0.411557525,-0.233146611,-1.187723364,-0.677824492,0.003287004,0.874898027,1.145245853,0.47889368,-0.45895893,-0.80715266,-0.763286554,0.514624864,0.488652697,0.153947493,1.255972031,-0.322535645,-0.364492844,-0.193049603,-0.426043783,-0.203798944,-0.001057408,0.675697631,1.087054041,0.257029791,-0.643087468,-0.606670901,-0.161699998,-0.027057657,-1.055401733,0.318237643,0.997679024,0.504650122,0.469553553,0.301750871,-0.454996017,-0.679581049,-0.127723128,-0.080977637,0.350933136,0.206621454,0.347435257,0.435397418,-0.307191359,-0.054482765,-0.143766301,-0.686498622,0.606610946,0.967409419,0.231191781,0.683400865,-0.558652819,-0.837285277,-1.296140502,0.104633683,0.169765043,0.292330811,0.056963418,-0.004733707,-0.03593915,-0.216274549,-0.154432578,0.229568071,0.814822049,-0.222495241,-0.295459681,-0.119645678,1.126836879,0.057827997,0.005968047,-1.034482785,0.438479694,-0.840339293,0.357002216,7.77E-16,Normal
GSM152823,-36.09246341,-21.5934304,-7.65478108,-2.393026343,0.783164666,5.664020554,-13.25542599,4.67582986,8.743713138,4.248121294,-1.744426393,-0.88339056,-7.46162405,3.022295743,3.539460913,2.329747415,1.54570669,3.937077617,0.691362654,1.111818077,2.995250897,0.392278767,0.351143873,-3.240263836,-1.305643564,-0.946375595,0.062533648,2.660556523,1.65946872,-1.524314979,0.894349849,0.490053238,-1.474894826,1.52461035,1.599169793,2.351067227,-0.875958156,-1.570082888,-1.541145253,1.199040935,0.78622142,-2.620527551,0.031978576,0.745964303,2.279986373,0.999691923,0.333008753,0.672827183,0.620951296,-0.365248942,-0.658458169,-1.12745438,-1.017602063,-0.198765763,0.590488383,-1.469864717,-0.056623756,-0.488501308,0.770429426,-1.230475726,-0.022642208,-1.221435138,0.146874007,-0.039568774,0.083175305,-0.963040467,-0.072772965,0.190943643,-1.026710533,-0.409621912,-1.134795742,-0.404495277,0.404039188,1.323950208,0.263072429,0.704962598,0.264414946,0.160073282,0.027149393,-0.837819946,0.025614032,-0.038982986,0.557508236,0.441827661,0.009784978,0.141846936,-0.002687081,0.552433734,0.069339108,0.361251895,0.572726723,0.09671851,0.035916927,-0.103694434,0.194689811,0.069165174,-0.032606268,-0.280205663,-0.581153158,0.234978367,-0.281163749,-0.136647476,-0.480716145,-0.062859165,0.116756561,-0.513329754,-0.031436432,0.358974286,0.216456922,-0.34214902,0.475063941,-0.021564363,0.05924843,-0.081788749,0.155720544,-0.171371599,-0.324516745,0.00750928,0.262589253,0.349557776,0.035576135,-0.36639848,0.312683328,-0.208679045,0.107657622,0.161278866,0.086154578,-0.043493672,0.239211699,-0.226057986,-0.028540848,0.331366762,-0.058106071,-0.110099616,-0.019936228,-0.257467608,-0.103957755,-0.085488157,-0.164369106,0.001173319,0.124062246,0.000115733,0.172506113,0.001453827,-0.03880201,0.000252197,-0.039928922,-0.176816835,-0.106180526,0.009219195,-0.076328697,7.28E-05,-0.012970285,0.124433704,0.022552079,-0.079960469,-0.195186967,-0.061987423,0.092009672,-0.034713125,-0.141069619,0.063186913,0.158912642,-0.084231222,0.058444598,-0.004916022,-0.002746509,-1.28E-14,Normal
GSM152824,-18.4316091,-8.103795579,-1.389468606,-5.460496453,-2.076589442,1.963173093,-1.412393362,0.380844416,-0.750157742,-5.488067018,1.147399435,-1.232025425,3.892223547,2.133132476,2.170594434,-1.777363886,3.343752327,0.594003144,-2.02758297,0.068866893,2.8109547,0.921443195,-1.285145115,2.357132713,0.393416772,-0.933038606,2.877083431,4.278083661,1.373108537,0.4533086,-1.147592646,0.550357434,1.112888845,-2.066291538,-4.847572185,1.629433921,0.606954756,-1.351101709,-2.310822307,-0.482404412,-1.533301428,2.430343647,-0.99967318,0.524291946,0.858899601,-0.22188372,0.815947872,0.869114546,-0.874545573,-0.365110991,1.181380665,-0.494103295,-0.37620176,-0.021639678,-0.610970803,0.551599675,2.844226501,0.410720951,-1.240770066,-0.488500353,0.807074824,-0.956791284,-0.835307965,0.315408054,-2.039503494,-0.326985429,-1.030285627,-0.844439997,-0.415250351,1.216473011,2.550120111,-0.674787949,1.045981852,-0.460539656,0.155756931,-0.438748516,-0.780973445,0.646470254,-0.312743526,-0.269363187,0.201870867,-0.930933154,-0.793634343,-0.06059297,0.096841785,-0.4722505,1.402621342,0.133720356,-0.488782096,-1.032118707,-0.737440439,-0.17484607,1.095579878,0.04029543,-0.755706648,0.313507884,-0.674274527,0.170754231,0.406874776,0.60437154,0.684440536,-0.611644526,-0.031148715,0.027238558,-0.108474047,0.126871705,0.357648938,1.00895768,0.197395599,0.220665135,0.678833891,0.635415252,0.235516761,0.093013728,0.186949689,0.404180529,0.213701297,0.051448086,0.56597572,-0.550265911,-0.278477796,0.190338746,0.96280185,0.296753852,-0.130691081,-0.128191747,-0.280337444,0.047046487,0.024715514,-0.164906343,-0.671755275,-0.289945221,-0.047012713,-0.097661946,-0.240288412,-0.074250336,0.019866841,0.204635582,0.098655276,0.018887048,0.006828553,0.318583491,0.108285426,-0.330528884,-0.280429369,-0.3297231,0.121413175,-0.149863418,-0.103517311,-0.301995462,-0.044711846,-0.339503006,-0.092044346,0.006134365,-0.137019377,0.150908865,-0.046765674,-0.005726146,0.129915503,-0.269904408,0.402118455,0.176459322,-0.344475052,0.079178354,-0.061386096,0.091299351,0.136218711,4.79E-15,Normal
GSM152825,-5.079162049,8.270657457,0.7879582,2.919501511,-0.75761468,0.53734505,-2.879178893,6.78250656,0.569428835,1.827337556,1.118283659,-1.381106667,-0.205949408,-0.845434105,-0.735412216,-0.95050503,0.032103085,0.360828605,0.168823841,2.061446855,1.603028946,-1.973487832,1.77573457,0.028769458,0.63938338,0.487678437,0.536622746,-1.485875034,1.0433044,-0.032949275,2.41676887,-0.088471249,2.645625797,-3.999411127,-0.54239259,-1.260704311,-0.420004495,-1.286087297,0.514189789,-0.51557058,-1.099448766,0.559870247,0.49351042,-0.595511225,1.526074664,-0.386178942,0.854254564,-1.265842035,-0.28340879,-0.18803004,-0.52273011,1.306812117,-0.231218947,-0.42026523,0.736402218,-1.475787046,1.05524615,-0.939415111,0.543074532,0.671573968,0.023126955,0.124466921,0.543757512,-0.325851103,0.298256602,0.251934725,-0.732858337,0.6088334,0.395667585,-0.843715512,0.008407159,-0.093364861,-0.094945561,0.587718808,-0.412995156,0.453046699,-0.312922899,0.823803394,1.360116371,0.283559868,0.566758987,-0.576934164,0.238910722,0.099720294,1.076840137,0.440723672,0.401901597,-0.392211217,0.228321461,-0.233919997,0.100208511,-0.688664107,-0.489169548,0.102035829,-0.495023796,-0.301363369,0.989030612,0.445769949,0.493166777,-1.107806021,-0.104757771,-0.112687059,-0.164281912,-0.50480366,-0.737209269,-0.799575773,0.312006004,-0.034124259,-0.455122435,0.087295492,-0.198593014,-0.675606199,1.101878083,0.198171192,0.29134116,0.095669981,-0.01750666,-0.372676095,-0.284290067,0.099426693,-0.124228558,0.158424779,-0.280216622,-0.196159391,-0.167809719,-0.352133558,0.787002711,-0.256740497,0.016594816,0.44389309,0.167225954,0.300164624,0.007499216,-0.128447476,-0.534141929,-0.067127372,0.393703293,-0.192286776,-0.002543435,-0.615327976,0.084699656,-0.150646354,-0.284300394,-0.181017196,0.609090592,0.131286112,0.011144639,0.574628345,-0.47950335,0.313463702,0.008932349,-0.399706298,0.593612647,-0.0977495,-0.619272571,-0.08339528,0.390801584,-0.46093403,0.371748978,0.416639949,-0.358205492,0.304061666,-0.666304671,0.49268319,-0.211444405,0.658099623,1.489686206,1.18E-15,Normal
GSM152826,-5.001245855,6.977241121,1.045260168,1.677698445,-1.558220002,0.536611008,-2.582906278,5.669770048,-0.126823386,2.16517816,0.812668228,-1.027317369,0.468012224,-1.506926758,-0.700221691,0.292936779,-0.390154837,-1.20083676,-0.374428623,0.725464488,1.854715216,-1.299598714,2.115557726,-0.783911048,-0.154597785,0.423914445,0.193247416,-1.256772178,1.675666419,0.132634726,2.141675462,-0.226766461,2.988598245,-3.605421479,-1.04069148,-1.671668166,-0.420274202,-0.735912325,0.044352384,-0.505655564,-0.988490754,0.904772261,0.5529742,-0.515070906,0.904058697,-0.107646576,0.998084844,0.34030281,0.637290381,0.392510751,0.173190526,0.831878693,-0.320352092,0.527463508,-0.054926446,-0.101814387,1.802900564,-0.441304822,1.390003135,0.844262458,0.281011548,0.146235995,-0.083206175,-0.892105985,0.375912529,0.101152746,-0.167006381,0.077919768,0.161739214,-0.349997393,0.077248646,0.340914977,0.495943033,-0.059134821,0.137961173,0.477005826,0.48185716,0.885398664,1.406328265,0.156930443,0.119403672,0.013504463,-0.245563154,-0.221266909,0.125206463,-0.937285199,-0.019336008,-0.319943643,-0.01283607,-1.382654189,-0.734252163,-0.517265234,-0.011185514,0.206236847,0.82497738,-0.571116998,0.6463903,0.611008319,0.083333118,-0.38311183,0.295289257,-0.080611001,-0.100621952,0.17945717,0.361643916,-0.962026442,-0.646466804,0.1479485,-0.530364607,-0.19862093,0.412662095,-0.13545588,-0.241505535,0.417958405,-0.202422425,0.189898754,-0.072669137,0.126270381,0.642549978,-0.183878695,0.812384551,-0.082147895,0.183691558,-0.063816931,-0.275331325,-0.678327187,-0.115118244,0.11389727,0.692277342,-0.07947931,-0.806227048,0.448222847,-0.427306715,0.415448472,0.445506616,0.066010004,0.423727175,0.711854059,-1.033652692,0.284937349,-0.544999861,-0.698517674,-0.025461995,0.39341964,0.806875981,-0.310005082,-0.238272038,-0.622077472,0.017597249,-0.196507897,0.009831458,0.422882497,-0.278394041,0.674772275,-0.135415025,-0.13681458,-0.022865692,0.548022824,-0.52986792,0.013342951,-0.199018445,-0.246407506,1.040888926,-0.111877506,0.380279163,-0.533901895,-1.331691475,2.46E-15,Normal
GSM152827,-17.34023196,-4.478177226,-1.321294674,-8.010675935,-7.00886632,5.571116519,-5.110343867,4.133097909,-9.275641436,-4.67405405,4.751756692,1.078006493,-1.066115388,-0.777519808,-0.499739419,0.415156934,1.25743937,-0.197017519,0.210032822,1.751749357,0.260349521,0.939978788,2.211046381,-0.186083033,-0.61628724,0.22500862,-0.610464206,1.012475456,-0.857079774,-0.09201679,1.286877202,-1.094889068,-0.01677513,-0.685967331,0.208109413,-0.62851738,-0.55019943,1.09650025,-0.230751604,-0.494308832,0.178134621,0.612397219,2.646922555,-0.115246953,-1.139771034,0.920477693,0.966090823,-0.135240903,-0.368577746,-1.446749357,-0.64719234,0.884472285,0.703721265,-0.433779155,0.401544847,1.261684361,-0.656626125,0.656015504,-0.807089856,0.525792447,0.475407708,0.821988387,-1.285050694,-0.629791892,-0.099927646,1.803293588,-1.519511797,0.456689213,0.813777651,0.08050558,-1.107844831,0.477672364,-0.448486331,1.303876198,-1.393930355,0.025469071,-0.394649731,0.184600935,-0.147609969,-0.044960339,0.193737965,0.849001951,-1.222895749,1.201004304,0.302116453,-1.47941717,-0.371288617,0.433208168,-0.481268665,0.597729623,-0.814874209,0.731739783,-0.415077742,1.37573615,-0.859480176,0.054859141,-0.414164105,-0.489210326,-1.62553456,0.048760741,-0.880939354,1.011537418,-0.054863497,0.173229686,-0.719134154,1.153729723,0.592931378,-0.207548218,0.001310991,0.6125808,0.736742503,-0.684288498,-0.436651617,0.204676987,0.838690698,-0.884659801,0.037041942,0.648045681,-0.673242842,0.549702368,0.475026056,0.014366974,0.418690292,-0.40530334,0.22270996,-0.025411858,0.219840643,0.235160433,0.112332927,-0.189089712,0.43807764,-0.01526787,0.793610085,-0.098367655,0.395929854,0.080166003,-0.260401638,0.247687651,0.551949653,0.393555615,0.09987108,-0.07040071,-0.033315683,-0.596999722,0.640591393,0.417580324,0.106266609,0.01049282,0.202843559,-0.484385495,0.0770511,0.294715825,0.373967379,-0.583851402,0.346072422,0.006199951,-0.069326801,-0.188575103,0.069274771,-0.41127935,-0.388319157,-0.058057155,0.080822172,-0.061560116,0.107151408,0.127433702,-0.165604273,-2.26E-15,Normal
GSM152828,0.53767665,4.952518392,1.32003389,-8.604353446,-7.555674863,3.937882715,1.05133855,0.096235667,1.610936667,4.296982049,-5.590744815,1.562647319,0.170983196,-5.539616119,-4.441396885,4.271332824,-2.475674354,0.438648117,-3.464099726,-1.573401354,-2.682484872,2.266215812,-3.464250468,0.717456471,1.182020583,0.432083277,-1.102047874,0.495409077,1.794608807,-1.946241407,1.134977706,-0.102267099,-0.648897779,-1.191103819,3.328869299,-2.235670675,2.396542295,-1.094554184,-0.814454765,1.081581752,-0.408636895,0.875568444,-1.788093512,0.102206597,0.881214573,-0.409376713,-0.246915919,-0.225692874,0.440806235,-0.435866485,-0.186211065,1.944913116,-0.57614923,1.704672172,1.837326212,-0.380699165,0.877431347,0.065163559,-0.009421435,-0.522941561,0.754478001,0.467757763,0.593274284,0.123574491,-1.689645141,-0.891723831,0.504618067,1.24983241,0.552933701,0.175392277,0.458353749,-0.997133652,0.378499388,1.047174111,-0.207756873,0.503361615,0.096663094,-0.568843946,0.369526966,0.302707363,0.460625336,-0.881601163,0.075837445,-0.193539478,-0.192258704,0.205002703,0.701055756,0.262180313,0.030602745,0.31299928,-1.246939047,0.786286309,0.374424415,-0.014153931,0.149340884,-0.435330233,-0.505883151,-0.204627861,-0.639031616,-0.470148983,-0.329215527,-1.008356932,-1.50023811,0.781811399,0.797360271,0.767785795,0.016832097,-0.411651136,0.403866661,0.220707737,0.402651791,-0.006688901,0.340050603,0.350597102,-0.704122381,0.029308908,0.065041213,0.488254965,-0.02211092,-0.04465532,0.149322734,1.59287352,0.134938123,0.297392128,0.353817516,-0.331048251,-0.166247318,-0.187423443,0.726079257,-0.26853615,0.423976351,-0.320270317,-0.3337167,-0.290104323,-0.22467936,0.249585437,-0.098795085,-0.442004308,0.313158242,-0.054178729,-0.168893108,0.258898544,-0.240620726,-0.021374446,-0.064893943,-0.144872724,-0.271401631,-0.19052786,-0.267896959,-0.195060737,0.023450532,0.155698621,-0.138031797,-0.228321471,0.00810358,0.017359822,-0.144310555,-0.462248084,0.187687533,-0.158250441,0.124231389,0.285474759,0.012022975,0.055466579,-0.089117717,-0.143460024,-0.036185281,2.62E-15,Normal
GSM152829,-11.23345197,-1.560697293,-0.326288138,-6.636373525,-3.54693203,4.251426348,-1.879220155,2.335810522,-2.145244498,4.428504935,-4.389849224,0.157874857,-1.7142637,0.030174789,1.069687565,1.641577077,0.73259042,2.590479644,-3.342719812,-1.290470368,1.825658239,0.197608816,-0.741096304,1.553955335,-1.021763709,3.286781164,-2.562081624,1.430956325,0.637526169,-1.290233922,-0.086503927,3.371387502,-1.691829814,-1.77240334,0.320651481,-2.029041717,-3.073805645,0.103022375,-0.194160471,0.523385354,1.833813873,1.210732515,-0.063428065,-1.82862524,-2.204992785,0.21315355,-0.434155604,1.916180222,-0.423384895,-0.008458917,0.934002963,-2.472877132,0.544627956,-0.773797868,-0.175592761,1.444641811,-0.280591831,0.275649216,-0.204094402,1.080728235,0.220377168,2.028283046,-0.077332066,1.464323895,-1.038884506,0.879574498,1.078616143,1.689373493,0.483886956,0.376723746,0.778404829,1.174568408,-1.772105188,-0.800329853,0.171934923,-1.901310661,-0.372772181,-0.40925068,-0.654866482,1.153951237,-0.338347129,1.335055285,0.030366621,0.246284211,-0.172643642,-1.080637648,-0.340376803,0.19876512,-0.747510571,-0.803176797,0.671866645,-0.468247748,0.155500945,0.208393352,0.590045479,0.119812399,1.935446709,-0.021854272,1.405377948,0.039195949,-0.591362258,-0.481157701,0.758490484,-0.002483771,-0.256736858,-0.468595541,-0.159333032,-0.684928929,0.130239064,-0.493595722,-0.818277295,0.569775488,-0.539828271,0.850412775,0.099797999,0.36039007,0.53117474,0.100289658,0.184186072,0.046686827,-0.292464363,-0.809154447,-0.032585495,0.23733553,-0.019961707,-0.154160902,0.256938635,0.272221156,-0.663663995,0.300643402,-0.182412718,-0.380590938,-0.177302616,0.075934642,-0.186469166,0.10904613,-0.218058237,-0.168532671,0.048672248,0.062813335,0.091250892,-0.071406282,-0.00391176,0.254592151,-0.028913587,-0.117935463,-0.137236319,-0.093337407,-0.05657308,0.3125487,0.182979247,-0.19918433,0.254883712,0.080963739,-0.513550947,-0.313325108,0.066079339,0.218611565,-0.00754004,0.422793939,0.196016212,-0.068702047,-0.075226851,-0.087950563,-0.000523642,0.018362869,0.138073146,-5.30E-15,Normal
GSM152830,-7.320448497,5.742366451,-0.057014245,3.574458876,-1.594187408,0.420185092,-2.747235056,5.252565968,1.174154802,0.141779442,0.41852492,-2.575019708,-0.147146434,-1.495815356,0.793393277,-1.826046862,-0.025172746,0.398223478,-0.497462249,-0.636290156,0.618218035,-0.966273025,-0.839818544,-1.723366652,0.678018529,2.801718796,0.351925595,-0.218137635,-0.570569002,0.329364829,-0.049084451,1.916133656,1.915433125,0.692279415,1.18122579,-0.312967596,-0.187163751,2.026731785,-0.80902833,-0.087380892,-3.186927678,-0.229382647,-1.06064182,0.375935293,-0.23947861,0.192963518,-0.633487,-0.09322258,1.85347786,-0.605587931,-1.44115696,-1.253986876,0.79176622,-0.312148296,1.737242653,-0.82035674,-0.066676557,0.022536148,-0.453614736,0.265611371,1.107822177,0.352880846,-1.067331457,-0.518315995,-0.118340491,0.184649156,0.11528455,-0.103437381,1.036700263,1.147497184,1.231297894,0.270256842,0.250308461,-1.789210059,3.317303736,-0.108090401,0.014914058,-1.2777413,-0.908419427,-0.299459414,0.052031189,0.070176014,0.232224805,-0.32279224,0.18343238,-0.36806912,-0.488082721,-0.632836226,0.674054225,0.487247177,0.155332561,-0.41422471,0.704334755,-1.066118671,-0.473587408,-0.022744257,-0.282680307,-0.678820015,0.59146633,0.984369012,0.276493689,-0.060615657,0.557252155,0.226358584,-0.715155883,0.146927439,-0.577996735,-0.308944652,0.932753188,1.299353843,0.953539609,-0.849801724,0.053055779,0.921062598,-0.649696814,-0.118722914,-0.224688952,-0.14955463,-0.086737946,-0.702934455,-0.184289719,0.17714176,-0.075588501,-0.49584508,-0.35436089,0.663506729,-0.522555807,-0.019802593,0.558376788,-0.217859027,1.442730052,0.495212249,0.118272467,0.069277219,0.119371896,-0.080044964,-0.257101661,0.792503365,-0.265978445,0.349597199,-0.103301892,0.235788211,0.380156897,0.05517486,0.001581475,0.50959213,-0.109279278,-0.402800253,1.514170607,0.048244348,-0.383270253,-0.081226397,0.082548625,-0.56092541,0.271675693,0.27795796,0.496492459,-0.504414755,0.022932086,0.472903228,0.130078167,0.097637678,0.138073726,0.388489692,0.033423371,0.12462686,-0.030751933,-2.46E-15,Normal
GSM152831,-6.132451024,5.362672486,1.175874127,4.517551509,0.406959029,-2.276795567,0.925767897,4.895553847,-1.219910994,1.419346622,2.200400763,0.290116242,0.517646185,-0.092471857,-0.864151788,-0.495752488,-0.628109987,0.189652792,-1.136891972,0.596935253,1.526968531,-0.225165818,0.542711161,-0.005918946,-0.011947234,0.109249876,0.552345837,0.077255657,-0.223117617,-0.789442231,0.993473576,0.524549241,-0.511815035,0.267200815,0.184184403,-0.380366064,-0.121358233,-0.018997937,1.26111429,1.08920368,0.625762889,0.890887021,-0.007251759,-1.27481977,0.500747711,-0.472373353,-0.048053849,-0.041355125,-0.567596145,0.261332532,0.31657429,-0.176062421,-0.837655285,0.430634378,-0.040979799,0.353454579,0.211067181,-0.357940465,-0.546959413,0.631163427,0.510975455,-0.402711389,1.140842981,0.552263888,-0.351754036,1.021082308,0.205594897,1.422903684,-0.055116753,-0.471740853,0.464915646,-1.854356724,0.133702562,0.128125112,0.708440136,1.994109732,-0.786430829,-1.144117167,-0.675910772,0.375912718,-0.548504627,-1.520840305,0.47522709,0.706116106,-0.040085438,0.216671949,1.350173479,-0.435789633,-0.316158265,0.858783721,0.720443075,-0.129132374,-0.460582947,-0.587121398,0.768939581,0.257868874,-0.397373496,-0.073913649,-1.140665273,0.175474583,-0.976744224,0.508488081,0.517931083,1.008673425,0.122483699,0.112462216,-1.196097865,1.610068106,-0.061844299,-0.77046523,0.117305322,0.207826137,0.371154422,-0.853226347,-0.502434746,-0.149599619,-0.362111532,0.336970982,-0.716879685,-0.42044531,0.920786649,-1.21629955,0.946555165,0.387603144,-0.044044249,-0.047292312,-0.818586522,0.070500624,-0.301381362,0.390492104,-0.415792996,-0.515329824,-0.07039661,-0.143831473,0.033367009,0.453112581,-0.113424742,-1.065052997,0.410038125,-0.0293835,0.403686864,0.165471694,0.471974091,-0.097177028,0.320020757,0.303866096,0.154146914,0.761300435,0.758626673,-0.593080702,-0.527460927,0.809344004,0.35716462,0.311361692,0.221406813,-1.090677528,0.601715436,-0.033057956,-0.604107578,0.202156103,0.88518194,-0.169592479,-0.518161657,-0.548430358,-0.167219767,0.346535696,-0.236469295,2.36E-16,Normal
