,PC1,PC8,PC168,CLASS
GSM152822,-5.330848927,2.423397474,7.77E-16,Normal
GSM152823,-36.09246341,4.67582986,-1.28E-14,Normal
GSM152824,-18.4316091,0.380844416,4.79E-15,Normal
GSM152825,-5.079162049,6.78250656,1.18E-15,Normal
GSM152826,-5.001245855,5.669770048,2.46E-15,Normal
GSM152827,-17.34023196,4.133097909,-2.26E-15,Normal
GSM152828,0.53767665,0.096235667,2.62E-15,Normal
GSM152829,-11.23345197,2.335810522,-5.30E-15,Normal
GSM152830,-7.320448497,5.252565968,-2.46E-15,Normal
GSM152831,-6.132451024,4.895553847,2.36E-16,Normal
GSM152832,-7.759383538,4.024377776,-1.28E-15,Normal
GSM152833,-4.936336114,4.013030297,-8.26E-16,Normal
GSM152834,-11.39821912,-0.654412819,-2.43E-15,Normal
GSM152835,-15.24856627,5.315078899,1.91E-16,Normal
GSM152836,-22.24713655,0.394819313,-5.37E-15,Normal
GSM152837,-14.99987378,4.432637206,-5.72E-15,Normal
GSM152838,-10.26263785,1.761183577,-4.86E-17,Normal
GSM153178,2.344851862,0.063339356,1.11E-16,Normal
GSM153179,-16.4205114,-2.116365796,-5.53E-15,Normal
GSM153180,-13.52863155,0.622551489,9.85E-16,Normal
GSM153181,-7.903418633,0.481016507,-1.71E-15,Normal
GSM153182,4.612502638,-2.4834121,1.36E-15,Normal
GSM153183,6.558470312,-2.028409286,3.84E-15,Normal
GSM153184,-4.920627022,-2.158087953,4.94E-15,Normal
GSM153185,-18.81390753,-1.308501747,-3.57E-15,Normal
GSM153186,-9.071197793,1.70432067,-6.94E-16,Normal
GSM153187,-1.204098866,-1.629125309,-5.34E-16,Normal
GSM153188,2.960355975,-2.257992571,3.59E-15,Normal
GSM153189,-8.182896158,-0.503762852,-2.22E-16,Normal
GSM153190,-2.675443931,2.628529044,-1.04E-16,Normal
GSM153191,-6.539272262,-3.794215226,8.67E-18,Normal
GSM153192,-10.18183185,-1.962275375,-1.18E-15,Normal
GSM153193,-23.73797303,-3.708314101,-5.44E-15,Normal
GSM153194,-4.237074268,0.706236687,-7.49E-16,Normal
GSM153195,-11.86809404,-0.602976576,-1.83E-15,Normal
GSM153196,-8.611066896,1.317827457,-1.40E-15,Normal
GSM153197,-15.00729073,-0.060935842,-8.38E-15,Normal
GSM153198,-0.768649638,2.79062255,1.19E-15,Normal
GSM153199,1.765846383,-0.174412987,1.06E-15,Normal
GSM153200,3.534532841,2.062292456,2.60E-15,Normal
GSM153201,-3.607744626,1.863449409,-1.25E-15,Normal
GSM153202,-18.95042279,-2.101048573,-1.60E-15,Normal
GSM153203,-5.107788444,0.57094389,-6.11E-16,Normal
GSM153204,-1.429632487,3.225282074,-9.28E-16,Normal
GSM153205,-16.57718717,-1.754960655,-5.55E-17,Normal
GSM153206,-1.95002103,-1.410039104,4.93E-16,Normal
GSM153207,-3.89126187,0.59904698,-6.87E-16,Normal
GSM153208,-31.18910589,-6.541634685,-9.37E-15,Normal
GSM153209,-7.119060428,0.703940398,-8.57E-16,Normal
