X,GSM152822,GSM152823,GSM152824,GSM152825,GSM152826,GSM152827,GSM152828,GSM152829,GSM152830,GSM152831,GSM152832,GSM152833,GSM152834,GSM152835,GSM152836,GSM152837,GSM152838,GSM153178,GSM153179,GSM153180,GSM153181,GSM153182,GSM153183,GSM153184,GSM153185,GSM153186,GSM153187,GSM153188,GSM153189,GSM153190,GSM153191,GSM153192,GSM153193,GSM153194,GSM153195,GSM153196,GSM153197,GSM153198,GSM153199,GSM153200,GSM153201,GSM153202,GSM153203,GSM153204,GSM153205,GSM153206,GSM153207,GSM153208,GSM153209,GSM153210,GSM153211,GSM153212,GSM153213,GSM153214,GSM153215,GSM153216,GSM153217,GSM153218,GSM153219,GSM153220,GSM153221,GSM153222,GSM153223,GSM153224,GSM153225,GSM153226,GSM153227,GSM153228,GSM153229,GSM153230,GSM153231,GSM153232,GSM153233,GSM153234,GSM153235,GSM153236,GSM153237,GSM152881,GSM152882,GSM152883,GSM152884,GSM152885,GSM152886,GSM152887,GSM152888,GSM152889,GSM152890,GSM152891,GSM152892,GSM152893,GSM152894,GSM152895,GSM152896,GSM152897,GSM152898,GSM152899,GSM152900,GSM152901,GSM152902,GSM152903,GSM152904,GSM152905,GSM152992,GSM152993,GSM152994,GSM152995,GSM152996,GSM152997,GSM152998,GSM152999,GSM153000,GSM153001,GSM153002,GSM153003,GSM153004,GSM153005,GSM153006,GSM153007,GSM153008,GSM153009,GSM153010,GSM153011,GSM153012,GSM153013,GSM153014,GSM153015,GSM153016,GSM153017,GSM153018,GSM153019,GSM153020,GSM153021,GSM153022,GSM153023,GSM153024,GSM153025,GSM153026,GSM153027,GSM153028,GSM153029,GSM153030,GSM153031,GSM153032,GSM153033,GSM153034,GSM153035,GSM153036,GSM153037,GSM153038,GSM153039,GSM153040,GSM153041,GSM153042,GSM153043,GSM153044,GSM153045,GSM153046,GSM153047,GSM153048,GSM153049,GSM153050,GSM153051,GSM153052,GSM153053,GSM187528,GSM187529,GSM187530,GSM187531
42265_f_at,4348.4,5143.8,5999.4,3925.4,4851.7,4591.4,2741.9,4737.5,2649.3,4275.1,3038.6,4880.2,7230.3,4036.5,4689.2,5997.2,5429.7,4483.7,6109.3,4618.3,5329.4,697,6625.7,10093.9,7329.3,5157.8,7126.2,5384,4967.5,4159.2,10692.7,5007.6,6840.1,9392.5,4895.3,4878.8,4748.3,5460.3,3021.4,8955.3,6828.9,6199.6,5027,4353.5,5117.7,4784,6821.5,5769.6,6075.5,6102,5138,5563.4,5834.5,7906.1,5380.7,4026.9,4969.7,4218.9,8333.1,7094.2,5565.2,8282.3,3031.9,4334.9,2886.9,7571.7,6617.4,6243.9,6255.8,5469.3,9169.8,6344.3,7730.9,5121.7,6269.1,8463.3,3138.2,8302.2,13610.5,12755.9,24625.1,18565.8,19637.5,15016,21578.9,18827.7,19568.9,19281.8,13068.6,13854.6,12142.5,12001,13928,14352.8,12455.3,13521.3,11086.4,7478.3,13922.2,9750.8,9467.8,12267.9,5089.1,5922.6,4003.9,7480.5,8913.5,7365.1,6603.9,5425.1,9661.6,7623.7,4282.6,5108.3,10385.1,4903.6,8482.9,5385.4,5094.1,6725.5,7015.6,4450.1,5122.8,4759.3,4077.3,6212.4,5544.1,6357.3,11415.8,4853.3,8464.7,4608.8,11072.5,9410.7,4849.4,8685.9,6131.2,13067.8,7279.1,6870.2,4263.6,6530.2,5857.9,4296.3,5197.7,6563.1,5451,4710.7,6035.7,7538.8,4776.4,7350.3,9294.8,10193.9,6090.3,5422.1,5841.9,5524.5,3317.5,6224.5,5614.8,11263.8,8317.4,5918.1,45096.4,24094.7,17631.4,9464
42281_at,442.4,260.8,327.1,302.4,357.5,163.7,91.1,320.6,359.3,574.3,702.3,858,492.1,419.5,242.4,1265.7,550.4,782.8,477.8,759.9,721.7,27.3,1542.8,501.3,506.6,291.6,756.6,1237.7,165.3,837.9,433,211.8,238,647.9,391.4,509.5,271.1,1091.8,428.1,1144.8,311.5,257.1,813.5,420.2,192.8,1094.2,540.5,177.6,790.7,665.4,789.3,753.7,754.3,631.5,383.2,473.2,359.4,222.9,532.5,389.6,292.3,239.5,245.9,399.6,449.4,258.1,769.2,355.9,362.2,405.1,295.7,481.5,420.3,332.7,840.4,584.5,306.2,1480.1,892.9,476.9,56.8,600.1,682.9,642.9,640.9,1171.7,834.6,1462.8,858.9,753.8,606.2,784,405.1,777.3,1724.2,1404.2,1670.3,1136.5,1358.8,2132.3,2467.6,1259.5,715.6,633.1,576.5,511.8,163.6,621.6,758.6,914.4,590.6,571.2,497.5,915.5,574.5,427.4,614.1,472.7,944.2,882.4,725.2,701.4,1058.1,676.3,407.6,1096.5,779.8,1121.4,973.1,814.1,733.7,1033.2,682.5,792.6,752.7,300.2,818.2,465.7,606.6,1161.6,900.8,587.3,775.6,144.6,1025.1,1314.2,327.3,259,832.4,587.7,708.6,977.8,502.8,563.3,500.2,680.2,502.9,980.8,388.4,1078.3,933.2,726.5,331.2,370.1,214.6,1234,790.7,873.5
42350_r_at,129.6,94.9,162.7,106.2,65,81.4,203.9,174.9,54.9,197.4,150.8,200.4,248.1,122.4,184.1,249.8,296.3,365.8,138.3,129.9,214.7,17.8,360.7,331.7,216.8,162.3,164.1,185,427.4,240.4,279.8,183.7,109.9,190.7,259.2,188.7,150.1,334.6,187.1,236,53.3,121.1,141.3,143,165,256.2,327.7,122.5,152.5,367,227.9,285.6,216.7,340.7,211.4,409.9,251.2,208.7,364.5,227,226.3,86,168.3,179.3,309.4,121.9,249.6,250.5,201.9,152,240.8,185.7,318.5,298.4,193.3,277.9,99.8,535.1,453.1,1720.1,1931,1507.9,686.9,2471.4,1062.7,341,548.6,550.4,679.2,1250.3,444.6,1325.1,982.8,2153.8,391,285.3,197.7,281.6,192.2,258.8,241.2,528.8,325.5,297.9,219.3,132.5,243.5,152.8,156.4,137.6,391.5,208.5,277.4,338.9,389.1,477.7,176,188.7,212.2,171.4,228.3,109.2,196.3,331.5,182.7,177.7,141.3,215.8,98,152.8,293.9,331.1,552.9,313.9,353.3,300.5,255.4,135.8,330.8,286.2,388.3,241,268.3,238.7,155,293,247.9,224,273.1,291.7,261.8,388.1,227.2,229.8,260.9,241,257,258.7,175.5,455.6,495.7,386.2,327.7,214.1,872.3,495.6,643.8,451.1
42568_at,1040,300.6,286.8,505.6,1040.3,400.6,140.2,88.9,404.5,933.6,582.7,864.2,1054.3,898.2,177.2,664.8,501.7,893.9,557.2,656.9,1086,62.5,569.5,1013.2,861.2,518.2,1167.2,384.8,529.8,497.1,609.9,196,569.2,1132.6,509.3,476.5,507.2,679.4,462.1,590.1,586.6,655.1,615.5,462.8,693.7,555.1,678.3,366,1018.5,1021.5,1085,728.8,965.4,589.5,709.1,1063.9,559,618.3,984,330.6,460.5,353.2,480.1,798.4,494.3,371.3,766.8,412.9,768.2,946.4,503.2,667.1,732.9,475.8,864.9,653.2,608.9,1243.6,1049.9,1519.9,1148,1143.9,683.4,878.2,1805.4,852.8,873.9,1682.4,855.9,914.9,517.9,818.9,1198.4,672.3,1595.1,1321,1303.3,1058.6,1002,702.6,1244.1,1170.6,761.9,508.6,549,861.6,1163.8,558.3,1043,746.6,896,472.8,589.1,284.7,1290.3,720.3,1033.3,772.3,787.1,812,700.2,991.2,695.7,581.7,353.3,668,550.7,752,759,1159.3,1000.8,748.8,737.7,1618.5,799.1,2537,785.9,885.1,956.9,1267.2,1266.5,707.3,629.3,471.7,288.4,1407.8,744.4,414.2,739.9,369.8,604.6,2836.4,855.7,918.9,684.5,745.4,905.1,761.9,1141.5,909.3,672.4,664.8,786.8,1086,1151.8,960,1166.4,880.1
42571_at,79.9,144.9,281,86,111.6,74.6,26.8,87.4,32,118.1,123.1,194.6,243,148.7,208.5,324,228.5,167.3,226.2,185.7,209.6,10.7,285.3,341.7,253,212.4,245.2,221.2,122.2,205.9,388.2,235.5,299.4,211.1,17.4,385.6,280.8,179.2,71.1,190.8,122.6,90.5,91.3,38.3,297.8,237.5,344.9,284.7,210.5,273.1,152.4,312.9,182.2,317.3,191.5,173,144.9,65.5,287,170.8,178.1,216.4,16.2,116.7,151.1,82.2,155.5,151.7,185.6,261.9,195.7,140.6,341.1,187.3,308.5,522.5,167.7,346.3,659.8,838.1,508.7,1100.9,960.8,961.1,1158.5,850.2,845.5,424.6,1073.8,931.7,464.1,513.7,873,1193,536.7,698.8,532.6,336.3,312.8,538.2,621.5,371,199.1,338.9,134.9,234.7,229,338,285.5,264.9,381.3,425.5,163.9,236,454.3,469.6,252.4,275.1,199.2,471.1,147.1,228.5,224.4,245.1,178.1,307.6,227.4,90.1,114.5,151.4,369.7,224.8,347,192,137.4,372,318.3,320.3,192.6,306,266.3,328.3,208.4,184.5,261.8,269.3,175.1,226.2,133,256.4,46.4,131.1,222.2,173.8,251.1,237.1,126.3,198.9,92.5,233.6,196.1,424.8,328.6,303,1796.3,1514.7,853.9,427.9
42639_at,139.4,215.7,202.4,133.9,58.4,146.3,152.3,154.2,96.7,193.8,214.6,362.6,274,179.4,147.4,225.2,246.3,424.7,200.4,71.4,183.4,10.8,177.6,250.8,371.4,73.7,376.3,304.1,317.7,284.1,187.3,145.6,218.6,261.2,108.4,63.3,246.2,122.4,173.8,120,124.2,183.9,115.5,144.4,76.6,231.6,252.4,90.1,305.2,198.3,100.1,103.3,200,167.4,67.9,212.2,74.2,117.9,203,101.8,208.8,82.8,73.7,74.6,188.3,60.3,149.1,117.3,289.4,250,187.6,104.1,274.4,135.9,349.2,1029.8,119.3,251.5,204.2,571.5,552.9,833.8,1106.2,907.1,847.5,1694.6,1246.5,431.4,1784.7,2431.3,735.5,753.5,502.6,896.9,257.8,115.5,283.3,349.5,329.5,289.1,274.3,593.9,90.9,201.6,45.8,348.1,227.2,250.2,236.1,242,206.8,147.2,285.9,286.1,73.7,435.5,317.7,166.6,108.6,247.6,185.5,209,209.1,164.1,105.6,134.7,147.5,88,156.5,191.9,398.8,245.6,379.3,217.2,322.4,215.8,163,249,306.1,263,197.1,113.5,170.9,81.7,531.8,307.7,234.5,147.3,128.3,201.8,226.8,227.3,217.3,287,480.4,344.1,149.7,389.8,203.9,176.9,638.1,673.2,269.4,135.3,396.4,880.8,899.3,290.7
42646_at,107,46.6,11.6,18.8,20.3,30.6,59,43.8,8.6,6.8,70.8,226.8,64.7,34,13.5,160.4,114.3,42.7,21.4,15.5,22,5,164.7,240,28.9,10.4,20.4,131.2,29.4,24.5,39.4,20.7,14.2,278.4,19.9,11.8,74.2,138.7,16.8,45.5,29,13.9,5.4,28,70.5,20.4,117.4,58.6,113.3,64.2,21.9,65.7,189.5,27.8,22.4,51.5,74.9,15.8,17.8,14.4,29,21.3,22,22.5,36.3,32,21.7,7,7.5,52,24.2,18.2,128.4,125.6,22.7,76.2,19.8,747.4,726.9,757.8,341.7,562.6,201,1097.5,201.5,299.2,233.8,469.6,260.1,424,139.4,468.3,568.9,1063.7,489,324.7,434.7,392.6,400.9,232.8,614.9,838.4,22.8,19.2,25.9,96.7,241.7,132.5,154.9,21.3,129,22.5,206.9,220.9,89.2,168.5,41.6,82.1,18,49.9,34.5,54.2,75,36.4,35.6,24.2,88.3,146.2,22.3,30.8,205.5,45.4,233.6,21,41.9,24.8,114.5,13.3,21.3,17.8,148.4,26.3,31.3,386,191.9,131.1,11.1,19.3,174.6,310.5,18.3,23.4,47.5,227.9,30.2,90.5,25.9,40.5,9.8,114.6,96.2,221.1,108.5,113.3,36.8,189.2,15.9,124.2
42670_at,198.6,102.8,139.8,135.8,289.2,41,144.6,100.7,48.7,223.3,112.6,314.2,264.9,38.5,24.7,432.9,183.6,453.7,250.2,95.1,346.1,12.1,309.2,47.5,136.1,41.3,262.5,483.7,132.5,156.7,186.5,193.6,163.9,296.9,219.8,179.5,417.9,268.2,125,208.3,254.7,29.7,154.4,217.6,212.6,34,235.9,24.4,241.8,290,211.3,310.8,1317.2,335.7,154.2,416,143.6,49.9,276.9,47.1,89.2,64,82.9,171.2,187.6,46.3,238.8,61.1,264,289.1,105.9,100.9,156.6,262.4,950.2,187.8,191.4,1276.8,904,104.3,169.4,146.3,402.8,75,277,259.8,425.2,1595.4,209.7,308.7,293.2,32.5,24.3,38.3,1154.3,1367.8,959.7,677,1319.5,808.5,482.7,964.8,773.9,285.5,293.1,315.5,240.4,720.7,431,420.5,191.9,244.2,163.7,532.2,287.7,185.6,341.1,26.3,614.8,362.1,151.5,313.7,187.4,248,82.5,358.7,216.8,311.2,263.8,137.3,250.6,778.9,50.9,438.9,411.3,267.8,323,230.5,104.8,195.7,353.2,237.9,637.4,242.1,1076.5,366.8,88.1,349.6,542.4,346.2,259.2,222.6,136.6,338.2,353.3,234.3,53.8,815,336.8,301.5,421.5,1063.8,148.3,200.6,380.9,1154.4,542,364.7
42688_at,155,139.9,298.4,57.7,238.2,252.1,687.7,512.9,161.3,210.1,237.8,273.4,229.7,218,236.4,217,220.9,258.9,254.9,319.1,208.6,19.1,610.7,1025.5,302.2,107.6,247.4,121.5,101.2,550.3,593.6,256.3,444.1,258.1,144.7,406.6,171,283.6,234.8,392.2,325.3,206.1,249.9,419.2,350.9,653.2,371.3,211.2,219.9,338,190.1,476.2,349.9,347.2,270.3,270.1,283.9,337.5,353.8,232.6,334,265.8,123.4,341.8,182,212.1,572.4,276.7,228.6,238.1,439.6,254.1,319.9,264.5,333.6,218.5,198.6,738.4,661.4,1509,900.7,1443.7,1041.4,1821.2,788,990.9,830.4,928.5,674.5,804.5,599.8,1229.9,1118.7,1158.3,650,454.4,412,391.5,328.8,310.7,440.6,937.3,258.1,390.2,180.3,541.8,253.6,599.6,283.2,459.9,506.1,478.5,326.2,689.3,425.6,230.7,436.5,267.8,385.3,310.1,420.6,218,437.2,280.1,331.4,355.4,314.6,331.3,369,270.9,470.1,293.2,447.7,328.5,354,422.9,199.9,297.5,380.9,614.7,376.6,262.9,354,333.7,382.5,326.5,127.1,283.6,289.6,187.6,285.9,366.6,320.2,172,331.8,402.7,294.2,341.6,230.6,196.6,335.9,312.7,238.1,314.4,512.7,529.7,323.3,159.6
42734_r_at,59.8,7.4,33.9,22.8,65.2,11.8,19.8,82.8,14.8,62.8,80,74.4,15.8,24.3,13.5,49.9,24.2,19.7,22.5,40.8,9.6,5.8,92.8,109.3,15.2,14.1,143.3,31.6,15,11.5,212.8,12.6,19.9,82.6,42.9,19.1,6.8,61,12.3,101.3,69.4,20,8.2,174.2,17.7,21.7,39.7,133.8,64.1,110.2,72,16.3,19.5,46.7,15.5,8.1,21.2,240,23.5,22.8,81.5,17.9,7.6,14.6,31,106.2,22.6,18.3,17.1,16.7,20.4,99.9,10.4,8.5,21.8,17.2,11.4,118.4,277.1,398.6,239.3,375.2,237.5,1182.3,177,284.7,89.5,175.5,141,174.2,341.8,310.7,348.9,370.4,21.4,120.2,93.2,64.1,61.1,19.3,165.3,85.3,75,77.4,170.2,27.2,130.1,111.2,90,9.9,38.9,144.6,15.7,28.9,154,65.2,25.3,11.6,118.6,60.2,37.8,13.4,22.6,25.8,33.4,62.5,158.5,56.2,114.9,8.8,144.6,96.6,82.7,39.3,11.3,35.1,27.3,36.4,112,30.9,100.6,28.4,163.3,229.2,21.9,16.2,23.6,109.9,36.8,24.5,80.7,146.1,29.5,114.7,35.5,28.5,17.5,85.4,37.2,20.9,5.8,67.9,125.2,16,97.7,100.2,53.4,86.1
