"","Gene","p.value","Adjusted.p.value"
"1","41890_at",0.000339493303204508,0.0405951733276631
"2","41903_at",0.000163415515311684,0.022834131745678
"3","41916_at",0.00039886933652583,0.0459375791330467
"4","41922_at",1.68817843092655e-05,0.00373871218002511
"5","41998_at",3.87270237067812e-05,0.00724448002555562
"6","42040_at",0.000420462026066491,0.0479008912251037
"7","42142_at",0.000316290811956402,0.0384216171783723
"8","42265_f_at",1.08827969807373e-09,1.69900752532147e-06
"9","42281_at",7.01032051213501e-07,0.000311152739312866
"10","42325_at",0.000326202141342523,0.0393234047397778
"11","42350_r_at",3.15169609720194e-09,3.75174582821825e-06
"12","42363_r_at",0.000213448065421643,0.0281495672700571
"13","42365_f_at",3.84309361172303e-05,0.0072211388032178
"14","42431_at",9.19342570343258e-05,0.0143526516953894
"15","42439_at",8.28150198004787e-06,0.00209869031476701
"16","42461_at",0.000267308026716842,0.0336680591126171
"17","42481_at",6.01623942925194e-05,0.0102809485501268
"18","42491_at",3.85072449692032e-05,0.00722474203947712
"19","42548_at",0.000215780047031427,0.0283940726790281
"20","42568_at",2.46049657527753e-07,0.000136467021167054
"21","42571_at",1.29573754489474e-09,1.94168187714806e-06
"22","42574_at",8.95956992071354e-05,0.0141017621847135
"23","42614_at",1.78602298876085e-05,0.00391427221766374
"24","42639_at",7.27750980814435e-08,4.92131299254272e-05
"25","42646_at",1.35623783118227e-09,1.94891535023763e-06
"26","42655_f_at",6.22717585004645e-06,0.00166131727944262
"27","42670_at",1.55903967092486e-06,0.000568155853453254
"28","42688_at",2.17014229808384e-07,0.000122512382985995
"29","42695_at",9.33056007842485e-06,0.00232723129382681
"30","42720_at",0.000111381024536826,0.0164605761590962
"31","42733_i_at",2.72755249500734e-05,0.00550983481058851
"32","42734_r_at",7.43937479446172e-08,4.99864119791832e-05
"33","42739_at",7.11812943650316e-06,0.00185477294379475
"34","42740_at",3.03472206555299e-06,0.00094058609309448
"35","42745_at",8.49889523026511e-07,0.000362062333324098
"36","42748_at",2.89490446657025e-05,0.00574691267330753
