"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",1.08827969807373e-09,1.36470274138446e-05
"2","42281_at",7.01032051213501e-07,0.00864863241582096
"3","42350_r_at",3.15169609720194e-09,3.94466283525795e-05
"4","42568_at",2.46049657527753e-07,0.00304929340574145
"5","42571_at",1.29573754489474e-09,1.62446616003454e-05
"6","42639_at",7.27750980814435e-08,0.000904885569544669
"7","42646_at",1.35623783118227e-09,1.69977287382074e-05
"8","42670_at",1.55903967092486e-06,0.0191356529209318
"9","42688_at",2.17014229808384e-07,0.00269032540693454
"10","42734_r_at",7.43937479446172e-08,0.000924937468195426
"11","42740_at",3.03472206555299e-06,0.0370630605865987
"12","42745_at",8.49889523026511e-07,0.0104748883713017
"13","42809_at",9.14229109529739e-07,0.0112642168585159
"14","42825_at",3.54558244953046e-07,0.00438730372304899
"15","42830_at",1.12927964269577e-06,0.0138969152830141
"16","42838_f_at",2.19532519810129e-07,0.00272110558304655
"17","42912_at",5.42351201101895e-07,0.00670020673841281
"18","42913_f_at",1.1375777102921e-07,0.00141287151618279
"19","42977_at",1.38609436582572e-06,0.0170337136616323
"20","43014_at",1.26036946119334e-09,1.58025123044421e-05
"21","43066_g_at",1.66371436656512e-06,0.0204137752777541
"22","43076_at",2.11337977430755e-12,2.66243583967265e-08
"23","43102_g_at",7.67353117540148e-11,9.64716339371474e-07
"24","43112_at",3.62452884894615e-10,4.55204578139147e-06
"25","43120_at",1.0221442354056e-11,1.28636852025795e-07
"26","43125_at",2.5070671476191e-06,0.0306664453496768
"27","43230_at",2.87666924013681e-09,3.60130222172727e-05
"28","43301_at",1.52333003648637e-07,0.00189075724128688
"29","43313_at",2.83682794138496e-06,0.0346688742716656
"30","43355_s_at",1.58863243216857e-15,2.00469526615352e-11
"31","43370_at",4.38041576696734e-07,0.00541550801270172
"32","43380_s_at",3.73666066124652e-06,0.0455648401032401
"33","43395_s_at",3.04613650626245e-10,3.82655667916689e-06
"34","43427_at",1.67616098019763e-06,0.0205648190660447
"35","43435_at",8.99189122816941e-09,0.000112362672787205
"36","43436_g_at",8.68574918124417e-08,0.00107946490824503
"37","43456_at",2.51055172145185e-09,3.14396392077416e-05
"38","43465_s_at",4.73555351280363e-07,0.00585219703112272
"39","43470_at",3.24251820854138e-06,0.0395781772534561
"40","43484_at",7.78903805102178e-09,9.73707646758233e-05
"41","43485_s_at",2.92126577107187e-06,0.035686182659414
"42","43506_at",8.42538634327408e-12,1.06050337902791e-07
"43","43507_g_at",4.05369456936411e-09,5.07076653681757e-05
"44","43554_at",4.33747501015282e-10,5.44656737024889e-06
"45","43580_at",3.5667682979477e-06,0.043507439698366
"46","43585_at",8.16925232450721e-10,1.02475101158618e-05
"47","43589_at",2.52249681194389e-08,0.000314555352449403
"48","43669_at",3.48937465890865e-08,0.000434776082500017
"49","43680_at",3.47541228555467e-06,0.0424069807083381
"50","43744_at",1.43447765087973e-06,0.0176182545081049
"51","43751_at",1.27136481438976e-06,0.0156339731225509
"52","43792_at",2.18247765223444e-06,0.0267288038069152
"53","43801_f_at",2.17805468413814e-06,0.026676813771324
"54","43817_f_at",3.12455104094068e-12,3.93505958096069e-08
"55","43818_at",1.85859201023855e-06,0.0227919138215554
"56","43827_s_at",1.90972738245018e-08,0.000238257588234484
"57","43924_at",3.57401300283621e-06,0.0435922365955933
"58","43925_at",2.62095579166143e-06,0.0320464264646444
"59","43950_at",1.49216649018465e-06,0.0183223123329774
"60","43964_at",2.60436969101309e-07,0.00322681404716522
"61","43966_at",3.60537443162796e-12,4.53988748430593e-08
"62","44004_at",9.79063576785742e-11,1.230585009662e-06
"63","44010_at",2.46762963672137e-06,0.0301914486052859
"64","44025_at",1.52806750399492e-06,0.0187600847465457
"65","44055_at",2.85280844974701e-06,0.0348613192559084
"66","44057_at",3.81926679224866e-07,0.00472366916865314
"67","44077_at",1.37704649355595e-06,0.0169252784522962
"68","44088_at",1.47272892545544e-10,1.8506311677273e-06
"69","44106_at",5.36845585422531e-10,6.73902263380903e-06
"70","44119_at",1.29689997659841e-12,1.63422366051166e-08
"71","44130_at",2.53834828129868e-06,0.0310465378285642
"72","44140_at",5.72780598723207e-07,0.0070738403942316
"73","44148_at",2.15040202443245e-06,0.0263424247992975
"74","44339_at",1.09152631619849e-07,0.00135611229524501
"75","44422_r_at",3.48332238897835e-06,0.0425000164679248
"76","44436_at",8.31141535442989e-08,0.00103310892855564
"77","44591_at",8.50354474624222e-07,0.0104797685452689
"78","44596_at",1.76273589289617e-09,2.20853180020962e-05
"79","44598_at",9.83546893293408e-09,0.000122884348848078
