"","Gene","p.value","Adjusted.p.value"
"1","41880_at",0.0699187151548085,1
"2","41881_at",0.950379851832228,1
"3","41882_at",0.181357582409488,1
"4","41883_at",0.0424808329818041,1
"5","41884_at",0.473318517609508,1
"6","41885_at",0.0152024464899701,1
"7","41886_r_at",0.877301662362123,1
"8","41887_at",0.0264492685496546,1
"9","41888_at",0.311723325709742,1
"10","41889_at",0.969645328795495,1
"11","41890_at",0.000339493303204508,1
"12","41891_at",0.0117085005071212,1
"13","41892_at",0.921550097974902,1
"14","41893_at",0.00435528660285393,1
"15","41894_r_at",0.200869247124295,1
"16","41895_at",0.0634226683389532,1
"17","41896_at",0.737586102433197,1
"18","41897_at",0.854975199348035,1
"19","41898_at",0.275488181654243,1
"20","41899_at",0.491357615925444,1
"21","41900_at",0.00514114938886276,1
"22","41901_at",0.440092914819222,1
"23","41902_at",0.852760974628995,1
"24","41903_at",0.000163415515311684,1
"25","41904_at",0.260981356806753,1
"26","41905_at",0.261069367204467,1
"27","41906_at",0.309203523890296,1
"28","41907_at",0.882990060850539,1
"29","41908_at",0.017798339639588,1
"30","41909_at",0.761364091650354,1
"31","41910_at",0.0237519196205866,1
"32","41911_at",0.236435286204628,1
"33","41912_at",0.304390972884821,1
"34","41913_at",0.254357491945946,1
"35","41914_at",0.00324291209848587,1
"36","41915_at",0.753199824562942,1
"37","41916_at",0.00039886933652583,1
"38","41917_at",0.0307453009541362,1
"39","41918_at",0.260049483578317,1
"40","41919_at",0.0582726824199198,1
"41","41920_at",0.457037862721425,1
"42","41921_at",0.025904386083176,1
"43","41922_at",1.68817843092655e-05,0.203425500926649
"44","41923_at",0.597771900984768,1
"45","41924_at",0.0373890499507369,1
"46","41925_at",0.00632075627573522,1
"47","41926_at",0.000813097714986028,1
"48","41927_at",0.0189010855592567,1
"49","41928_at",0.953630914317862,1
"50","41929_at",0.470260904032211,1
"51","41930_at",0.524910829545392,1
"52","41931_at",0.924466022615497,1
"53","41932_at",0.260886741497129,1
"54","41933_at",0.509665751605746,1
"55","41934_at",0.01207484822422,1
"56","41935_i_at",0.030629258270594,1
"57","41936_r_at",0.09500531868896,1
"58","41937_at",0.490950888745261,1
"59","41938_at",0.323876610874564,1
"60","41939_at",0.0372976737528355,1
"61","41940_at",0.92235422966852,1
"62","41941_r_at",0.0114729532368008,1
"63","41942_at",0.555441467677998,1
"64","41943_at",0.62125889331573,1
"65","41944_at",0.556379849890866,1
"66","41945_at",0.54971108171326,1
"67","41946_at",0.711723871801574,1
"68","41947_at",0.291745696450422,1
"69","41948_at",0.307243017675887,1
"70","41949_at",0.739964246928993,1
"71","41950_at",0.850282774853922,1
"72","41951_at",0.329466552038519,1
"73","41952_r_at",0.0800159833615047,1
"74","41953_at",0.133909276670238,1
"75","41954_at",0.362309710753076,1
"76","41955_r_at",0.846251680532864,1
"77","41956_at",0.149344428158802,1
"78","41957_i_at",0.280490274608476,1
"79","41958_r_at",0.736817815759431,1
"80","41959_at",0.386582531376886,1
"81","41960_at",0.457338694841516,1
"82","41961_i_at",0.683766413969498,1
"83","41962_r_at",0.148785912667806,1
"84","41963_at",0.309173077730313,1
"85","41964_at",0.546063910874426,1
"86","41965_at",0.726570494095082,1
"87","41966_at",0.436540661655178,1
"88","41967_at",0.102422426065576,1
"89","41968_r_at",0.783877464921165,1
"90","41969_at",0.123191869450024,1
"91","41970_at",0.548373794135857,1
"92","41971_at",0.000787296922835372,1
"93","41972_at",0.317051905359245,1
"94","41973_at",0.678695851238405,1
"95","41974_at",0.928314654625916,1
"96","41975_at",0.562784862057819,1
"97","41976_at",0.103445745467493,1
"98","41977_at",0.0220942426491534,1
"99","41978_at",0.975403829693529,1
"100","41979_r_at",0.937374203400529,1
"101","41980_at",0.508341103833704,1
"102","41981_at",0.349403726991973,1
"103","41982_at",0.0170673533977559,1
"104","41983_at",0.181413622962906,1
"105","41984_at",0.468938794588107,1
"106","41985_at",0.213175378752428,1
"107","41986_at",0.235909872243347,1
"108","41987_at",0.100526667298436,1
"109","41988_at",0.0179194471382487,1
"110","41989_at",0.0429584654446645,1
"111","41990_at",0.000631079485984979,1
"112","41991_at",0.12345005695252,1
"113","41992_at",0.719117723038539,1
"114","41993_at",0.134518102559208,1
"115","41994_at",0.084986422540063,1
"116","41995_at",0.913887587275235,1
"117","41996_at",0.0333113595378925,1
"118","41997_at",0.449787722466563,1
"119","41998_at",3.87270237067812e-05,0.462594298177502
"120","41999_at",0.132042918738516,1
"121","42000_r_at",0.0186846714122486,1
"122","42001_at",0.242643950512941,1
"123","42002_at",0.248258302256041,1
"124","42003_at",0.373482629680935,1
"125","42004_at",0.174511325911086,1
"126","42005_at",0.327268788462051,1
"127","42006_at",0.116993422828521,1
"128","42007_at",0.170413192826474,1
"129","42008_r_at",0.808875854251951,1
"130","42009_at",0.134026449696817,1
"131","42010_at",0.770229478933107,1
"132","42011_at",0.0305352781761371,1
"133","42012_at",0.249785880534964,1
"134","42013_at",0.946408521738472,1
"135","42014_at",0.449085370990643,1
"136","42015_at",0.0196871449008858,1
"137","42016_at",0.980280293762561,1
"138","42017_at",0.784337987825636,1
"139","42018_at",0.125552483039763,1
"140","42019_at",0.48082169437282,1
"141","42020_at",0.507985847724434,1
"142","42021_at",0.980336124806466,1
"143","42022_at",0.475950354906367,1
"144","42023_r_at",0.978866265507548,1
"145","42024_at",0.116297431957703,1
"146","42025_i_at",0.366311407586884,1
"147","42026_r_at",0.917799643221573,1
"148","42027_at",0.672260058455961,1
"149","42028_at",0.773659298711509,1
"150","42029_at",0.174771114161689,1
"151","42030_at",0.0890071808337383,1
"152","42031_at",0.230173656707163,1
"153","42032_at",0.618990298649696,1
"154","42033_at",0.0456773741771425,1
"155","42034_at",0.0809985867828748,1
"156","42035_at",0.507477291833405,1
"157","42036_at",0.117212083782161,1
"158","42037_at",0.0249115086706964,1
"159","42038_at",0.271111739134065,1
"160","42039_at",0.267478578988337,1
"161","42040_at",0.000420462026066491,1
"162","42041_at",0.00527049196488916,1
"163","42042_at",0.0572728587893899,1
"164","42043_at",0.467161460575937,1
"165","42044_at",0.181834573606256,1
"166","42045_at",0.177623166684757,1
"167","42046_at",0.839688744914628,1
"168","42047_at",0.00332447457391038,1
"169","42048_at",0.257602892851546,1
"170","42049_at",0.325947804529473,1
"171","42050_at",0.0255893002110387,1
"172","42051_at",0.34945752823211,1
"173","42052_at",0.25804535881939,1
"174","42053_at",0.293165401067999,1
"175","42054_at",0.909770536141277,1
"176","42055_at",0.717298196480461,1
"177","42056_at",0.0703667972940904,1
"178","42057_at",0.0616405175705309,1
"179","42058_at",0.116808345255698,1
"180","42059_at",0.10298351612351,1
"181","42060_at",0.159596488377716,1
"182","42061_r_at",0.103614318605217,1
"183","42062_at",0.0315541171034812,1
"184","42063_at",0.22110974814418,1
"185","42064_at",0.515058785350155,1
"186","42065_at",0.00116714819340402,1
"187","42066_r_at",0.59113901283386,1
"188","42067_at",0.408487711797326,1
"189","42068_at",0.26961303540839,1
"190","42069_at",0.109837227666651,1
"191","42070_i_at",0.230015747412981,1
"192","42071_r_at",0.13665563832709,1
"193","42072_at",0.0829816363048956,1
"194","42073_at",0.00381262626073979,1
"195","42074_at",0.931565446261606,1
"196","42075_at",0.764229356362663,1
"197","42076_at",0.854332317736192,1
"198","42077_at",0.1986969965503,1
"199","42078_at",0.659563429590076,1
"200","42079_at",0.712330504133723,1
"201","42080_at",0.677581689681565,1
"202","42081_at",0.124163880326696,1
"203","42082_at",0.55932576192335,1
"204","42083_at",0.037456843795104,1
"205","42084_r_at",0.273695883083052,1
"206","42085_at",0.730568918017006,1
"207","42086_at",0.0182095871565478,1
"208","42087_at",0.443443863632513,1
"209","42088_at",0.0171208035365334,1
"210","42089_at",0.758548154661415,1
"211","42090_at",0.436174013929024,1
"212","42091_at",0.447575453985369,1
"213","42092_at",0.303808194842648,1
"214","42093_at",0.239333255194435,1
"215","42094_at",0.770863832506103,1
"216","42095_at",0.15462879409718,1
"217","42096_at",0.0332954928352874,1
"218","42097_at",0.796560602781613,1
"219","42098_at",0.146937554781221,1
"220","42099_at",0.419785423385486,1
"221","42100_at",0.00322807762222399,1
"222","42101_at",0.96432605522488,1
"223","42102_r_at",0.0256601472130763,1
"224","42103_at",0.148686587979691,1
"225","42104_at",0.669448625226306,1
"226","42105_at",0.786358938492673,1
"227","42106_at",0.737193378707347,1
"228","42107_at",0.00238146951072569,1
"229","42108_at",0.843883284605534,1
"230","42109_at",0.886934059437536,1
"231","42110_at",0.000960940428105254,1
"232","42111_at",0.314011862540621,1
"233","42112_at",0.216075652934162,1
"234","42113_at",0.975161289030734,1
"235","42114_at",0.127763124358559,1
"236","42115_at",0.0125954117147897,1
"237","42116_at",0.00298255094753794,1
"238","42117_at",0.15959616068059,1
"239","42118_at",0.110546930464673,1
"240","42119_at",0.0851768417447027,1
"241","42120_at",0.105575633716276,1
"242","42121_at",0.792627670058122,1
"243","42122_at",0.668047985005481,1
"244","42123_at",0.910716052498913,1
"245","42124_at",0.137677924344824,1
"246","42125_r_at",0.188625812857165,1
"247","42126_at",0.0545462570801884,1
"248","42127_at",0.211818146505175,1
"249","42128_at",0.54935825039002,1
"250","42129_at",0.000877325151549698,1
"251","42130_at",0.0393286204155732,1
"252","42131_at",0.0650226531243022,1
"253","42132_at",0.769416951489479,1
"254","42133_at",0.0389195623528931,1
"255","42134_at",0.60326056673726,1
"256","42135_at",0.974772113348739,1
"257","42136_at",0.400106905521859,1
"258","42137_at",0.527823442611444,1
"259","42138_at",0.127394558564482,1
"260","42139_at",0.0322733763464367,1
"261","42140_at",0.358311772050406,1
"262","42141_at",0.012222154706484,1
"263","42142_at",0.000316290811956402,1
"264","42143_at",0.476739009973283,1
"265","42144_at",0.0473225003403751,1
"266","42145_at",0.24545547906603,1
"267","42146_at",0.363719441789544,1
"268","42147_at",0.459070557596472,1
"269","42148_at",0.0480212093235985,1
"270","42149_at",0.953488672252848,1
"271","42150_at",0.216572936269098,1
"272","42151_at",0.719089364767265,1
"273","42152_at",0.937833576321693,1
"274","42153_at",0.471732768213045,1
"275","42154_at",0.334558347616711,1
"276","42155_at",0.35865539724744,1
"277","42156_at",0.710890435700419,1
"278","42157_at",0.83036755253243,1
"279","42158_at",0.0151301903444139,1
"280","42159_r_at",0.121562859763454,1
"281","42160_at",0.902428480835233,1
"282","42161_at",0.105849396986094,1
"283","42162_at",0.825867945858389,1
"284","42163_at",0.00089313604981552,1
"285","42164_at",0.0279990324807399,1
"286","42165_at",0.227721767101616,1
"287","42166_at",0.556283757856497,1
"288","42167_at",0.0753044391613468,1
"289","42168_at",0.354411433294144,1
"290","42169_at",0.325833030360083,1
"291","42170_at",0.898559889708169,1
"292","42171_at",0.531106599229262,1
"293","42172_at",0.229861907874395,1
"294","42173_at",0.00204282526386495,1
"295","42174_at",0.662895508586465,1
"296","42175_at",0.167111185388447,1
"297","42176_at",0.215004712943616,1
"298","42177_at",0.836324919065271,1
"299","42178_at",0.351509793849824,1
"300","42179_at",0.0233517935150166,1
"301","42180_at",0.101351465010181,1
"302","42181_at",0.0128807972950157,1
"303","42182_at",0.77705914495171,1
"304","42183_at",0.219863578534925,1
"305","42184_at",0.144036683357328,1
"306","42185_at",0.00150301396234278,1
"307","42186_at",0.775641808007185,1
"308","42187_at",0.312013398873423,1
"309","42188_at",0.0325748010166667,1
"310","42189_r_at",0.121372111128051,1
"311","42190_at",0.113232487742186,1
"312","42191_at",0.638611976391787,1
"313","42192_at",0.057382351267056,1
"314","42193_r_at",0.01223247679581,1
"315","42194_at",0.213813196861978,1
"316","42195_at",0.318764256197623,1
"317","42196_at",0.524031008048581,1
"318","42197_at",0.0305031198656199,1
"319","42198_at",0.797529603529617,1
"320","42199_at",0.21440017165526,1
"321","42200_at",0.740086561054659,1
"322","42201_at",0.13230505768846,1
"323","42202_at",0.00192396694954888,1
"324","42203_at",0.899591823448591,1
"325","42204_at",0.0198085153651901,1
"326","42205_at",0.0395997717397774,1
"327","42206_at",0.295889720788259,1
"328","42207_at",0.0347857163241793,1
"329","42208_at",0.167584373945675,1
"330","42209_at",0.803845968243547,1
"331","42210_at",0.275915307288253,1
"332","42211_at",0.00970980669019758,1
"333","42212_at",0.105864175676209,1
"334","42213_at",0.146190528141256,1
"335","42214_at",0.0613554232916519,1
"336","42215_at",0.0136182276854978,1
"337","42216_at",0.684944208126484,1
"338","42217_at",0.478707016515246,1
"339","42218_at",0.123521298719707,1
"340","42219_at",0.965734586378185,1
"341","42220_at",0.61405477587656,1
"342","42221_at",0.0223617629076639,1
"343","42222_at",0.80923450108331,1
"344","42223_at",0.153243368439005,1
"345","42224_at",0.0985913003805736,1
"346","42225_at",0.630080266500116,1
"347","42226_at",0.0115083803416385,1
"348","42227_at",0.23256474388319,1
"349","42228_at",0.489561946661736,1
"350","42229_r_at",0.672528045115523,1
"351","42230_at",0.32942143333996,1
"352","42231_at",0.490367134773594,1
"353","42232_at",0.220794609870813,1
"354","42233_r_at",0.808710568253362,1
"355","42234_at",0.498010817672565,1
"356","42235_at",0.810029772655423,1
"357","42236_r_at",0.00513847660048316,1
"358","42237_at",0.11321953184823,1
"359","42238_at",0.742953902679689,1
"360","42239_at",0.852418041233598,1
"361","42240_at",0.374697877102652,1
"362","42241_at",0.163696116236439,1
"363","42242_at",0.271281487440417,1
"364","42243_at",0.918826767274613,1
"365","42244_at",0.980072283427931,1
"366","42245_r_at",0.843164086696099,1
"367","42246_at",0.812673091706122,1
"368","42247_at",0.550084820811449,1
"369","42248_at",0.326560063557462,1
"370","42249_at",0.0191653067424148,1
"371","42250_at",0.0747950236955672,1
"372","42251_r_at",0.168946206485838,1
"373","42252_at",0.097933088746436,1
"374","42253_at",0.262966951684082,1
"375","42254_at",0.0584793200530253,1
"376","42255_at",0.939110238700593,1
"377","42256_at",0.142955823733362,1
"378","42257_r_at",0.0545975391819523,1
"379","42258_at",0.0900479062698673,1
"380","42259_at",0.16427486573117,1
"381","42260_r_at",0.108644645719884,1
"382","42261_at",0.233611931879878,1
"383","42262_at",0.0493754281436732,1
"384","42263_at",0.0391418908963455,1
"385","42264_r_at",0.731290889465584,1
"386","42265_f_at",1.08827969807373e-09,1.36470274138446e-05
"387","42266_at",0.383464637167952,1
"388","42267_at",0.420159235552238,1
"389","42268_at",0.00735405015009416,1
"390","42269_at",0.0714492577149681,1
"391","42270_at",0.0760420478465028,1
"392","42271_at",0.865504292850304,1
"393","42272_at",0.038148822516046,1
"394","42273_at",0.206671583596166,1
"395","42274_at",0.418104956937544,1
"396","42275_at",0.767611353559276,1
"397","42276_at",0.865323495422414,1
"398","42277_at",0.0721982076801662,1
"399","42278_at",0.200745944763537,1
"400","42279_at",0.717942653906313,1
"401","42280_at",0.00086672452445024,1
"402","42281_at",7.01032051213501e-07,0.00864863241582096
"403","42282_at",0.693433027833109,1
"404","42283_at",0.383215062074171,1
"405","42284_at",0.828889611388487,1
"406","42285_at",0.0854362221565736,1
"407","42286_at",0.64274778504962,1
"408","42287_at",0.00179239182616311,1
"409","42288_at",0.389503171130911,1
"410","42289_at",0.0600253055423312,1
"411","42290_at",0.484329062658317,1
"412","42291_at",0.13788696742448,1
"413","42292_at",0.805192521984458,1
"414","42293_at",0.113527397711481,1
"415","42294_g_at",0.273095033115588,1
"416","42295_at",0.0457810887159895,1
"417","42296_f_at",0.0436778616352901,1
"418","42297_at",0.0902014520393894,1
"419","42298_at",0.0228913297514661,1
"420","42299_at",0.219583841268587,1
"421","42300_at",0.000814244812342865,1
"422","42301_at",0.617526757813405,1
"423","42302_at",0.343261290519619,1
"424","42303_at",0.985233044568897,1
"425","42304_at",0.838578691829684,1
"426","42305_at",0.17539328533442,1
"427","42306_at",0.00464036344673561,1
"428","42307_at",0.383987841344615,1
"429","42308_i_at",0.414600147702839,1
"430","42309_f_at",0.984710274744931,1
"431","42310_at",0.917357780841153,1
"432","42311_at",0.321749544050576,1
"433","42312_at",0.423860384975772,1
