"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",1.08827969807373e-09,1.35915251492428e-05
"2","42281_at",7.01032051213501e-07,0.00835770411456736
"3","42350_r_at",3.15169609720194e-09,3.92512231945529e-05
"4","42568_at",2.46049657527753e-07,0.00297670875677076
"5","42571_at",1.29573754489474e-09,1.61759875104659e-05
"6","42639_at",7.27750980814435e-08,0.000890112224634136
"7","42646_at",1.35623783118227e-09,1.69299168466483e-05
"8","42670_at",1.55903967092486e-06,0.0183498969267856
"9","42688_at",2.17014229808384e-07,0.00262891037989877
"10","42734_r_at",7.43937479446172e-08,0.000909761143614724
"11","42740_at",3.03472206555299e-06,0.0351390467970381
"12","42745_at",8.49889523026511e-07,0.0101085859868773
"13","42809_at",9.14229109529739e-07,0.0108656129667609
"14","42825_at",3.54558244953046e-07,0.00427029950221448
"15","42830_at",1.12927964269577e-06,0.0133808344863022
"16","42838_f_at",2.19532519810129e-07,0.00265919741246009
"17","42912_at",5.42351201101895e-07,0.00649085917478748
"18","42913_f_at",1.1375777102921e-07,0.00138670722884607
"19","42977_at",1.38609436582572e-06,0.0163614578942068
"20","43014_at",1.26036946119334e-09,1.57357127229989e-05
"21","43066_g_at",1.66371436656512e-06,0.0195519712358733
"22","43076_at",2.11337977430755e-12,2.66032245989834e-08
"23","43102_g_at",7.67353117540148e-11,9.62951427201132e-07
"24","43112_at",3.62452884894615e-10,4.53718521311079e-06
"25","43120_at",1.0221442354056e-11,1.28555080486962e-07
"26","43125_at",2.5070671476191e-06,0.0291747403968434
"27","43230_at",2.87666924013681e-09,3.58317920551441e-05
"28","43301_at",1.52333003648637e-07,0.00185160765934918
"29","43313_at",2.83682794138496e-06,0.0329015304641827
"30","43355_s_at",1.58863243216857e-15,2.0045364029103e-11
"31","43370_at",4.38041576696734e-07,0.00525956521139768
"32","43380_s_at",3.73666066124652e-06,0.0430089642109475
"33","43395_s_at",3.04613650626245e-10,3.81376290584058e-06
"34","43427_at",1.67616098019763e-06,0.0196932153563419
"35","43435_at",8.99189122816941e-09,0.000111580378250354
"36","43436_g_at",8.68574918124417e-08,0.00106096426248897
"37","43456_at",2.51055172145185e-09,3.12814744492901e-05
"38","43465_s_at",4.73555351280363e-07,0.00568029643860795
"39","43470_at",3.24251820854138e-06,0.0374899955271555
"40","43484_at",7.78903805102178e-09,9.67086964414864e-05
"41","43485_s_at",2.92126577107187e-06,0.033857470286723
"42","43506_at",8.42538634327408e-12,1.05982934812045e-07
"43","43507_g_at",4.05369456936411e-09,5.04522826103058e-05
"44","43554_at",4.33747501015282e-10,5.42834997520625e-06
"45","43580_at",3.5667682979477e-06,0.041121271707039
"46","43585_at",8.16925232450721e-10,1.02082977047042e-05
"47","43589_at",2.52249681194389e-08,0.000310973406976442
"48","43669_at",3.48937465890865e-08,0.000429053508059407
"49","43680_at",3.47541228555467e-06,0.0401027823630153
"50","43744_at",1.43447765087973e-06,0.0169210983697773
"51","43751_at",1.27136481438976e-06,0.0150303694609512
"52","43792_at",2.18247765223444e-06,0.0254847915451416
"53","43801_f_at",2.17805468413814e-06,0.0254353226013652
"54","43817_f_at",3.12455104094068e-12,3.93255994012794e-08
"55","43818_at",1.85859201023855e-06,0.0217826983599958
"56","43827_s_at",1.90972738245018e-08,0.000235927720827895
"57","43924_at",3.57401300283621e-06,0.0412012218966959
"58","43925_at",2.62095579166143e-06,0.0304607482106892
"59","43950_at",1.49216649018465e-06,0.0175821977538458
"60","43964_at",2.60436969101309e-07,0.00314842251946573
"61","43966_at",3.60537443162796e-12,4.53772425964696e-08
"62","44004_at",9.79063576785742e-11,1.22813735072003e-06
"63","44010_at",2.46762963672137e-06,0.0287281442307101
"64","44025_at",1.52806750399492e-06,0.0179945229270442
"65","44055_at",2.85280844974701e-06,0.0330840195917161
"66","44057_at",3.81926679224866e-07,0.00459534180443359
"67","44077_at",1.37704649355595e-06,0.016256033856428
"68","44088_at",1.47272892545544e-10,1.84591843516584e-06
"69","44106_at",5.36845585422531e-10,6.71540142805044e-06
"70","44119_at",1.29689997659841e-12,1.63292676053506e-08
"71","44130_at",2.53834828129868e-06,0.0295286055563476
"72","44140_at",5.72780598723207e-07,0.00684931039953211
"73","44148_at",2.15040202443245e-06,0.0251188460473955
"74","44339_at",1.09152631619849e-07,0.00133100718997244
"75","44422_r_at",3.48332238897835e-06,0.0401940570464211
"76","44436_at",8.31141535442989e-08,0.00101557184215779
"77","44591_at",8.50354474624222e-07,0.0101141161211805
"78","44596_at",1.76273589289617e-09,2.1986604792094e-05
"79","44598_at",9.83546893293408e-09,0.000122008992113047
"80","44605_at",2.00575736941872e-06,0.0234673612221991
"81","44606_at",1.76370470505545e-07,0.00214078477099631
"82","44649_at",2.00727307859889e-07,0.00243372619887177
"83","44699_at",2.04976829618827e-08,0.000253105389213328
"84","44710_at",9.21792546773907e-09,0.000114376019203706
"85","44746_at",2.861131754693e-06,0.03317768382742
"86","44748_at",1.72512709640703e-08,0.000213277462928802
"87","44761_at",6.14954184711768e-10,7.68938712563595e-06
"88","44791_at",3.7022208008446e-07,0.00445673340005673
"89","44793_s_at",2.48458840978402e-06,0.028920609089886
"90","44806_at",7.69768696793551e-11,9.65982737606228e-07
"91","44841_at",1.32662848924079e-07,0.00161503752280174
"92","44864_g_at",7.01259398534776e-07,0.0083604145493316
"93","44887_at",2.32241918245056e-06,0.0270770852481911
"94","44892_at",1.34669238224648e-09,1.68107610075829e-05
"95","44932_at",1.97256407309637e-06,0.0230868899115199
"96","44986_s_at",2.08676982763944e-07,0.00252895635411624
"97","45055_at",1.41259364565205e-06,0.0166686050186942
"98","45091_at",3.2464397286527e-08,0.000399409479816142
"99","45171_at",1.89788030677146e-07,0.00230212881211378
"100","45178_at",2.26049525357714e-07,0.00273723370255655
"101","45179_at",3.59139529841928e-11,4.51222905293399e-07
"102","45199_at",4.77665368867103e-11,5.99947703297081e-07
"103","45217_at",2.17409848226725e-11,2.73305920205816e-07
"104","45222_at",3.57890890510201e-06,0.0412576618580159
"105","45229_at",1.84566789574201e-08,0.000228069181876841
"106","45233_at",3.28074518854197e-07,0.00395461025026849
"107","45260_at",3.89789277325055e-12,4.90549805513581e-08
"108","45269_at",1.66552578286395e-12,2.09689696062571e-08
"109","45270_at",1.11744971443211e-07,0.00136239469183563
"110","45293_at",1.39664573562224e-06,0.0164832129718137
"111","45297_at",5.71624228286673e-07,0.00683548252185203
"112","45298_at",1.26956953610977e-06,0.0150101206254258
"113","45316_at",3.67511690882e-07,0.00442447324652839
"114","45320_at",7.21561983003086e-10,9.01880322555558e-06
"115","45340_at",4.48056777411067e-10,5.60698251252209e-06
"116","45356_g_at",7.94760565586457e-09,9.86695242175586e-05
"117","45357_s_at",9.12485007956102e-11,1.14480369098173e-06
"118","45433_at",4.81379516901896e-08,0.000590460115431865
"119","45478_at",2.12081674056604e-09,2.64381014878962e-05
"120","45509_g_at",1.99758918438549e-07,0.0024220768860674
"121","45513_at",8.60015841129994e-09,0.000106736566042644
"122","45515_s_at",5.02272832809175e-10,6.28393541127559e-06
"123","45532_s_at",3.03026284302092e-12,3.81419184051043e-08
"124","45566_at",1.15959984789411e-08,0.000143709209149517
"125","45574_g_at",2.68963146285601e-09,3.35074287642601e-05
"126","45595_at",2.18978188029611e-07,0.00265248279160268
"127","45644_at",8.19303740658663e-07,0.00974889521009743
"128","45674_at",6.93775962524116e-08,0.000848834890148256
"129","45676_at",3.98050815130102e-09,4.95414044510925e-05
"130","45680_at",4.99320490457501e-10,6.24749797660425e-06
"131","45692_at",2.07291410858089e-07,0.00251237189960003
"132","45709_r_at",1.41763600872616e-06,0.01672668726696
"133","45717_at",3.96876534918738e-06,0.045581270035417
"134","45719_at",1.46665537436197e-06,0.0172904002083533
"135","45772_at",3.2871163067793e-15,4.14735464426344e-11
"136","45777_at",6.17990309429135e-08,0.000756790932926919
"137","45786_at",5.15176800051972e-07,0.00617130288782257
"138","45789_f_at",2.43185110005642e-10,3.04565031771066e-06
"139","45793_at",1.34366594415431e-09,1.67729819808782e-05
"140","45820_at",3.33658857940195e-06,0.0385442712692513
"141","45829_at",9.11770954985273e-10,1.1390754540631e-05
"142","45882_at",1.45907903764907e-06,0.0172025418538825
"143","45896_at",9.26801825269803e-10,1.15785352030957e-05
"144","45991_at",1.54818311173647e-06,0.0182252115913617
"145","46016_at",1.20844428785725e-09,1.50886353781857e-05
"146","46116_at",9.22521156030558e-08,0.00112630607939771
"147","46155_at",3.14062446421438e-06,0.0363370250509604
"148","46164_at",2.86535143195772e-06,0.0332237498535498
"149","46183_at",7.52961153587326e-10,9.4105084975344e-06
"150","46215_at",6.15729047015025e-07,0.00735426773754745
"151","46231_at",1.0058490309189e-06,0.0119384221479764
"152","46253_at",3.32715401775898e-07,0.00400988602220312
"153","46266_at",1.16771176677434e-06,0.0138292104539085
"154","46273_at",3.08737377519772e-09,3.84501529963124e-05
"155","46274_at",3.42531581098682e-08,0.000421245338435159
"156","46276_at",1.82937015901992e-13,2.30610402246051e-09
"157","46307_at",6.65800086688022e-08,0.00081487272609747
"158","46314_at",9.04190024547357e-08,0.00110410643897478
"159","46318_at",1.39561657916945e-08,0.000172805244832762
"160","46369_at",7.23450264974468e-08,0.000884852019090271
"161","46410_at",4.87509880222631e-09,6.0641354000893e-05
"162","46416_at",2.50440492312213e-06,0.0291437600903722
"163","46476_at",3.57895695589081e-11,4.49660151938121e-07
"164","46494_at",3.26139003579417e-07,0.00393160568814987
"165","46531_g_at",1.30035023240714e-06,0.0153662386963551
"166","46541_at",3.14193973957627e-07,0.00378917932592898
"167","46568_at",3.15909314593324e-09,3.93433460394525e-05
"168","46674_at",1.17608625290641e-06,0.0139260373206648
"169","46675_at",3.862064817837e-06,0.0443982971458541
"170","46683_at",2.93821292265324e-08,0.000361782157166294
"171","46694_at",5.90922024328489e-08,0.000723879479802399
"172","46698_at",9.42064126382086e-07,0.0111926638855456
"173","46702_at",2.49376864622119e-07,0.00301621317760452
"174","46704_at",1.12642677691734e-06,0.0133470308796935
"175","46724_at",3.74925335016417e-13,4.72405922120685e-09
"176","46737_s_at",2.15436063553812e-06,0.0251650865837208
"177","46830_at",2.5791753398526e-06,0.0299880716764662
"178","46877_at",5.05168081275108e-08,0.000619437101259538
"179","46944_at",4.67896061773134e-07,0.00561288115703052
"180","46951_at",1.66409499086907e-07,0.00202103279899471
"181","46999_at",1.54112265298827e-06,0.0181436369936309
"182","47045_at",3.50310556237178e-06,0.0404118257675208
"183","47157_at",6.32632813836799e-07,0.00755363579721137
"184","47240_at",2.29098426707327e-06,0.0267197495068756
"185","47343_at",6.96856197047031e-08,0.000852603557087043
"186","47347_at",9.23290952195686e-07,0.0109723896758935
"187","47402_at",5.11418968982515e-08,0.000627050797869462
"188","47427_at",2.61083916898396e-07,0.00315598238746781
"189","47445_at",2.94858490615188e-09,3.67275735910278e-05
"190","47481_at",6.72552173153255e-11,8.44187487741965e-07
"191","47541_at",3.16092017560333e-12,3.97833413301435e-08
