"","Gene","p.value","Adjusted.p.value"
"1","41890_at",0.000376791006657394,0.00350478844249266
"2","41893_at",0.00386531256354719,0.0213517514155923
"3","41903_at",0.000372308136655347,0.00347790490375937
"4","41914_at",0.0027973967674198,0.0165754787477658
"5","41916_at",0.000797484157019072,0.00635809694043594
"6","41922_at",6.5543425419476e-05,0.000857158579060919
"7","41925_at",0.00664991247808249,0.0326001506921673
"8","41926_at",0.00363743801228138,0.0204040264021961
"9","41927_at",0.0025729499753666,0.0156267884301724
"10","41971_at",0.00112134869499591,0.0082667373109009
"11","41990_at",0.00141585056403485,0.00988642406515018
"12","41998_at",0.000293414813992795,0.00287273897933613
"13","42040_at",0.000156575729549171,0.00175469659489106
"14","42041_at",0.0114820600613149,0.0492943471984661
"15","42047_at",0.000350375903451242,0.00330986022964085
"16","42065_at",0.00156342810557069,0.0106137006552615
"17","42073_at",0.00855194712619863,0.0393349412120667
"18","42083_at",0.00375031672346005,0.0208319120558544
"19","42086_at",0.00458599234480218,0.0244099001302703
"20","42088_at",0.00847275461848768,0.0390669211857196
"21","42100_at",0.00333436599426106,0.0190528560318191
"22","42107_at",0.00043811581117394,0.00396061714685897
"23","42110_at",0.000643581255572797,0.00534693577704325
"24","42116_at",0.00166912445665225,0.0111925348793578
"25","42129_at",0.000884066958359864,0.00689618018223505
"26","42130_at",0.0106786449175257,0.0465844708235281
"27","42142_at",1.03125968301875e-05,0.00019395673919071
"28","42163_at",0.00117270723774599,0.008526079018651
"29","42164_at",0.000996312154424813,0.00755616549810165
"30","42173_at",0.00449463999464434,0.0240091195415638
"31","42181_at",0.00816021368999523,0.0379325935367323
"32","42185_at",0.00083477004394337,0.00658224067125154
"33","42202_at",0.00218391530124257,0.013728182795743
"34","42211_at",0.00363780185459122,0.0204040264021961
"35","42226_at",0.00294671840007817,0.0172652784460651
"36","42263_at",0.00943112047749565,0.0425074072949983
"37","42265_f_at",5.51235314158376e-08,3.09181762874609e-06
"38","42268_at",0.00481912055782903,0.0254284014008169
"39","42280_at",0.000555783680118094,0.00479097680538958
"40","42281_at",7.72389730578483e-08,4.11289383962045e-06
"41","42287_at",0.00143990459736212,0.0100235719480023
"42","42295_at",0.00343924243573668,0.0194985426556621
"43","42300_at",0.000996223630675011,0.00755616549810165
"44","42306_at",0.00467679629349156,0.0247856095030581
"45","42313_at",0.00728422309656903,0.0349416813440208
"46","42314_at",0.000385951607652708,0.00357614485211246
"47","42325_at",0.00027750205714867,0.00277361528841047
"48","42333_at",0.00996509078181048,0.0442512558651512
"49","42344_at",0.00112143016220861,0.0082667373109009
"50","42350_r_at",3.67952842057565e-08,2.27625728763062e-06
"51","42352_at",0.00630735361192406,0.0312704898064598
"52","42363_r_at",0.00030258619428304,0.00293741367065535
"53","42365_f_at",0.000325667198719673,0.00311830049153435
"54","42366_at",0.000802169393028111,0.00637893997480452
"55","42372_at",0.00127489663343377,0.00911124264434134
"56","42377_at",0.0018599985557792,0.0121567015222263
"57","42412_at",0.00771109638297703,0.0364352026734953
"58","42429_r_at",0.00124692136898025,0.00894195056580188
"59","42431_at",0.000173489567928286,0.001905516403181
"60","42439_at",1.5844561010129e-05,0.000276185580038436
"61","42445_at",0.000779378983321595,0.00624111030067808
"62","42461_at",2.58956329837257e-05,0.000407116422010055
"63","42467_at",0.00417007554703232,0.0226252594168306
"64","42472_at",0.0111764724225477,0.0483384542967555
"65","42473_at",0.000219150914330548,0.00231826030079758
"66","42475_at",0.00521601276095797,0.0269455094484738
"67","42481_at",6.73282186134164e-05,0.000874167843058071
"68","42489_at",0.000569011889998723,0.00489164172464842
"69","42491_at",7.49164950360176e-05,0.00094829104047597
"70","42498_at",0.00665149821173908,0.0326001506921673
"71","42499_at",0.00209312088861698,0.0133477441204377
"72","42501_at",0.000282742787496381,0.00280109507465485
"73","42510_at",0.00501121425696106,0.0262132672352975
"74","42518_at",0.00624648931445825,0.0310551108624001
"75","42522_at",0.00643115477516777,0.0317672843483733
"76","42538_at",0.0027538848925805,0.0164025711782282
"77","42545_at",0.00930077389989718,0.042011952990581
"78","42546_at",0.00992290313613744,0.0441572617366271
"79","42548_at",0.00103622827302348,0.00778502187057273
"80","42565_at",0.0113809741425966,0.0489407179637976
"81","42568_at",1.21849747732889e-07,5.80291307381669e-06
"82","42569_at",0.00603907321905573,0.0302690797984255
"83","42571_at",5.22548639098093e-09,4.51682453795749e-07
"84","42574_at",0.000670132385210295,0.00551928712260233
"85","42582_at",0.000136933633227168,0.00157389454739685
"86","42593_at",0.00561349431056773,0.0285579230241573
"87","42598_at",0.00265514831700309,0.0159714877179105
"88","42614_at",9.89169856142973e-05,0.00120031957543503
"89","42619_at",0.00847125893668813,0.0390669211857196
"90","42622_at",0.00158926370938074,0.0107602979230625
"91","42639_at",2.42535903075991e-07,1.01687810525549e-05
"92","42644_at",0.00436246289055418,0.0234481070392363
"93","42646_at",3.71240775333909e-08,2.28429939681103e-06
"94","42655_f_at",8.55750778611712e-05,0.00106190509597638
"95","42662_at",0.00246689819424851,0.0150921073747211
"96","42669_at",0.000779396975742365,0.00624111030067808
"97","42670_at",2.92309240034663e-07,1.18235340039662e-05
"98","42672_at",0.000102893249590193,0.00124022235895724
"99","42676_at",0.00691157669097357,0.0336274003571997
"100","42677_r_at",0.00112722927958963,0.0082891983276209
"101","42681_at",0.000839836761091446,0.00661181529942236
"102","42688_at",1.66414967810957e-07,7.39491864005025e-06
"103","42695_at",4.40633803410727e-08,2.57444379585341e-06
"104","42698_at",0.00110261732983527,0.00819060722077091
"105","42699_at",0.00539860037740115,0.0277293756280748
"106","42710_at",0.000834852676200176,0.00658224067125154
"107","42711_g_at",5.6129615950652e-05,0.000755209454563099
"108","42715_at",0.0106297462489959,0.0465003904633041
"109","42720_at",6.12795656970241e-05,0.000813255763183618
"110","42726_at",0.00598114910237754,0.0300492450893892
"111","42730_at",0.000722976609519692,0.00585665921503653
"112","42733_i_at",0.000189593917903789,0.00205395259364832
"113","42734_r_at",1.22905743898185e-07,5.83109206013193e-06
"114","42738_g_at",0.000662662080184068,0.00547666104324591
"115","42739_at",3.35529830423606e-05,0.000504162956556776
"116","42740_at",2.67761790866216e-08,1.75997593788106e-06
"117","42744_at",0.0116950209358685,0.0499821153438167
"118","42745_at",1.21851978174439e-07,5.80291307381669e-06
"119","42748_at",3.88025243679388e-05,0.000568128239597454
"120","42753_at",0.00088926155580177,0.00693173615455117
"121","42754_at",0.00115970537667275,0.00846024397437295
"122","42755_at",0.000207101227140967,0.00221118230669967
"123","42757_at",0.00578065911119025,0.0292995251402273
"124","42768_at",2.31374407636212e-05,0.000369613294223923
"125","42774_r_at",8.55512066721987e-05,0.00106190509597638
"126","42781_at",0.000765992329634971,0.00615329293443242
"127","42786_at",0.000523838693712279,0.0045501983505202
"128","42793_at",0.00109028828928741,0.00811388289473425
"129","42799_f_at",0.00447313947048863,0.0239503691631593
"130","42804_at",1.62167281770158e-07,7.23162931427348e-06
"131","42809_at",8.87470305427634e-07,2.81403900866752e-05
"132","42821_at",4.07233964963573e-05,0.000585393421403537
"133","42823_at",0.00583745258261596,0.0295157861644465
"134","42825_at",2.99802984965673e-07,1.19731445261607e-05
"135","42826_at",7.44234126515884e-05,0.000943074668395842
"136","42828_at",0.000454123148019918,0.00407923187861827
"137","42829_at",9.63557109626045e-05,0.00117265790409321
"138","42830_at",4.73779479186956e-06,0.000105451446690289
"139","42838_f_at",2.13436551638249e-07,9.16180027780512e-06
"140","42849_at",0.00294680871078192,0.0172652784460651
"141","42855_at",0.00652480468667164,0.0321401386205293
"142","42858_at",0.00253257769227053,0.0154485965393614
"143","42866_s_at",0.000102887007472218,0.00124022235895724
"144","42880_at",0.00056899811722282,0.00489164172464842
"145","42881_at",2.81807925892851e-05,0.000439606430750034
"146","42893_at",0.010014612891922,0.0443938105022306
"147","42899_at",0.00146389577992063,0.0101341158247193
"148","42902_at",0.00612808946417805,0.0306650695323677
"149","42912_at",1.85411284237443e-06,5.05375897856702e-05
"150","42913_f_at",2.94780058465567e-07,1.18475297383295e-05
"151","42915_at",0.00234020796659855,0.0144777247553813
"152","42923_at",2.1098407481294e-05,0.000342695888941006
"153","42925_at",1.86094419923281e-07,8.18296717572058e-06
"154","42926_at",1.950656642224e-05,0.00032306933546017
"155","42932_at",0.00227905749255663,0.0142173532160478
"156","42959_at",8.49982960234402e-05,0.00106009052532336
"157","42963_at",0.00694490347968085,0.0336847929128681
"158","42970_at",1.26573528310202e-05,0.000231501148880399
"159","42971_at",0.00804477361740743,0.0375950365038979
"160","42977_at",7.44432541139295e-06,0.000150099621901477
"161","42981_at",0.000117999331081194,0.00139044479050496
"162","42982_at",1.77770692882168e-05,0.000299528190143252
"163","42983_at",0.00112142201531069,0.0082667373109009
"164","42988_at",0.0053981025452562,0.0277293756280748
"165","42998_at",0.00965201859404345,0.0432251506944032
"166","42999_at",0.000985116825461727,0.00748926164899217
"167","43002_at",0.00486774832615156,0.0256282786299677
"168","43004_at",0.0116954981466158,0.0499821153438167
"169","43014_at",2.22745006874751e-07,9.49676346878159e-06
"170","43016_at",0.00159798442481177,0.0107959526841148
"171","43017_at",0.0106302398166904,0.0465003904633041
"172","43018_g_at",0.00526757825020366,0.0271666683766122
"173","43020_at",0.00202681758754483,0.0130302791415261
"174","43021_at",0.000462085909939055,0.00412368672984259
"175","43024_at",0.00891837291785013,0.0406225677395809
"176","43029_at",0.00460899413467616,0.0244907393598371
"177","43031_at",0.00503916087940091,0.026279322553586
"178","43032_at",0.00165106004403585,0.0110832551212218
"179","43034_r_at",0.0101073621293325,0.0446783569088566
"180","43038_r_at",0.00269720006484093,0.0161553399654679
"181","43040_at",0.00863289787683281,0.0395755272396758
"182","43046_at",4.19455819930146e-06,9.53789630183503e-05
"183","43052_at",0.000175742668367987,0.00192523652326736
"184","43053_g_at",1.39122869698202e-05,0.000249039803629973
"185","43061_i_at",0.000395538775870367,0.00364890303471055
"186","43063_at",0.00218417006124679,0.013728182795743
"187","43066_g_at",3.25491556463048e-06,7.88426764407614e-05
"188","43071_at",0.000599973942053548,0.00508848867521221
"189","43076_at",6.8050093663178e-12,3.73387905230133e-09
"190","43078_at",0.00655474745637106,0.0322465213900046
"191","43090_at",2.49987157001187e-06,6.43844473745914e-05
"192","43095_at",9.09463090091148e-06,0.000176034113450158
"193","43096_at",0.000203229318588299,0.00218091326580301
"194","43102_g_at",8.53799824857637e-11,2.03301014900064e-08
"195","43108_at",0.00195211790786301,0.0126033118894468
"196","43112_at",2.86009771715244e-10,4.68758872603426e-08
"197","43113_at",0.0103416692207924,0.0454291565304024
"198","43116_at",0.01122759789659,0.0485094760680522
"199","43118_at",0.00285594852243518,0.0168446853903625
"200","43120_at",2.77307795918243e-10,4.6661658459843e-08
"201","43123_at",0.00115261665761624,0.00842795159279857
"202","43124_at",0.00294641135616629,0.0172652784460651
"203","43125_at",2.31144979175097e-06,6.05250423346363e-05
"204","43133_at",0.00930090773489046,0.042011952990581
"205","43135_at",0.00311790030073087,0.0180743692215083
"206","43139_at",0.000666534497683137,0.00550141619408842
"207","43151_at",0.00506409690752963,0.0263652039576239
"208","43162_at",0.000727181180978949,0.00588307531786278
"209","43163_at",9.20188280932665e-05,0.00112636043699032
"210","43165_at",0.00100726033102723,0.00760573813999503
"211","43172_at",0.0010601495153104,0.00793081390121356
"212","43174_at",1.47413201765265e-05,0.000260919299618182
"213","43175_at",0.0016067491493157,0.0108376131824501
"214","43182_at",0.0114326161132752,0.0491121367025468
"215","43184_at",0.0116417468997252,0.0498230526560574
"216","43188_at",0.000670449061723405,0.00551928712260233
"217","43191_at",0.00260019602224996,0.0157383567389901
"218","43192_at",0.00218424083120403,0.013728182795743
"219","43194_at",0.00147188914363258,0.0101568714571111
"220","43207_at",0.00138499048990181,0.00970847176468981
"221","43212_at",8.83270132776055e-06,0.000172019584500522
"222","43220_at",0.00108406477919667,0.00807780162615719
"223","43230_at",1.70680228690515e-08,1.22385482163312e-06
"224","43241_at",0.000153716353355777,0.00172896647000883
"225","43243_at",0.000129848318836318,0.00150711619552722
"226","43247_at",0.000260931520050004,0.00265133315864013
"227","43258_at",0.000761538541451608,0.00612183718914957
"228","43261_s_at",0.0090449796835753,0.0410904597324233
"229","43265_at",0.0014159198450444,0.00988642406515018
"230","43273_at",0.000744244891503908,0.00600156122645126
"231","43278_at",2.50080266633839e-05,0.000395986570253331
"232","43284_at",0.0113819612942249,0.0489407179637976
"233","43287_r_at",0.000682048032981766,0.00558004874289217
"234","43301_at",1.06881935723286e-06,3.25024103332016e-05
"235","43306_at",0.000104252554789073,0.00125421090699533
"236","43313_at",3.01265658289719e-06,7.44025950609835e-05
"237","43314_at",0.00128216951037718,0.00914179617003389
"238","43319_at",0.000262480445409436,0.00266355005813831
"239","43324_at",0.00447265989976054,0.0239503691631593
"240","43331_at",0.00382633914920158,0.0211841812558806
"241","43346_at",0.000157696354295035,0.00176429786454197
"242","43347_at",0.000361086891944114,0.003391526348868
"243","43349_r_at",2.78758718863561e-06,6.93902925729506e-05
"244","43352_s_at",7.17276605014426e-06,0.000146236361151568
"245","43354_at",0.00566932374290619,0.0287914952255437
"246","43355_s_at",2.22685702199627e-14,1.40514678087965e-10
"247","43360_s_at",0.00863306646891727,0.0395755272396758
