"","Gene","p.value","Adjusted.p.value"
"1","41890_at",0.000376791006657394,0.0351190085692389
"2","41903_at",0.000372308136655347,0.03484962762296
"3","41922_at",6.5543425419476e-05,0.00858898046976769
"4","41998_at",0.000293414813992795,0.028785687492378
"5","42040_at",0.000156575729549171,0.0175825747441024
"6","42047_at",0.000350375903451242,0.0331657706806031
"7","42107_at",0.00043811581117394,0.0396865459363046
"8","42142_at",1.03125968301875e-05,0.00194350343750154
"9","42265_f_at",5.51235314158376e-08,3.09809198415505e-05
"10","42280_at",0.000555783680118094,0.0480069933590159
"11","42281_at",7.72389730578483e-08,4.12124030788208e-05
"12","42314_at",0.000385951607652708,0.0358340207310358
"13","42325_at",0.00027750205714867,0.0277924390244171
"14","42350_r_at",3.67952842057565e-08,2.28087659217564e-05
"15","42363_r_at",0.00030258619428304,0.0294337468762526
"16","42365_f_at",0.000325667198719673,0.0312462858972937
"17","42431_at",0.000173489567928286,0.0190938334767345
"18","42439_at",1.5844561010129e-05,0.00276746055039251
"19","42461_at",2.58956329837257e-05,0.00407942600469212
"20","42473_at",0.000219150914330548,0.0232296484382187
"21","42481_at",6.73282186134164e-05,0.00875941828587952
"22","42489_at",0.000569011889998723,0.0490156853871027
"23","42491_at",7.49164950360176e-05,0.0095021544732447
"24","42501_at",0.000282742787496381,0.0280677945457081
"25","42568_at",1.21849747732889e-07,5.81468916911218e-05
"26","42571_at",5.22548639098093e-09,4.52599071975539e-06
"27","42582_at",0.000136933633227168,0.015770885177251
"28","42614_at",9.89169856142973e-05,0.0120275543437787
"29","42639_at",2.42535903075991e-07,0.000101894169871606
"30","42646_at",3.71240775333909e-08,2.28893502154607e-05
"31","42655_f_at",8.55750778611712e-05,0.0106406006460092
"32","42670_at",2.92309240034663e-07,0.000118475279982564
"33","42672_at",0.000102893249590193,0.012427391942951
"34","42688_at",1.66414967810957e-07,7.40992545912541e-05
"35","42695_at",4.40633803410727e-08,2.57966822280712e-05
"36","42711_g_at",5.6129615950652e-05,0.00756742032837469
"37","42720_at",6.12795656970241e-05,0.00814906137270741
"38","42733_i_at",0.000189593917903789,0.0205812076593826
"39","42734_r_at",1.22905743898185e-07,5.84292534022822e-05
"40","42739_at",3.35529830423606e-05,0.00505186075625655
"41","42740_at",2.67761790866216e-08,1.76354753099277e-05
"42","42745_at",1.21851978174439e-07,5.81468916911218e-05
"43","42748_at",3.88025243679388e-05,0.00569281166102549
"44","42755_at",0.000207101227140967,0.0221566955185192
"45","42768_at",2.31374407636212e-05,0.00370363366010264
"46","42774_r_at",8.55512066721987e-05,0.0106406006460092
"47","42786_at",0.000523838693712279,0.0455943225919805
"48","42804_at",1.62167281770158e-07,7.24630476345966e-05
"49","42809_at",8.87470305427634e-07,0.000281974965625258
"50","42821_at",4.07233964963573e-05,0.00586581384867423
"51","42825_at",2.99802984965673e-07,0.000119974421313692
"52","42826_at",7.44234126515884e-05,0.00944988489441328
"53","42828_at",0.000454123148019918,0.0408751003524821
"54","42829_at",9.63557109626045e-05,0.0117503762804426
"55","42830_at",4.73779479186956e-06,0.00105665443741335
"56","42838_f_at",2.13436551638249e-07,9.18039270401887e-05
"57","42866_s_at",0.000102887007472218,0.012427391942951
"58","42880_at",0.00056899811722282,0.0490156853871027
"59","42881_at",2.81807925892851e-05,0.00440498542548913
"60","42912_at",1.85411284237443e-06,0.00050640147839832
"61","42913_f_at",2.94780058465567e-07,0.000118715724281716
"62","42923_at",2.1098407481294e-05,0.0034339133610594
"63","42925_at",1.86094419923281e-07,8.19957321479705e-05
"64","42926_at",1.950656642224e-05,0.00323724953635565
"65","42959_at",8.49982960234402e-05,0.0106224181156344
"66","42970_at",1.26573528310202e-05,0.0023197094388776
"67","42977_at",7.44432541139295e-06,0.0015040422537026
"68","42981_at",0.000117999331081194,0.0139326647853437
"69","42982_at",1.77770692882168e-05,0.00300136035283434
"70","43014_at",2.22745006874751e-07,9.51603564987142e-05
"71","43021_at",0.000462085909939055,0.0413205510056978
"72","43046_at",4.19455819930146e-06,0.000955725195551107
"73","43052_at",0.000175742668367987,0.01929143486628
"74","43053_g_at",1.39122869698202e-05,0.00249545190566261
"75","43061_i_at",0.000395538775870367,0.0365630790693837
"76","43066_g_at",3.25491556463048e-06,0.000790026751964393
"77","43076_at",6.8050093663178e-12,3.7414563699317e-08
"78","43090_at",2.49987157001187e-06,0.000645151054385993
"79","43095_at",9.09463090091148e-06,0.00176391346872213
"80","43096_at",0.000203229318588299,0.0218533908471889
"81","43102_g_at",8.53799824857637e-11,2.03713582190781e-07
"82","43112_at",2.86009771715244e-10,4.69710144677325e-07
"83","43120_at",2.77307795918243e-10,4.67563509237278e-07
"84","43125_at",2.31144979175097e-06,0.000606478683458534
"85","43163_at",9.20188280932665e-05,0.0112864620754631
"86","43174_at",1.47413201765265e-05,0.00261448794114765
"87","43212_at",8.83270132776055e-06,0.00172368671070319
"88","43230_at",1.70680228690515e-08,1.22633844163985e-05
"89","43241_at",0.000153716353355777,0.017324751343046
"90","43243_at",0.000129848318836318,0.015101746497405
"91","43247_at",0.000260931520050004,0.0265671362040806
"92","43278_at",2.50080266633839e-05,0.00396790162436726
"93","43301_at",1.06881935723286e-06,0.000325683688399978
"94","43306_at",0.000104252554789073,0.0125675612988141
"95","43313_at",3.01265658289719e-06,0.000745535833729786
"96","43319_at",0.000262480445409436,0.0266895531217365
"97","43346_at",0.000157696354295035,0.0176787822832102
"98","43347_at",0.000361086891944114,0.0339840891577421
"99","43349_r_at",2.78758718863561e-06,0.000695311092089275
"100","43352_s_at",7.17276605014426e-06,0.00146533124743006
"101","43355_s_at",2.22685702199627e-14,1.40799830427579e-09
"102","43365_s_at",5.35300281440849e-05,0.00731046848421022
"103","43370_at",2.8307746131829e-10,4.69710144677325e-07
"104","43373_s_at",0.000405169013459566,0.0373168932869956
"105","43375_f_at",5.84561911287986e-05,0.00783896301606392
"106","43377_s_at",3.25477603549653e-06,0.000790026751964393
"107","43380_s_at",6.85825935254815e-06,0.00141019309077359
"108","43390_s_at",0.000327660580920173,0.0314137074734057
"109","43395_s_at",2.10573885641907e-09,2.09672070581388e-06
"110","43411_g_at",0.000106308860816338,0.0127795449412057
"111","43414_at",7.28089157034267e-06,0.00148024626056951
"112","43427_at",5.47173401234202e-07,0.00019273932023545
"113","43431_at",0.000168087658325693,0.0185805201529456
"114","43434_at",0.00027923795408609,0.0279203281756723
"115","43435_at",6.80701954157144e-06,0.00140193674920706
"116","43436_g_at",5.7672157837971e-05,0.00775850673361465
"117","43439_at",1.82931728544568e-05,0.00307617466753245
"118","43440_at",4.63571840610246e-07,0.000169923022084071
"119","43441_g_at",0.000151761998360465,0.0171660117135149
"120","43456_at",1.5529314059905e-10,3.14977461416027e-07
"121","43457_at",4.06789651301066e-06,0.000933646433755679
"122","43459_at",3.01265658289719e-06,0.000745535833729786
"123","43465_s_at",4.2297570563179e-07,0.000156855892615214
"124","43466_at",0.0003419491866705,0.0325371983780861
"125","43470_at",2.59623149744646e-07,0.000106593934270849
"126","43474_at",1.76498502640069e-05,0.00298785981559399
"127","43484_at",4.10043835713304e-08,2.44587478810778e-05
"128","43485_s_at",1.18872482965593e-09,1.39186582826322e-06
"129","43493_at",7.86149474334926e-08,4.15955643807533e-05
"130","43506_at",1.18315694152585e-10,2.62486694768015e-07
"131","43507_g_at",1.17676214423024e-07,5.65812756169334e-05
"132","43523_at",0.000281039080983089,0.0279615318340964
"133","43530_at",1.28434887013283e-05,0.00234701955145397
"134","43545_at",1.59591543584503e-05,0.00278363098860449
"135","43554_at",1.28690016401408e-09,1.45300338966382e-06
"136","43557_at",5.06931125187179e-05,0.00700596006134426
"137","43559_at",3.87942050225233e-05,0.00569281166102549
"138","43569_at",0.000102221436250535,0.0123698798731279
"139","43572_at",0.000254525188655415,0.02616887491329
"140","43578_at",3.02262645880706e-05,0.00465565849805721
"141","43580_at",2.61929165981739e-06,0.000665130636938729
"142","43585_at",4.02516364239214e-08,2.42384051429115e-05
"143","43589_at",1.37981432832946e-08,1.0263878986567e-05
"144","43590_f_at",0.000420079115426002,0.0383272495472483
"145","43614_at",0.00017460360663101,0.0191852327048643
"146","43621_at",0.000514619348729372,0.0450391369704635
"147","43628_at",0.000153701551337678,0.017324751343046
"148","43634_at",1.53945559736551e-05,0.00270004931381196
"149","43639_at",1.71502255794406e-05,0.00293471000229344
"150","43640_at",0.00029704116957228,0.0290507878757756
"151","43642_at",3.25486905437002e-06,0.000790026751964393
"152","43650_at",0.000317789934767664,0.0306766997795872
"153","43659_at",0.000390624629270198,0.0362008189936482
"154","43669_at",1.08793829411304e-07,5.37407956783728e-05
"155","43679_at",5.17415373544069e-05,0.00712764304326129
"156","43680_at",1.73967301911822e-05,0.00296086501246008
"157","43695_at",0.000277581308182442,0.0277924390244171
"158","43714_at",5.96508728916522e-05,0.00797380224541066
"159","43719_at",0.000135184928987771,0.0156404019203888
"160","43744_at",1.76870891807181e-06,0.000491606260800972
"161","43750_at",2.10391465174584e-06,0.00056134284273922
"162","43751_at",8.04927749173772e-07,0.000259663332465484
"163","43754_at",1.09526758562945e-06,0.000331347537270986
"164","43758_at",3.57038829931199e-06,0.000853492231364895
"165","43777_at",0.000165956994618545,0.0183928788770752
"166","43792_at",1.36050877554236e-06,0.000396416216130543
"167","43801_f_at",5.33795914584942e-07,0.000188552377473283
"168","43806_at",6.38102856437055e-05,0.00841418149258968
"169","43810_at",7.72805682771144e-06,0.00154385458120233
"170","43811_at",0.000120325959431813,0.0141280890574818
"171","43815_at",0.000319746556258656,0.0308185239634007
"172","43817_f_at",2.52789923694461e-10,4.43983730811899e-07
"173","43818_at",0.000121898982305328,0.01428625603092
"174","43827_s_at",2.33463362561779e-11,8.02559891040069e-08
"175","43833_at",0.000265823788861975,0.0268495557381796
"176","43843_s_at",2.20183539767134e-05,0.00355600924333652
"177","43846_f_at",4.12927415410754e-05,0.00592031652596426
"178","43850_s_at",1.50054674891774e-07,6.8502994288953e-05
"179","43851_at",6.6056979979823e-06,0.00136495630920938
"180","43919_at",0.000582598510238307,0.0499478896245349
"181","43922_at",7.54062556263297e-07,0.000245130622762473
"182","43924_at",7.3336833537224e-06,0.00148858590251821
"183","43925_at",5.72079977071309e-10,8.12842747000159e-07
"184","43930_at",0.000158693463292672,0.0177611211053889
"185","43931_at",3.43538628834279e-06,0.000825951101366867
"186","43941_at",0.000227538717156793,0.0239980479104381
"187","43950_at",1.86825942823233e-05,0.00312917624657258
