"","Gene","p.value","Adjusted.p.value"
"1","41880_at",0.123380583400183,1
"2","41881_at",0.95303819651285,1
"3","41882_at",0.217337449891509,1
"4","41883_at",0.049507672976873,1
"5","41884_at",0.311389213792988,1
"6","41885_at",0.0184888548057604,0.698786936787444
"7","41886_r_at",0.745407869228136,1
"8","41887_at",0.0298059944361325,0.990924618596979
"9","41888_at",0.225794443003935,1
"10","41889_at",0.763542470360268,1
"11","41890_at",0.000376791006657394,0.0351190085692389
"12","41891_at",0.0143016482774835,0.580056552470743
"13","41892_at",0.980952319239233,1
"14","41893_at",0.00386531256354719,0.213950814217801
"15","41894_r_at",0.222147859873106,1
"16","41895_at",0.0468120959335289,1
"17","41896_at",0.886089184518026,1
"18","41897_at",0.499758660325533,1
"19","41898_at",0.267946472168784,1
"20","41899_at",0.353437004884838,1
"21","41900_at",0.0164548020448606,0.643265956488462
"22","41901_at",0.472853040393746,1
"23","41902_at",0.991110073023197,1
"24","41903_at",0.000372308136655347,0.03484962762296
"25","41904_at",0.291296608076411,1
"26","41905_at",0.478762006618798,1
"27","41906_at",0.28984632140516,1
"28","41907_at",0.613859502771353,1
"29","41908_at",0.0165958465485254,0.64666933349956
"30","41909_at",0.944166962591005,1
"31","41910_at",0.0252281370808498,0.879115540923219
"32","41911_at",0.187534136589171,1
"33","41912_at",0.151954712758076,1
"34","41913_at",0.452490553456386,1
"35","41914_at",0.0027973967674198,0.166091160631656
"36","41915_at",0.61946966676163,1
"37","41916_at",0.000797484157019072,0.0637099969367662
"38","41917_at",0.0630115700535148,1
"39","41918_at",0.377018687192965,1
"40","41919_at",0.0372058654982017,1
"41","41920_at",0.427980977767202,1
"42","41921_at",0.019214596411996,0.718026886007144
"43","41922_at",6.5543425419476e-05,0.00858898046976769
"44","41923_at",0.634137388037602,1
"45","41924_at",0.0461079881045301,1
"46","41925_at",0.00664991247808249,0.326663075475802
"47","41926_at",0.00363743801228138,0.204454331501979
"48","41927_at",0.0025729499753666,0.15658500528454
"49","41928_at",0.968259225890799,1
"50","41929_at",0.328425013062902,1
"51","41930_at",0.654678596292463,1
"52","41931_at",0.89489842567613,1
"53","41932_at",0.160828660934018,1
"54","41933_at",0.357581862182727,1
"55","41934_at",0.0252276752810377,0.879115540923219
"56","41935_i_at",0.0332001071265881,1
"57","41936_r_at",0.138803616333615,1
"58","41937_at",0.629604165503266,1
"59","41938_at",0.381343406309514,1
"60","41939_at",0.053323231233229,1
"61","41940_at",0.663902911739625,1
"62","41941_r_at",0.0186476517226798,0.702900763278438
"63","41942_at",0.353434263702851,1
"64","41943_at",0.205166719719295,1
"65","41944_at",0.481733350560612,1
"66","41945_at",0.517109002563205,1
"67","41946_at",0.961915251553901,1
"68","41947_at",0.253100391644881,1
"69","41948_at",0.348502747923645,1
"70","41949_at",0.616100376352121,1
"71","41950_at",0.949235367737398,1
"72","41951_at",0.155211383110389,1
"73","41952_r_at",0.0688688348407617,1
"74","41953_at",0.104823041381883,1
"75","41954_at",0.598300372120782,1
"76","41955_r_at",0.756274951009148,1
"77","41956_at",0.336365787746721,1
"78","41957_i_at",0.488699191683941,1
"79","41958_r_at",0.574209950679016,1
"80","41959_at",0.603839878394879,1
"81","41960_at",0.490701094402858,1
"82","41961_i_at",0.586197634780463,1
"83","41962_r_at",0.228239619784032,1
"84","41963_at",0.297897926898094,1
"85","41964_at",0.498749771480477,1
"86","41965_at",0.725014216183642,1
"87","41966_at",0.392688521247612,1
"88","41967_at",0.179149229082427,1
"89","41968_r_at",0.590575463117739,1
"90","41969_at",0.261124581958366,1
"91","41970_at",0.697743852439052,1
"92","41971_at",0.00112134869499591,0.0828351334823208
"93","41972_at",0.349325376395987,1
"94","41973_at",0.437313591210092,1
"95","41974_at",0.913809261945597,1
"96","41975_at",0.224578905218523,1
"97","41976_at",0.132139016633646,1
"98","41977_at",0.0386788098028185,1
"99","41978_at",0.978412802104738,1
"100","41979_r_at",1,1
"101","41980_at",0.619460136690083,1
"102","41981_at",0.340364367088173,1
"103","41982_at",0.0125134375558724,0.524844975042737
"104","41983_at",0.265204757534059,1
"105","41984_at",0.458250286441,1
"106","41985_at",0.317516370390342,1
"107","41986_at",0.210313430781206,1
"108","41987_at",0.0482378883467511,1
"109","41988_at",0.0136818978875024,0.561584668086824
"110","41989_at",0.0496947920936755,1
"111","41990_at",0.00141585056403485,0.0990648700085883
"112","41991_at",0.130913942932262,1
"113","41992_at",0.617226153813687,1
"114","41993_at",0.124544855813394,1
"115","41994_at",0.094356446750856,1
"116","41995_at",0.961915058921112,1
"117","41996_at",0.0856112612425954,1
"118","41997_at",0.660437990423067,1
"119","41998_at",0.000293414813992795,0.028785687492378
"120","41999_at",0.175566959275453,1
"121","42000_r_at",0.012854292062638,0.535939228676642
"122","42001_at",0.419678325281417,1
"123","42002_at",0.395341012552508,1
"124","42003_at",0.68132810750183,1
"125","42004_at",0.156140017542223,1
"126","42005_at",0.253109100075426,1
"127","42006_at",0.182784683529111,1
"128","42007_at",0.310634537919616,1
"129","42008_r_at",0.396237033341369,1
"130","42009_at",0.0838840414298848,1
"131","42010_at",0.697741488737103,1
"132","42011_at",0.0445682043669384,1
"133","42012_at",0.285504649192221,1
"134","42013_at",0.960646549319447,1
"135","42014_at",0.429822754548949,1
"136","42015_at",0.0120142933362567,0.509762592022754
"137","42016_at",0.854764352634083,1
"138","42017_at",0.828619125934673,1
"139","42018_at",0.120682570072692,1
"140","42019_at",0.601610181940734,1
"141","42020_at",0.606051940692831,1
"142","42021_at",0.719057204484979,1
"143","42022_at",0.620579931762221,1
"144","42023_r_at",0.889863869556076,1
"145","42024_at",0.271393925082085,1
"146","42025_i_at",0.134194890622584,1
"147","42026_r_at",0.627348929777042,1
"148","42027_at",0.19565630286311,1
"149","42028_at",0.592787295602497,1
"150","42029_at",0.227626855292169,1
"151","42030_at",0.0972101139755589,1
"152","42031_at",0.217944551327181,1
"153","42032_at",0.790381292831798,1
"154","42033_at",0.196754703523241,1
"155","42034_at",0.0392828322072499,1
"156","42035_at",0.360078408512263,1
"157","42036_at",0.200647329624404,1
"158","42037_at",0.0194519014134626,0.725550349013602
"159","42038_at",0.233198958655692,1
"160","42039_at",0.325282517567351,1
"161","42040_at",0.000156575729549171,0.0175825747441024
"162","42041_at",0.0114820600613149,0.49394382288214
"163","42042_at",0.0235162851975732,0.834393317123315
"164","42043_at",0.535808520674907,1
"165","42044_at",0.288382921360322,1
"166","42045_at",0.284795217954454,1
"167","42046_at",0.765976136784319,1
"168","42047_at",0.000350375903451242,0.0331657706806031
"169","42048_at",0.149286799998187,1
"170","42049_at",0.234419986066395,1
"171","42050_at",0.0304123076456654,1
"172","42051_at",0.524332093913987,1
"173","42052_at",0.20573615611255,1
"174","42053_at",0.418763353472511,1
"175","42054_at",0.49070246629889,1
"176","42055_at",0.383079681541923,1
"177","42056_at",0.0408257666443561,1
"178","42057_at",0.105162794225166,1
"179","42058_at",0.162739750270749,1
"180","42059_at",0.0618973203116367,1
"181","42060_at",0.131730492454841,1
"182","42061_r_at",0.0416159129235526,1
"183","42062_at",0.0915672649376421,1
"184","42063_at",0.51402101720486,1
"185","42064_at",0.78671155446064,1
"186","42065_at",0.00156342810557069,0.106352394839092
"187","42066_r_at",0.418762470342631,1
"188","42067_at",0.471872925468329,1
"189","42068_at",0.299377565555215,1
"190","42069_at",0.0830373923399473,1
"191","42070_i_at",0.227627149461951,1
"192","42071_r_at",0.226401622945381,1
"193","42072_at",0.0427377004569715,1
"194","42073_at",0.00855194712619863,0.39414765260827
"195","42074_at",0.696565039395315,1
"196","42075_at",0.869772026358921,1
"197","42076_at",0.876045403338686,1
"198","42077_at",0.228860335396877,1
"199","42078_at",0.714302252985438,1
"200","42079_at",0.991110382383627,1
"201","42080_at",0.613866679904889,1
"202","42081_at",0.123761465189278,1
"203","42082_at",0.341182114969288,1
"204","42083_at",0.00375031672346005,0.208741871301897
"205","42084_r_at",0.323713112789382,1
"206","42085_at",0.912547904438269,1
