"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",5.51235314158376e-08,0.000695658966467871
"2","42281_at",7.72389730578483e-08,0.000974755839990046
"3","42350_r_at",3.67952842057565e-08,0.000464356486676647
"4","42568_at",1.21849747732889e-07,0.00153774381638906
"5","42571_at",5.22548639098093e-09,6.59456382541793e-05
"6","42639_at",2.42535903075991e-07,0.00306080309681901
"7","42646_at",3.71240775333909e-08,0.000468505858471393
"8","42670_at",2.92309240034663e-07,0.00368894260923744
"9","42688_at",1.66414967810957e-07,0.00210015689377427
"10","42695_at",4.40633803410727e-08,0.000556079859904337
"11","42734_r_at",1.22905743898185e-07,0.00155107048799509
"12","42740_at",2.67761790866216e-08,0.000337915380073164
"13","42745_at",1.21851978174439e-07,0.00153777196456142
"14","42804_at",1.62167281770158e-07,0.0020465510959394
"15","42809_at",8.87470305427634e-07,0.0111998752544967
"16","42825_at",2.99802984965673e-07,0.0037835136702668
"17","42838_f_at",2.13436551638249e-07,0.00269356928167471
"18","42912_at",1.85411284237443e-06,0.0233989040707653
"19","42913_f_at",2.94780058465567e-07,0.00372012433783546
"20","42925_at",1.86094419923281e-07,0.00234851157943181
"21","43014_at",2.22745006874751e-07,0.00281104198675935
"22","43066_g_at",3.25491556463048e-06,0.0410770344256367
"23","43076_at",6.8050093663178e-12,8.58792182029306e-08
"24","43090_at",2.49987157001187e-06,0.0315483792135498
"25","43102_g_at",8.53799824857637e-11,1.07749537897034e-06
"26","43112_at",2.86009771715244e-10,3.60944331904638e-06
"27","43120_at",2.77307795918243e-10,3.49962438448823e-06
"28","43125_at",2.31144979175097e-06,0.0291704963718973
"29","43230_at",1.70680228690515e-08,0.00021539844860743
"30","43301_at",1.06881935723286e-06,0.0134885002882787
"31","43313_at",3.01265658289719e-06,0.0380197260761626
"32","43349_r_at",2.78758718863561e-06,0.0351793503205814
"33","43355_s_at",2.22685702199627e-14,2.81029356175929e-10
"34","43370_at",2.8307746131829e-10,3.57243756183681e-06
"35","43377_s_at",3.25477603549653e-06,0.0410752735679662
"36","43395_s_at",2.10573885641907e-09,2.65744243680087e-05
"37","43427_at",5.47173401234202e-07,0.00690532832357563
"38","43440_at",4.63571840610246e-07,0.0058502766285013
"39","43456_at",1.5529314059905e-10,1.95979943436001e-06
"40","43459_at",3.01265658289719e-06,0.0380197260761626
"41","43465_s_at",4.2297570563179e-07,0.00533795340507319
"42","43470_at",2.59623149744646e-07,0.00327644414977743
"43","43484_at",4.10043835713304e-08,0.00051747532067019
"44","43485_s_at",1.18872482965593e-09,1.50017073502579e-05
"45","43493_at",7.86149474334926e-08,0.000992120636610677
"46","43506_at",1.18315694152585e-10,1.49314406020562e-06
"47","43507_g_at",1.17676214423024e-07,0.00148507382601857
"48","43554_at",1.28690016401408e-09,1.62406800698577e-05
"49","43580_at",2.61929165981739e-06,0.0330554607468955
"50","43585_at",4.02516364239214e-08,0.000507975651669889
"51","43589_at",1.37981432832946e-08,0.000174132568235178
"52","43642_at",3.25486905437002e-06,0.0410764474661497
"53","43669_at",1.08793829411304e-07,0.00137297812717065
"54","43744_at",1.76870891807181e-06,0.0223211065460662
"55","43750_at",2.10391465174584e-06,0.0265514029050325
"56","43751_at",8.04927749173772e-07,0.010158188194573
"57","43754_at",1.09526758562945e-06,0.0138222769306437
"58","43758_at",3.57038829931199e-06,0.0450583003373173
"59","43792_at",1.36050877554236e-06,0.0171696207473446
"60","43801_f_at",5.33795914584942e-07,0.00673650444206196
"61","43817_f_at",2.52789923694461e-10,3.1902088370241e-06
"62","43827_s_at",2.33463362561779e-11,2.94630763552965e-07
"63","43850_s_at",1.50054674891774e-07,0.00189368999713419
"64","43922_at",7.54062556263297e-07,0.00951626946004281
"65","43925_at",5.72079977071309e-10,7.21964931063992e-06
"66","43931_at",3.43538628834279e-06,0.043354574958886
"67","43964_at",4.52651779134524e-08,0.000571246545267769
"68","43966_at",4.48508326970593e-10,5.66017508636888e-06
"69","43984_at",2.59614126726826e-07,0.00327633027929254
"70","44004_at",5.01834882992099e-11,6.33315622336028e-07
"71","44010_at",4.91319336296121e-07,0.00620045002405705
"72","44045_at",1.86954275832209e-06,0.0235936296100248
"73","44057_at",1.89023375790992e-08,0.000238547500248232
"74","44075_at",4.95430523566444e-07,0.00625233320740853
"75","44077_at",1.30719687546668e-06,0.0164968245683895
"76","44080_at",3.4854800736078e-08,0.000439867585289305
"77","44088_at",2.68906236868291e-10,3.39359670927783e-06
"78","44102_at",9.6257143454792e-07,0.0121476515039948
"79","44106_at",4.44085683948327e-09,5.60436133142789e-05
"80","44119_at",3.19619329985949e-11,4.03359594442268e-07
"81","44128_at",2.7662017080207e-06,0.0349094655552212
"82","44140_at",1.16659461328121e-07,0.00147224240196089
"83","44148_at",1.38806664470583e-07,0.00175174010561876
"84","44339_at",6.45230549605503e-07,0.00814280953602145
"85","44422_r_at",1.1767405537769e-07,0.00148504657886645
"86","44436_at",3.0142298471962e-08,0.00038039580671616
"87","44568_at",1.75489614455977e-06,0.0221467893443443
"88","44575_at",6.34716821884298e-07,0.00801012629217984
"89","44576_at",2.1527522804233e-07,0.00271677337789421
"90","44591_at",1.14965292325769e-06,0.0145086198915121
"91","44596_at",1.74126560737514e-10,2.19747719650742e-06
"92","44598_at",2.99024129404685e-09,3.77368451308713e-05
"93","44605_at",1.27603867361462e-06,0.0161036080610165
"94","44606_at",6.09184730574084e-07,0.00768791129984494
"95","44649_at",7.41569949128304e-07,0.0093586127579992
"96","44662_at",2.51934996463528e-06,0.0317941965536973
"97","44676_at",3.68180828372516e-06,0.0464644205406115
"98","44691_at",1.60830305537592e-06,0.0202967845588441
"99","44699_at",7.20773056002881e-11,9.09615596675636e-07
"100","44710_at",8.05559159769048e-10,1.01661565962854e-05
"101","44720_at",3.3314164899383e-06,0.0420424761030213
"102","44733_at",1.42081618548236e-09,1.79307002607873e-05
"103","44745_at",1.32827188467185e-06,0.0167627911845587
"104","44746_at",1.08789816348526e-07,0.00137292748231839
"105","44748_at",8.81559853116986e-10,1.11252853463364e-05
"106","44761_at",3.35857044716305e-09,4.23851590431977e-05
"107","44793_s_at",4.09102444114078e-07,0.00516287284471967
"108","44806_at",1.63129739970004e-09,2.05869731842145e-05
"109","44816_s_at",6.62088974726063e-11,8.35556286104292e-07
"110","44826_at",1.24695917606021e-10,1.57366248018799e-06
"111","44841_at",4.05035552941664e-11,5.1115486781238e-07
"112","44847_at",2.48806881674723e-07,0.00313994284673501
"113","44851_s_at",3.71052062161595e-06,0.0468267702447933
"114","44863_at",4.09102444114078e-07,0.00516287284471967
"115","44864_g_at",5.25056313169697e-07,0.00662621067220158
"116","44887_at",2.74477488755521e-06,0.0346390590809467
"117","44892_at",4.05069677795226e-10,5.11197933377575e-06
"118","44932_at",3.03621664192639e-06,0.038317054021111
"119","44936_at",2.44187137228632e-06,0.0308164167182533
"120","44972_at",3.3733915322816e-07,0.00425722011373938
"121","44986_s_at",1.10892131434069e-09,1.39945869869795e-05
"122","44988_at",1.05976661482762e-07,0.00133742546791246
"123","45055_at",2.06236043813364e-07,0.00260269887292465
"124","45091_at",1.23215461119803e-08,0.000155497911933192
"125","45156_at",6.61439946023728e-07,0.00834737211881945
"126","45171_at",1.60771939834141e-07,0.00202894188070685
"127","45178_at",2.55851934212278e-08,0.000322885140975895
"128","45179_at",7.50880353117309e-10,9.47611005634044e-06
"129","45199_at",1.61902308488804e-10,2.04320713312871e-06
"130","45217_at",1.00382841511352e-11,1.26683145987326e-07
