"","Gene","p.value","Adjusted.p.value"
"1","41880_at",0.123380583400183,0.269158329327285
"2","41881_at",0.95303819651285,0.980623260278263
"3","41882_at",0.217337449891509,0.394771195296398
"4","41883_at",0.049507672976873,0.142768921307291
"5","41884_at",0.311389213792988,0.50048561071924
"6","41885_at",0.0184888548057604,0.0697371731035335
"7","41886_r_at",0.745407869228136,0.852551495106886
"8","41887_at",0.0298059944361325,0.0988917766227082
"9","41888_at",0.225794443003935,0.404707868834115
"10","41889_at",0.763542470360268,0.863825855465687
"11","41890_at",0.000376791006657394,0.00350478844249266
"12","41891_at",0.0143016482774835,0.0578881803307029
"13","41892_at",0.980952319239233,0.995546314504545
"14","41893_at",0.00386531256354719,0.0213517514155923
"15","41894_r_at",0.222147859873106,0.400178414288509
"16","41895_at",0.0468120959335289,0.137486428786576
"17","41896_at",0.886089184518026,0.942079938566322
"18","41897_at",0.499758660325533,0.674977002258846
"19","41898_at",0.267946472168784,0.452616241734935
"20","41899_at",0.353437004884838,0.54282280657742
"21","41900_at",0.0164548020448606,0.0641963193609202
"22","41901_at",0.472853040393746,0.652321510877933
"23","41902_at",0.991110073023197,1
"24","41903_at",0.000372308136655347,0.00347790490375937
"25","41904_at",0.291296608076411,0.477863215991464
"26","41905_at",0.478762006618798,0.657308532963667
"27","41906_at",0.28984632140516,0.476222923930815
"28","41907_at",0.613859502771353,0.762803691928717
"29","41908_at",0.0165958465485254,0.0645359677991848
"30","41909_at",0.944166962591005,0.97467408005229
"31","41910_at",0.0252281370808498,0.0877335127889165
"32","41911_at",0.187534136589171,0.358215548476662
"33","41912_at",0.151954712758076,0.31024437407861
"34","41913_at",0.452490553456386,0.634565222986152
"35","41914_at",0.0027973967674198,0.0165754787477658
"36","41915_at",0.61946966676163,0.766369489549295
"37","41916_at",0.000797484157019072,0.00635809694043594
"38","41917_at",0.0630115700535148,0.168779747014919
"39","41918_at",0.377018687192965,0.56611230807757
"40","41919_at",0.0372058654982017,0.116224157670727
"41","41920_at",0.427980977767202,0.612165328545462
"42","41921_at",0.019214596411996,0.0716572714891814
"43","41922_at",6.5543425419476e-05,0.000857158579060919
"44","41923_at",0.634137388037602,0.776824794549999
"45","41924_at",0.0461079881045301,0.135842006271777
"46","41925_at",0.00664991247808249,0.0326001506921673
"47","41926_at",0.00363743801228138,0.0204040264021961
"48","41927_at",0.0025729499753666,0.0156267884301724
"49","41928_at",0.968259225890799,0.988787136328037
"50","41929_at",0.328425013062902,0.517770231194453
"51","41930_at",0.654678596292463,0.791849960854891
"52","41931_at",0.89489842567613,0.946340062326574
"53","41932_at",0.160828660934018,0.322853725191368
"54","41933_at",0.357581862182727,0.546330137966703
"55","41934_at",0.0252276752810377,0.0877335127889165
"56","41935_i_at",0.0332001071265881,0.107407122972872
"57","41936_r_at",0.138803616333615,0.29186086896539
"58","41937_at",0.629604165503266,0.773830551137932
"59","41938_at",0.381343406309514,0.570282120888243
"60","41939_at",0.053323231233229,0.150246998905851
"61","41940_at",0.663902911739625,0.797724947806492
"62","41941_r_at",0.0186476517226798,0.0701477226072767
"63","41942_at",0.353434263702851,0.54282280657742
"64","41943_at",0.205166719719295,0.380153001084107
"65","41944_at",0.481733350560612,0.659810330120903
"66","41945_at",0.517109002563205,0.688896754815866
"67","41946_at",0.961915251553901,0.985178901554007
"68","41947_at",0.253100391644881,0.436320865355972
"69","41948_at",0.348502747923645,0.538659015920392
"70","41949_at",0.616100376352121,0.763779655783937
"71","41950_at",0.949235367737398,0.978385690043108
"72","41951_at",0.155211383110389,0.314966642252856
"73","41952_r_at",0.0688688348407617,0.179425678484291
"74","41953_at",0.104823041381883,0.240346939613671
"75","41954_at",0.598300372120782,0.750555824930827
"76","41955_r_at",0.756274951009148,0.859373588398137
"77","41956_at",0.336365787746721,0.526148625258255
"78","41957_i_at",0.488699191683941,0.666171423451629
"79","41958_r_at",0.574209950679016,0.732494315286584
"80","41959_at",0.603839878394879,0.755401571125487
"81","41960_at",0.490701094402858,0.667888818452544
"82","41961_i_at",0.586197634780463,0.74178903031378
"83","41962_r_at",0.228239619784032,0.407362225174945
"84","41963_at",0.297897926898094,0.485722866212257
"85","41964_at",0.498749771480477,0.674405026902777
"86","41965_at",0.725014216183642,0.840042665749531
"87","41966_at",0.392688521247612,0.581067611982252
"88","41967_at",0.179149229082427,0.347138319377914
"89","41968_r_at",0.590575463117739,0.745174105050808
"90","41969_at",0.261124581958366,0.445338710545291
"91","41970_at",0.697743852439052,0.821106041141346
"92","41971_at",0.00112134869499591,0.0082667373109009
"93","41972_at",0.349325376395987,0.539132475249768
"94","41973_at",0.437313591210092,0.620872327670983
"95","41974_at",0.913809261945597,0.957990532017925
"96","41975_at",0.224578905218523,0.403100111925823
"97","41976_at",0.132139016633646,0.28245319328389
"98","41977_at",0.0386788098028185,0.119464327236573
"99","41978_at",0.978412802104738,0.994729294489748
"100","41979_r_at",1,1
"101","41980_at",0.619460136690083,0.766369489549295
"102","41981_at",0.340364367088173,0.530326554082621
"103","41982_at",0.0125134375558724,0.0523782042139239
"104","41983_at",0.265204757534059,0.449371938722472
"105","41984_at",0.458250286441,0.639949794244765
"106","41985_at",0.317516370390342,0.506395403725513
"107","41986_at",0.210313430781206,0.386214242318692
"108","41987_at",0.0482378883467511,0.140206051055591
"109","41988_at",0.0136818978875024,0.0560447328776752
"110","41989_at",0.0496947920936755,0.143169327252818
"111","41990_at",0.00141585056403485,0.00988642406515018
"112","41991_at",0.130913942932262,0.280365245346405
"113","41992_at",0.617226153813687,0.764718177291112
"114","41993_at",0.124544855813394,0.270765751377156
"115","41994_at",0.094356446750856,0.224680620938046
"116","41995_at",0.961915058921112,0.985178901554007
"117","41996_at",0.0856112612425954,0.209350727552707
"118","41997_at",0.660437990423067,0.795837993501352
"119","41998_at",0.000293414813992795,0.00287273897933613
"120","41999_at",0.175566959275453,0.341779272703075
"121","42000_r_at",0.012854292062638,0.0534853827334294
"122","42001_at",0.419678325281417,0.606270328510715
