"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",5.51235314158376e-08,0.000683311295430723
"2","42281_at",7.72389730578483e-08,0.000956527442348394
"3","42350_r_at",3.67952842057565e-08,0.000456887043982879
"4","42568_at",1.21849747732889e-07,0.00150569733273531
"5","42571_at",5.22548639098093e-09,6.51879427274871e-05
"6","42639_at",2.42535903075991e-07,0.00298804232589621
"7","42646_at",3.71240775333909e-08,0.000460932546654582
"8","42670_at",2.92309240034663e-07,0.00359803443558666
"9","42688_at",1.66414967810957e-07,0.00205306145788377
"10","42695_at",4.40633803410727e-08,0.000546606233131006
"11","42734_r_at",1.22905743898185e-07,0.00151850046586207
"12","42740_at",2.67761790866216e-08,0.000332801129867619
"13","42745_at",1.21851978174439e-07,0.00150569733273531
"14","42804_at",1.62167281770158e-07,0.00200081992248021
"15","42809_at",8.87470305427634e-07,0.010847549543242
"16","42825_at",2.99802984965673e-07,0.00368937553298757
"17","42838_f_at",2.13436551638249e-07,0.0026310323720447
"18","42912_at",1.85411284237443e-06,0.0225423039375883
"19","42913_f_at",2.94780058465567e-07,0.00362796551253365
"20","42925_at",1.86094419923281e-07,0.00229528857533375
"21","43014_at",2.22745006874751e-07,0.0027453322097313
"22","43066_g_at",3.25491556463048e-06,0.039389299581579
"23","43076_at",6.8050093663178e-12,8.57295079968716e-08
"24","43090_at",2.49987157001187e-06,0.030325942015814
"25","43102_g_at",8.53799824857637e-11,1.07305561988108e-06
"26","43112_at",2.86009771715244e-10,3.58770657639602e-06
"27","43120_at",2.77307795918243e-10,3.47910360759028e-06
"28","43125_at",2.31144979175097e-06,0.0280610004718568
"29","43230_at",1.70680228690515e-08,0.000212411544605346
"30","43301_at",1.06881935723286e-06,0.0130460090743843
"31","43313_at",3.01265658289719e-06,0.0364862838754679
"32","43349_r_at",2.78758718863561e-06,0.0337716187903204
"33","43355_s_at",2.22685702199627e-14,2.81007087605709e-10
"34","43370_at",2.8307746131829e-10,3.55120675223794e-06
"35","43377_s_at",3.25477603549653e-06,0.039389299581579
"36","43395_s_at",2.10573885641907e-09,2.63091012720999e-05
"37","43427_at",5.47173401234202e-07,0.00670944024593378
"38","43440_at",4.63571840610246e-07,0.0056917350590126
"39","43456_at",1.5529314059905e-10,1.95032655278347e-06
"40","43457_at",4.06789651301066e-06,0.0491117146015777
"41","43459_at",3.01265658289719e-06,0.0364862838754679
"42","43465_s_at",4.2297570563179e-07,0.00519414166515838
"43","43470_at",2.59623149744646e-07,0.00319688835651413
"44","43484_at",4.10043835713304e-08,0.000508844410232565
"45","43485_s_at",1.18872482965593e-09,1.48745137934847e-05
"46","43493_at",7.86149474334926e-08,0.000973410279121506
"47","43506_at",1.18315694152585e-10,1.48651838133307e-06
"48","43507_g_at",1.17676214423024e-07,0.00145433365041287
"49","43554_at",1.28690016401408e-09,1.60978341516522e-05
"50","43580_at",2.61929165981739e-06,0.0317562920836261
"51","43585_at",4.02516364239214e-08,0.000499563059657289
"52","43589_at",1.37981432832946e-08,0.000171800682020301
"53","43642_at",3.25486905437002e-06,0.039389299581579
"54","43669_at",1.08793829411304e-07,0.00134529486896587
"55","43744_at",1.76870891807181e-06,0.0215198814061797
"56","43750_at",2.10391465174584e-06,0.0255583551894084
"57","43751_at",8.04927749173772e-07,0.00984346144464606
"58","43754_at",1.09526758562945e-06,0.0133655503474362
"59","43758_at",3.57038829931199e-06,0.0431731353152806
"60","43792_at",1.36050877554236e-06,0.0165805204475347
"61","43801_f_at",5.33795914584942e-07,0.00654593930055514
"62","43817_f_at",2.52789923694461e-10,3.17226075244179e-06
"63","43827_s_at",2.33463362561779e-11,2.93813641783998e-07
"64","43850_s_at",1.50054674891774e-07,0.00185227490686406
"65","43922_at",7.54062556263297e-07,0.00922369318821265
"66","43925_at",5.72079977071309e-10,7.16930627265765e-06
"67","43931_at",3.43538628834279e-06,0.0415544325437944
"68","43964_at",4.52651779134524e-08,0.00056142400166055
"69","43966_at",4.48508326970593e-10,5.62205187857638e-06
"70","43984_at",2.59614126726826e-07,0.00319688835651413
"71","44004_at",5.01834882992099e-11,6.31140110183625e-07
"72","44010_at",4.91319336296121e-07,0.006029470895026
"73","44045_at",1.86954275832209e-06,0.0227273510846216
"74","44057_at",1.89023375790992e-08,0.000235163981821574
"75","44075_at",4.95430523566444e-07,0.00607942795468384
"76","44077_at",1.30719687546668e-06,0.0159347299119388
"77","44080_at",3.4854800736078e-08,0.000432861770341353
"78","44088_at",2.68906236868291e-10,3.37396655398644e-06
"79","44102_at",9.6257143454792e-07,0.0117587726444374
"80","44106_at",4.44085683948327e-09,5.54130116430723e-05
"81","44119_at",3.19619329985949e-11,4.02113079055322e-07
"82","44128_at",2.7662017080207e-06,0.0335152998943788
"83","44140_at",1.16659461328121e-07,0.00144191094201558
"84","44148_at",1.38806664470583e-07,0.00171412349954723
"85","44339_at",6.45230549605503e-07,0.00790213854101859
"86","44422_r_at",1.1767405537769e-07,0.00145433365041287
"87","44436_at",3.0142298471962e-08,0.000374578343111071
"88","44568_at",1.75489614455977e-06,0.021358840975437
"89","44575_at",6.34716821884298e-07,0.00777528106808265
"90","44576_at",2.1527522804233e-07,0.00265348246084976
"91","44591_at",1.14965292325769e-06,0.0140246160108206
"92","44596_at",1.74126560737514e-10,2.18598484349875e-06
"93","44598_at",2.99024129404685e-09,3.7336152797469e-05
"94","44605_at",1.27603867361462e-06,0.0155600155860567
"95","44606_at",6.09184730574084e-07,0.0074655588731854
"96","44631_at",3.97557909067632e-06,0.0480090930990072
"97","44649_at",7.41569949128304e-07,0.00907162518768655
"98","44662_at",2.51934996463528e-06,0.0305571957210613
"99","44676_at",3.68180828372516e-06,0.0444909713005348
"100","44691_at",1.60830305537592e-06,0.0195831196608576
"101","44699_at",7.20773056002881e-11,9.05939654090022e-07
"102","44710_at",8.05559159769048e-10,1.00888229169476e-05
"103","44720_at",3.3314164899383e-06,0.0403001452787836
"104","44733_at",1.42081618548236e-09,1.77687272156423e-05
"105","44745_at",1.32827188467185e-06,0.0161903060022652
"106","44746_at",1.08789816348526e-07,0.00134529486896587
"107","44748_at",8.81559853116986e-10,1.10371293610247e-05
"108","44761_at",3.35857044716305e-09,4.19283934623835e-05
"109","44793_s_at",4.09102444114078e-07,0.00502500532105322
"110","44806_at",1.63129739970004e-09,2.03961113884496e-05
"111","44816_s_at",6.62088974726063e-11,8.32289097449966e-07
"112","44826_at",1.24695917606021e-10,1.56655481288445e-06
"113","44841_at",4.05035552941664e-11,5.09453718490025e-07
"114","44847_at",2.48806881674723e-07,0.00306480316846924
"115","44851_s_at",3.71052062161595e-06,0.0448342206709855
"116","44863_at",4.09102444114078e-07,0.00502500532105322
"117","44864_g_at",5.25056313169697e-07,0.00643981568102634
"118","44887_at",2.74477488755521e-06,0.0332666716371691
"119","44892_at",4.05069677795226e-10,5.07835855051875e-06
"120","44932_at",3.03621664192639e-06,0.0367644903994437
"121","44936_at",2.44187137228632e-06,0.0296296672313222
"122","44972_at",3.3733915322816e-07,0.00414758488894023
"123","44986_s_at",1.10892131434069e-09,1.38770413276594e-05
"124","44988_at",1.05976661482762e-07,0.00131075267143824
"125","45055_at",2.06236043813364e-07,0.00254268418417496
"126","45091_at",1.23215461119803e-08,0.000153464856824715
"127","45156_at",6.61439946023728e-07,0.00809933213906055
"128","45171_at",1.60771939834141e-07,0.00198376496561346
"129","45178_at",2.55851934212278e-08,0.000318030245181567
"130","45179_at",7.50880353117309e-10,9.40552730314741e-06
"131","45199_at",1.61902308488804e-10,2.03284585118686e-06
"132","45217_at",1.00382841511352e-11,1.26432188883548e-07
"133","45222_at",5.60910778697166e-07,0.00687620523604856
"134","45229_at",2.87622375775523e-09,3.59154060630896e-05
"135","45233_at",1.2006429495191e-09,1.5022444584383e-05
"136","45238_at",1.29498701407987e-07,0.00159969745849286
"137","45249_at",6.40030987511736e-07,0.00783948441186394
"138","45255_at",4.06812461359866e-06,0.0491117146015777
"139","45260_at",1.97225146989105e-10,2.47557004500725e-06
"140","45269_at",1.08307759407042e-12,1.36586915388221e-08
"141","45270_at",6.62070716291437e-11,8.32289097449966e-07
"142","45272_at",1.14038512294053e-06,0.0139126984998745
"143","45293_at",2.9476482877264e-07,0.00362796551253365
"144","45297_at",9.881358471157e-08,0.00122262048363626
"145","45298_at",1.14642974818312e-07,0.00141710181172916
"146","45300_at",1.34971498763609e-06,0.0164503262693087
"147","45316_at",1.06909096924253e-07,0.00132214480166224
"148","45318_at",1.9761658561115e-07,0.00243661250058548
"149","45320_at",3.9281494022645e-10,4.92511372055923e-06
"150","45327_at",2.47630486422071e-10,3.10801023508342e-06
"151","45340_at",2.65916915673458e-11,3.34576663300345e-07
"152","45353_s_at",5.56304264637653e-07,0.00682073442171252
"153","45356_g_at",3.79752845404634e-11,4.77691104234489e-07
"154","45357_s_at",1.44921177757489e-09,1.81209440667964e-05
"155","45393_g_at",4.635872942932e-07,0.0056917350590126
"156","45433_at",4.48326764791605e-09,5.59377304430486e-05
"157","45478_at",6.50593325114269e-09,8.11419995082516e-05
"158","45509_g_at",4.77722796591762e-08,0.000592280723214466
"159","45513_at",3.74675622096264e-08,0.000465159784832511
"160","45515_s_at",1.17157948647564e-11,1.47548720526742e-07
"161","45532_s_at",3.93066420125508e-12,4.95342302642165e-08
"162","45555_at",5.5629511636184e-07,0.00682073442171252
"163","45566_at",5.70340550360207e-11,7.17146208022925e-07
"164","45574_g_at",7.51916457551514e-08,0.000931398915969061
"165","45595_at",3.82616053367915e-07,0.00470158606378493
"166","45606_at",5.60938434621384e-07,0.00687620523604856
"167","45617_at",3.62548260906793e-06,0.0438357102262403
"168","45628_at",2.12070326139254e-06,0.0257580618128738
"169","45644_at",1.7823584383201e-06,0.0216823904021641
