"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",5.51235314158376e-08,0.000668483065479863
"2","42281_at",7.72389730578483e-08,0.000933046794538808
"3","42350_r_at",3.67952842057565e-08,0.000448092971057703
"4","42568_at",1.21849747732889e-07,0.00146402471901066
"5","42571_at",5.22548639098093e-09,6.45765608197423e-05
"6","42639_at",2.42535903075991e-07,0.00288811753382891
"7","42646_at",3.71240775333909e-08,0.000452059892124101
"8","42670_at",2.92309240034663e-07,0.00347087991617158
"9","42688_at",1.66414967810957e-07,0.00199165433476153
"10","42695_at",4.40633803410727e-08,0.000535590388045738
"11","42734_r_at",1.22905743898185e-07,0.00147658960719279
"12","42740_at",2.67761790866216e-08,0.000327124579901256
"13","42745_at",1.21851978174439e-07,0.00146405151776589
"14","42804_at",1.62167281770158e-07,0.00194130453007056
"15","42809_at",8.87470305427634e-07,0.0103479037612862
"16","42825_at",2.99802984965673e-07,0.00355836162855757
"17","42838_f_at",2.13436551638249e-07,0.00254651149759595
"18","42912_at",1.85411284237443e-06,0.021218467368133
"19","42913_f_at",2.94780058465567e-07,0.00349962885410321
"20","42925_at",1.86094419923281e-07,0.0022245726957629
"21","43014_at",2.22745006874751e-07,0.00265578871696765
"22","43046_at",4.19455819930146e-06,0.0466770436418267
"23","43066_g_at",3.25491556463048e-06,0.0365885058620112
"24","43076_at",6.8050093663178e-12,8.55866028001789e-08
"25","43090_at",2.49987157001187e-06,0.0283710424480647
"26","43102_g_at",8.53799824857637e-11,1.0687012407743e-06
"27","43112_at",2.86009771715244e-10,3.57254805849511e-06
"28","43120_at",2.77307795918243e-10,3.46385167881477e-06
"29","43125_at",2.31144979175097e-06,0.026285807031792
"30","43230_at",1.70680228690515e-08,0.000209322232466047
"31","43301_at",1.06881935723286e-06,0.0124015110019729
"32","43313_at",3.01265658289719e-06,0.0339586650024171
"33","43349_r_at",2.78758718863561e-06,0.0315108855803369
"34","43355_s_at",2.22685702199627e-14,2.81007087605709e-10
"35","43370_at",2.8307746131829e-10,3.53592056932676e-06
"36","43377_s_at",3.25477603549653e-06,0.0365869374150165
"37","43395_s_at",2.10573885641907e-09,2.61364306858736e-05
"38","43427_at",5.47173401234202e-07,0.00643311767831051
"39","43440_at",4.63571840610246e-07,0.00546273056975114
"40","43456_at",1.5529314059905e-10,1.94163013690992e-06
"41","43457_at",4.06789651301066e-06,0.0453245029479648
"42","43459_at",3.01265658289719e-06,0.0339586650024171
"43","43465_s_at",4.2297570563179e-07,0.00499069035074949
"44","43470_at",2.59623149744646e-07,0.00308847698936231
"45","43484_at",4.10043835713304e-08,0.000498777321761663
"46","43485_s_at",1.18872482965593e-09,1.47829819816012e-05
"47","43493_at",7.86149474334926e-08,0.000949511335101724
"48","43506_at",1.18315694152585e-10,1.48001101815468e-06
"49","43507_g_at",1.17676214423024e-07,0.0014147034497936
"50","43554_at",1.28690016401408e-09,1.60000297391871e-05
"51","43580_at",2.61929165981739e-06,0.0296791937973909
"52","43585_at",4.02516364239214e-08,0.000489701408733428
"53","43589_at",1.37981432832946e-08,0.000169454997662141
"54","43642_at",3.25486905437002e-06,0.0365879830401734
"55","43669_at",1.08793829411304e-07,0.00130922494313563
"56","43744_at",1.76870891807181e-06,0.0202729416189391
"57","43750_at",2.10391465174584e-06,0.0239867309445543
"58","43751_at",8.04927749173772e-07,0.00940477582134636
"59","43754_at",1.09526758562945e-06,0.0127007229229591
"60","43758_at",3.57038829931199e-06,0.0399812081756956
"61","43792_at",1.36050877554236e-06,0.0156989107609833
"62","43801_f_at",5.33795914584942e-07,0.0062779737514335
"63","43817_f_at",2.52789923694461e-10,3.1581045167149e-06
"64","43827_s_at",2.33463362561779e-11,2.93043212687545e-07
"65","43850_s_at",1.50054674891774e-07,0.00179795511455324
"66","43922_at",7.54062556263297e-07,0.00882102378316805
"67","43925_at",5.72079977071309e-10,7.1344093940563e-06
"68","43931_at",3.43538628834279e-06,0.0385312926100528
"69","43964_at",4.52651779134524e-08,0.000550062442004273
"70","43966_at",4.48508326970593e-10,5.597383920593e-06
"71","43984_at",2.59614126726826e-07,0.00308836965154232
"72","44004_at",5.01834882992099e-11,6.28849291877399e-07
"73","44010_at",4.91319336296121e-07,0.00578528518488682
"74","44045_at",1.86954275832209e-06,0.0213894386979631
"75","44057_at",1.89023375790992e-08,0.000231610342356703
"76","44075_at",4.95430523566444e-07,0.00583319898447132
"77","44077_at",1.30719687546668e-06,0.0150981239116402
"78","44080_at",3.4854800736078e-08,0.000424705746969111
"79","44088_at",2.68906236868291e-10,3.35917671095869e-06
"80","44102_at",9.6257143454792e-07,0.0111985560695305
"81","44106_at",4.44085683948327e-09,5.49289582475686e-05
"82","44119_at",3.19619329985949e-11,4.00962449467373e-07
"83","44128_at",2.7662017080207e-06,0.0312774427125901
"84","44140_at",1.16659461328121e-07,0.001402596703548
"85","44148_at",1.38806664470583e-07,0.00166484713366017
"86","44339_at",6.45230549605503e-07,0.00756790911632294
"87","44422_r_at",1.1767405537769e-07,0.00141467749375059
"88","44436_at",3.0142298471962e-08,0.000367826468253352
"89","44568_at",1.75489614455977e-06,0.0201198842973778
"90","44575_at",6.34716821884298e-07,0.00744649775434658
"91","44576_at",2.1527522804233e-07,0.00256801819531696
"92","44591_at",1.14965292325769e-06,0.0133164298100939
"93","44596_at",1.74126560737514e-10,2.17675613577966e-06
"94","44598_at",2.99024129404685e-09,3.70520798745346e-05
"95","44605_at",1.27603867361462e-06,0.0147459029122906
"96","44606_at",6.09184730574084e-07,0.00715182873693975
"97","44631_at",3.97557909067632e-06,0.044339633598313
"98","44649_at",7.41569949128304e-07,0.00867785154469942
"99","44662_at",2.51934996463528e-06,0.0285870640487165
"100","44676_at",3.68180828372516e-06,0.0411810256534659
"101","44691_at",1.60830305537592e-06,0.0184810104093247
"102","44699_at",7.20773056002881e-11,9.02552020726808e-07
"103","44710_at",8.05559159769048e-10,1.00332393349235e-05
"104","44720_at",3.3314164899383e-06,0.0374118071820071
"105","44733_at",1.42081618548236e-09,1.76593243693602e-05
"106","44745_at",1.32827188467185e-06,0.0153362271804212
"107","44746_at",1.08789816348526e-07,0.00130917664993816
"108","44748_at",8.81559853116986e-10,1.09754201713065e-05
