"","Gene","p.value","Adjusted.p.value"
"1","48610_at",0.0034737146703643,0.0307623219337724
"2","48619_at",0.00441173347596845,0.036728625106713
"3","48620_at",0.000291544425009883,0.00473890848158738
"4","48647_at",5.65172916122783e-06,0.000200763390373279
"5","48651_at",0.000210430221291727,0.00357674808932148
"6","48676_at",4.76187742359107e-06,0.0001740424910368
"7","48678_at",2.32244101646027e-05,0.000627555322524712
"8","48684_at",2.87666493547655e-07,1.91471735270868e-05
"9","48692_at",0.00522025471087699,0.0413370952246402
"10","48710_at",0.00164284914434867,0.017576792864336
"11","48722_at",0.00249589051675224,0.0242800653148901
"12","48729_at",3.68044550036814e-05,0.000927149677244133
"13","48734_at",0.00310906162258142,0.0285735416272999
"14","48736_f_at",0.00551817251011247,0.0429432674233121
"15","48741_at",0.000661440516109765,0.00875871912745978
"16","48746_at",1.58534646163225e-05,0.000459829198686725
"17","48749_at",4.04622847593601e-10,1.02337210613373e-07
"18","48751_at",0.000202422161273329,0.00346391157166781
"19","48762_r_at",0.00249595715805207,0.0242800653148901
"20","48763_at",0.00519393795160946,0.0411802754458014
"21","48767_at",8.86186191811705e-07,4.7486061786656e-05
"22","48774_at",8.42488602297582e-05,0.00177864956004261
"23","48776_at",0.000159041940880232,0.00286910753833297
"24","48777_at",1.28706284255008e-05,0.000387528493021173
"25","48779_at",0.00087916206093778,0.0109752057478965
"26","48793_at",0.00164287277919067,0.017576792864336
"27","48814_at",0.000233242136858306,0.00392231391317838
"28","48821_at",0.000316459403776131,0.00504658968493436
"29","48832_at",0.000260051509785825,0.00429322636129444
"30","48840_s_at",0.00663603737381904,0.0492781601139358
"31","48867_at",0.00462021263421402,0.0378659811874728
"32","48869_g_at",0.00450339842416168,0.0372465509953882
"33","48881_at",0.00113575695731807,0.0132620336862829
"34","48883_at",4.98860692629341e-10,1.21319083057512e-07
"35","48898_at",7.81638533393822e-05,0.0016867919613137
"36","48901_at",8.25509364422336e-05,0.00175157574202766
"37","48902_at",0.000101849098807364,0.00204117861096343
"38","48904_at",3.12276376614137e-05,0.00080923095464393
"39","48906_at",0.00176647711484074,0.0186468026663406
"40","48913_at",1.18520198583978e-06,6.06804223195542e-05
"41","48917_at",0.000506918073110496,0.00722715439972417
"42","48926_at",0.000137560234634381,0.00257335314672542
"43","48928_at",6.71967519553568e-05,0.0015313920731456
"44","48956_at",0.000884478910256861,0.0110089766723507
"45","48959_at",0.00352879706380155,0.0310331886560976
"46","48963_at",0.00367975126946903,0.0320483020342323
"47","48965_at",0.00373793437488278,0.0324433205935261
"48","48967_at",8.20334909906908e-10,1.67343463699961e-07
"49","48971_at",3.26010328824387e-05,0.000837952564697806
"50","48980_at",9.76906907908356e-08,8.12760839303228e-06
"51","48988_at",0.000118042454184331,0.00231078154119977
"52","48990_at",0.00441173347596845,0.036728625106713
"53","48993_at",3.84869704031405e-09,5.86393045443511e-07
"54","49000_at",2.56875021538437e-07,1.75591433641896e-05
"55","49006_s_at",0.00336574291234982,0.0302082705992693
"56","49009_at",0.000491672057015921,0.0070735891160675
"57","49011_at",0.000282442282476376,0.00460872916670484
"58","49017_at",3.2367365948504e-05,0.000833640956791817
"59","49038_at",1.77618449987601e-07,1.28352166773897e-05
"60","49054_at",0.000456795129965715,0.00671701303900748
"61","49063_at",6.14341370273572e-05,0.00141769360738679
"62","49068_at",0.000440233682568681,0.00652660627170403
"63","49073_at",1.28704569853325e-05,0.000387528493021173
"64","49080_at",2.41437848826581e-10,7.31530253890504e-08
"65","49087_at",0.000170918027879983,0.00303145775676054
"66","49091_at",9.88982093778133e-06,0.000313450314734794
"67","49100_at",0.00158856032390609,0.0171553662306716
"68","49112_at",1.14149092001908e-05,0.000351223702544071
"69","49140_at",5.61352391944662e-05,0.00131949114284985
"70","49173_at",1.34127281791543e-06,6.59989729780485e-05
"71","49175_at",3.64535071893827e-06,0.000140975856855331
"72","49177_at",0.00571560659041301,0.0441267160820287
"73","49188_at",0.00246914211577551,0.0240931876513095
"74","49189_g_at",7.1014469344138e-05,0.00158107214670065
"75","49208_at",0.00354711236865059,0.0311096690510306
"76","49216_at",0.000198517548191203,0.00342050486802111
"77","49217_g_at",5.81189109227182e-05,0.0013535391298871
"78","49231_r_at",0.000884471865900308,0.0110089766723507
"79","49250_at",0.00220254947082861,0.021983923314102
"80","49255_at",1.38574739260672e-10,5.00704420824403e-08
"81","49265_g_at",0.00414709276959873,0.0349394638003635
"82","49268_at",1.74522234461914e-07,1.2757272699453e-05
"83","49272_at",0.00122341280925117,0.0140904174733974
"84","49278_g_at",0.000529010368770325,0.00745804361590805
"85","49279_s_at",0.000132188699509919,0.00251398012996179
"86","49280_s_at",1.04240793265272e-08,1.30517729864617e-06
"87","49295_f_at",7.79670400852583e-09,1.00609304991651e-06
"88","49310_s_at",6.49286020940917e-05,0.00149017622882374
"89","49326_at",0.000575916675796473,0.00791635030665457
"90","49334_at",0.000719126059283117,0.00939469849761808
"91","49354_at",2.02162244747858e-05,0.000560645558570485
"92","49369_at",0.000145031187959889,0.00268924399258176
"93","49386_at",0.00381648355111883,0.0330117995810182
"94","49394_at",0.0015884453956262,0.0171553662306716
"95","49422_at",7.51795155693584e-06,0.000254884759756061
"96","49437_at",0.000641881332434744,0.00855381544367172
"97","49481_at",0.000236269417566158,0.00396794562356126
"98","49493_at",2.82705984305627e-07,1.90178756342272e-05
"99","49497_f_at",0.00185691966464102,0.0193920425531312
"100","49508_at",0.00112919696025066,0.0132101321908235
"101","49551_at",7.92290167974655e-05,0.00169559313522006
"102","49558_at",2.21377855133668e-07,1.54670958896153e-05
"103","49569_at",2.60818945237488e-05,0.00069292360955321
"104","49599_at",0.000597133777843001,0.00815536133995807
"105","49605_g_at",0.0020850507933008,0.0210616527380977
"106","49624_at",0.00279460598920625,0.0264330959376382
"107","49633_at",6.81398018291345e-05,0.00154703040203094
"108","49664_s_at",0.000393868223530725,0.00602280236368749
"109","49666_s_at",8.30384033927912e-06,0.000273464492006572
"110","49669_r_at",2.03324107517433e-06,9.08564192107934e-05
"111","49684_g_at",0.00200635305127435,0.0205111889138363
"112","49690_at",1.050634278752e-05,0.000329685386826247
"113","49695_i_at",0.000118836060664415,0.00231913707278116
"114","49699_at",0.00362227996358055,0.0316130796545477
"115","49700_at",0.00249589051675224,0.0242800653148901
"116","49702_g_at",0.00546273970815177,0.042592212252458
"117","49714_at",0.00146814805098111,0.0161445219588758
"118","49728_s_at",8.11537312988163e-06,0.000268657090577181
"119","49746_at",0.00331287958255207,0.029924768000681
"120","49749_at",2.11229879838849e-05,0.000580698491400452
"121","49764_g_at",0.00270606884040679,0.0258466363714382
"122","49769_at",8.05372587135456e-06,0.00026732349854063
"123","49787_s_at",0.000129587723042238,0.00247547786343224
"124","49791_s_at",0.000456771033627756,0.00671701303900748
"125","49800_at",0.00506279219927375,0.0403267865299534
"126","49809_s_at",0.00105357598036937,0.0125694575970433
"127","49825_at",1.33696401551422e-07,1.02468163273896e-05
"128","49838_at",0.00172700994098947,0.018321952779994
"129","49864_at",2.29435061094654e-06,9.90251120342319e-05
"130","49879_at",8.49460284301e-06,0.000279020123513518
"131","49887_at",0.00188812839995593,0.0196520755109816
"132","49926_at",0.000345507180822881,0.00540807334135399
"133","50058_at",6.86121650380358e-05,0.0015545770963319
"134","50084_at",0.00216667502679692,0.0216941982493063
"135","50104_at",6.10107565484296e-05,0.00141049730769916
"136","50107_s_at",1.95259024221359e-06,8.85034272510144e-05
"137","50123_at",0.00102938103136004,0.0123278986971262
"138","50127_g_at",0.000381804001085167,0.00588109680273449
"139","50175_s_at",0.000287873786815906,0.00468526629095745
"140","50183_at",4.49887931420963e-08,4.51530379424564e-06
"141","50186_s_at",3.42157000969455e-06,0.000133552851646067
"142","50199_s_at",5.12677480338913e-05,0.00122790140461475
