"","Gene","p.value","Adjusted.p.value"
"1","48609_r_at",0.109875188360661,0.335299115902822
"2","48610_at",0.0034737146703643,0.0307623219337724
"3","48612_at",0.0951184978600419,0.308032912660202
"4","48613_at",0.0302784344612354,0.143572578442442
"5","48615_at",0.503345642734051,0.751601015233772
"6","48617_at",0.211857500441137,0.488094361555587
"7","48619_at",0.00441173347596845,0.036728625106713
"8","48620_at",0.000291544425009883,0.00473890848158738
"9","48622_at",0.00842847938589031,0.0587589635468361
"10","48624_at",0.242679502058557,0.524888057768513
"11","48626_at",0.0521062172707839,0.209985730913427
"12","48628_at",0.0780239008055629,0.27354872458751
"13","48629_s_at",0.468532639709906,0.728252674750673
"14","48630_r_at",0.028691966046757,0.138382380864717
"15","48631_at",0.503344787524294,0.751601015233772
"16","48633_at",0.0331350113241714,0.152436382434877
"17","48634_at",0.553628198195579,0.786209499351552
"18","48640_g_at",0.0656486892343654,0.245915070496831
"19","48643_r_at",0.380459728087131,0.660446680813771
"20","48645_at",0.00963698647396128,0.0643802313957482
"21","48647_at",5.65172916122783e-06,0.000200763390373279
"22","48649_at",0.152686663453063,0.405989475254283
"23","48651_at",0.000210430221291727,0.00357674808932148
"24","48654_r_at",0.431252840727588,0.70053316139994
"25","48656_at",0.225329557472483,0.505592885280978
"26","48657_at",0.695746375726488,0.86752205358284
"27","48659_at",0.0143056180615932,0.0852137757922317
"28","48662_at",0.116983040751,0.347280986811815
"29","48664_at",0.943907099032307,0.977212724606847
"30","48666_at",0.0336794697212802,0.154095360370819
"31","48668_at",0.521250670470902,0.763463402384368
"32","48670_at",0.0497755466450037,0.203248809451959
"33","48672_at",0.267962595316645,0.553802190797662
"34","48673_at",0.652728776908069,0.844613538604261
"35","48674_at",0.642134247450653,0.838036145524743
"36","48675_at",0.151751662759209,0.40494862360265
"37","48676_at",4.76187742359107e-06,0.0001740424910368
"38","48677_at",0.344268274889336,0.629318409123157
"39","48678_at",2.32244101646027e-05,0.000627555322524712
"40","48679_at",0.89844144885798,0.958308456890797
"41","48680_at",0.699377988682635,0.869992257593108
"42","48682_at",0.0342314360522776,0.155996663177334
"43","48684_at",2.87666493547655e-07,1.91471735270868e-05
"44","48685_at",0.0825492400480252,0.282827875818837
"45","48690_r_at",0.571290908448281,0.797941719622629
"46","48691_at",0.0912897884057883,0.301031586378956
"47","48692_at",0.00522025471087699,0.0413370952246402
"48","48694_at",0.0753011694348045,0.268090818883034
"49","48695_at",0.0723950554450641,0.260977845412074
"50","48698_at",0.139966285171086,0.38621288288753
"51","48699_at",0.443810552906424,0.710434443165155
"52","48700_at",0.072109816131103,0.260485632130533
"53","48702_r_at",0.478627926196293,0.735452409608462
"54","48705_at",0.211857500441137,0.488094361555587
"55","48707_at",0.770852802888827,0.902782023393927
"56","48708_at",0.535159253203444,0.773092472002088
"57","48709_at",0.218499871431802,0.497013383152401
"58","48710_at",0.00164284914434867,0.017576792864336
"59","48711_at",0.0150364918849169,0.0884014302076521
"60","48712_s_at",0.582465903632344,0.805188436525429
"61","48714_r_at",0.97258808830566,0.988853240215849
"62","48718_at",0.572401601873283,0.798786182838785
"63","48720_at",0.115465982942981,0.344872216909286
"64","48722_at",0.00249589051675224,0.0242800653148901
"65","48723_at",0.35606634481507,0.638725974580735
"66","48726_at",0.177038141416171,0.441848486552529
"67","48728_r_at",0.795997380971645,0.914525716787415
"68","48729_at",3.68044550036814e-05,0.000927149677244133
"69","48731_at",0.427432965153404,0.697281357548837
"70","48732_at",0.0339548524172097,0.154960693104832
"71","48733_at",0.75712454092219,0.896920724317445
"72","48734_at",0.00310906162258142,0.0285735416272999
"73","48735_i_at",0.135192992865891,0.377336847122315
"74","48736_f_at",0.00551817251011247,0.0429432674233121
"75","48737_at",0.345939418945862,0.630733302483603
"76","48738_at",0.331892914822375,0.618132223982881
"77","48739_at",0.0146338201019293,0.0865984839590061
"78","48741_at",0.000661440516109765,0.00875871912745978
"79","48743_at",0.478630569908388,0.735452409608462
"80","48744_g_at",0.033543560209407,0.153748409716622
"81","48746_at",1.58534646163225e-05,0.000459829198686725
"82","48749_at",4.04622847593601e-10,1.02337210613373e-07
"83","48751_at",0.000202422161273329,0.00346391157166781
"84","48753_at",0.341770120895757,0.627107508538559
"85","48754_at",0.029050840944906,0.139740180520837
"86","48756_at",0.444779157786077,0.711003703163899
"87","48759_r_at",0.510678295106585,0.756831695835395
"88","48762_r_at",0.00249595715805207,0.0242800653148901
"89","48763_at",0.00519393795160946,0.0411802754458014
"90","48764_at",0.060989298551837,0.233883283688635
"91","48765_s_at",0.457561840424221,0.721488582380978
"92","48766_at",0.443810248544865,0.710434443165155
"93","48767_at",8.86186191811705e-07,4.7486061786656e-05
"94","48769_at",0.707879243730174,0.874288594219336
"95","48770_at",0.0616758162301042,0.235635157717794
"96","48771_at",0.535159798515007,0.773092472002088
"97","48772_at",0.390301635329408,0.669281439788291
"98","48773_at",0.681289547847732,0.861386739238915
"99","48774_at",8.42488602297582e-05,0.00177864956004261
"100","48775_at",0.731133862108103,0.884608453067471
"101","48776_at",0.000159041940880232,0.00286910753833297
"102","48777_at",1.28706284255008e-05,0.000387528493021173
"103","48778_at",0.0632865829765747,0.239764314760526
"104","48779_at",0.00087916206093778,0.0109752057478965
"105","48780_at",0.0276356885319435,0.134831107214622
"106","48782_at",0.607398937692917,0.820199679686045
"107","48784_at",0.16727415497686,0.427001795491659
"108","48785_at",0.0186248983287241,0.102672390699671
"109","48787_g_at",0.726217452300222,0.881526771144999
"110","48788_at",0.266556245271267,0.552330708927822
"111","48789_at",0.0245611082901119,0.123844093133822
"112","48791_at",0.00945562297217924,0.0637737643232953
"113","48792_at",0.823899312961508,0.927372560009901
"114","48793_at",0.00164287277919067,0.017576792864336
"115","48795_at",0.0155885534987253,0.0904694114478566
"116","48797_at",0.822625338252137,0.926846571641312
"117","48798_at",0.00700570237407375,0.0514486592907019
"118","48799_at",0.463528847491343,0.724840584317488
"119","48800_at",0.300314287580569,0.590450012553463
"120","48801_at",0.993472264810175,0.99702012909328
"121","48803_at",0.676496384171799,0.858846830060894
"122","48804_r_at",0.151739631746967,0.40494862360265
"123","48806_at",0.743475439782346,0.890256290350866
"124","48808_at",0.0977394276350581,0.312365377243477
"125","48810_at",0.748431138587612,0.892724031180809
"126","48812_at",0.251367040576667,0.534976040429828
"127","48814_at",0.000233242136858306,0.00392231391317838
"128","48815_at",0.709091098044534,0.874426009113541
"129","48816_g_at",0.142176155915294,0.389000360818869
"130","48817_at",0.0744987758093197,0.266134581447211
"131","48818_s_at",0.496067558719704,0.746553438036006
"132","48819_at",0.533006547569088,0.771478903290471
"133","48820_at",0.741002298186897,0.888977806932122
"134","48821_at",0.000316459403776131,0.00504658968493436
"135","48823_at",0.0555641449578287,0.219105197964014
"136","48825_at",0.119297723976369,0.351172955634349
"137","48827_at",0.15936704238723,0.414860199753356
"138","48828_at",0.0137307603518248,0.0827247238728807
"139","48830_r_at",0.208873878586769,0.484131060961929
"140","48832_at",0.000260051509785825,0.00429322636129444
"141","48833_at",0.00859269063179991,0.0596067831759417
"142","48835_s_at",0.649193356218206,0.842538914484342
"143","48837_at",0.614280208836575,0.824037284976515
"144","48840_s_at",0.00663603737381904,0.0492781601139358
"145","48841_at",0.0881956526074776,0.295214987526247
"146","48846_s_at",0.0970801822708231,0.311909549033747
"147","48849_i_at",0.205343474643386,0.479553321281049
"148","48850_r_at",0.920492886848452,0.966582833407233
"149","48852_at",0.409552910539244,0.684265570970972
"150","48853_at",0.209471810075421,0.485072424503529
"151","48857_at",0.602830641815802,0.817172518094781
"152","48858_at",0.445760841201377,0.711843868901706
"153","48860_at",0.636296430020716,0.835404194631326
"154","48861_at",0.0413075022912658,0.179448531080504
"155","48866_at",0.866160440295964,0.9436960975357
"156","48867_at",0.00462021263421402,0.0378659811874728
"157","48869_g_at",0.00450339842416168,0.0372465509953882
"158","48872_at",0.312695594372463,0.601149399078855
"159","48873_at",0.126444218127186,0.362752627594487
"160","48875_at",0.141732583632326,0.388543302105875
"161","48881_at",0.00113575695731807,0.0132620336862829
"162","48883_at",4.98860692629341e-10,1.21319083057512e-07
"163","48884_at",0.0289299675170261,0.139270887782256
"164","48894_s_at",0.0150363570772156,0.0884014302076521
"165","48895_at",0.0310366484777019,0.146069764290665
"166","48897_at",0.723762317848821,0.880660754500955
"167","48898_at",7.81638533393822e-05,0.0016867919613137
"168","48899_at",0.93219294038254,0.973131341149154
"169","48900_at",0.639801938030383,0.836793954573929
"170","48901_at",8.25509364422336e-05,0.00175157574202766
"171","48902_at",0.000101849098807364,0.00204117861096343
"172","48904_at",3.12276376614137e-05,0.00080923095464393
"173","48906_at",0.00176647711484074,0.0186468026663406
"174","48908_r_at",0.107017589042299,0.330903376419279
"175","48909_at",0.682487907499715,0.86204229245003
"176","48911_at",0.201853093254357,0.47579388952369
"177","48913_at",1.18520198583978e-06,6.06804223195542e-05
"178","48916_at",0.443808422365204,0.710434443165155
"179","48917_at",0.000506918073110496,0.00722715439972417
"180","48920_at",0.393930568855883,0.672118435389916
"181","48923_at",0.934794800511017,0.973837860999147
"182","48924_r_at",0.0698334159574291,0.255456574543723
"183","48926_at",0.000137560234634381,0.00257335314672542
"184","48928_at",6.71967519553568e-05,0.0015313920731456
"185","48929_at",0.0130562976159202,0.0798422537288504
"186","48931_at",0.109901536882587,0.335299115902822
"187","48933_at",0.00923295901020088,0.0628756056235866
"188","48944_r_at",0.345098851561364,0.63002589003501
"189","48946_at",0.920493204390582,0.966582833407233
"190","48948_i_at",0.205929848983355,0.480034814791429
"191","48951_f_at",0.462528806787737,0.724085881364631
"192","48953_at",0.352680137489843,0.635780634580844
"193","48955_at",0.122830126246908,0.357411361371007
"194","48956_at",0.000884478910256861,0.0110089766723507
"195","48959_at",0.00352879706380155,0.0310331886560976
"196","48961_at",0.420792233127809,0.692615140027855
"197","48963_at",0.00367975126946903,0.0320483020342323
"198","48965_at",0.00373793437488278,0.0324433205935261
"199","48967_at",8.20334909906908e-10,1.67343463699961e-07
"200","48971_at",3.26010328824387e-05,0.000837952564697806
