"","Gene","p.value","Adjusted.p.value"
"1","48684_at",2.87666493547655e-07,0.00363783047740364
"2","48749_at",4.04622847593601e-10,5.11686053066867e-06
"3","48767_at",8.86186191811705e-07,0.0112067105816508
"4","48883_at",4.98860692629341e-10,6.30859231899064e-06
"5","48913_at",1.18520198583978e-06,0.0149880643129299
"6","48967_at",8.20334909906908e-10,1.03739552706828e-05
"7","48980_at",9.76906907908356e-08,0.00123539647574091
"8","48993_at",3.84869704031405e-09,4.86706227718114e-05
"9","49000_at",2.56875021538437e-07,0.00324844152237507
"10","49038_at",1.77618449987601e-07,0.0022461629185432
"11","49080_at",2.41437848826581e-10,3.05322303626094e-06
"12","49173_at",1.34127281791543e-06,0.0169617360553585
"13","49175_at",3.64535071893827e-06,0.0460991051916934
"14","49255_at",1.38574739260672e-10,1.75241615269046e-06
"15","49268_at",1.74522234461914e-07,0.00220700817700536
"16","49280_s_at",1.04240793265272e-08,0.000131822907163263
"17","49295_f_at",7.79670400852583e-09,9.85971188918176e-05
"18","49493_at",2.82705984305627e-07,0.00357509987752897
"19","49558_at",2.21377855133668e-07,0.00279954435602036
"20","49669_r_at",2.03324107517433e-06,0.0257123666366545
"21","49825_at",1.33696401551422e-07,0.00169072469401928
"22","49864_at",2.29435061094654e-06,0.02901435782603
"23","50107_s_at",1.95259024221359e-06,0.024692456203033
"24","50183_at",4.49887931420963e-08,0.00056892827807495
"25","50186_s_at",3.42157000969455e-06,0.0432691743425973
"26","50938_at",3.75878085729212e-12,4.75335427213161e-08
"27","50947_s_at",1.46955260056159e-09,1.85839621867019e-05
"28","50959_at",8.64246070520941e-07,0.0109292558078078
"29","50990_at",1.90610960962165e-07,0.00241046621232754
"30","51012_at",2.21290824079719e-08,0.000279844376131212
"31","51029_at",2.5189115163902e-10,3.18541550362704e-06
"32","51056_at",2.18663992049533e-06,0.027652248434584
"33","51680_at",8.20440831045197e-10,1.03752947493976e-05
"34","51682_s_at",2.82726602817865e-07,0.00357536061923472
"35","51719_at",1.58022633072004e-06,0.0199835421782856
"36","51789_s_at",9.28467566585873e-09,0.00011741400847045
"37","51843_f_at",2.35079188729398e-06,0.0297281142067197
"38","51896_at",9.3934421298373e-07,0.0118789469173922
"39","52591_s_at",3.30510158174597e-07,0.00417963146027596
"40","52818_at",1.06047814549979e-09,1.34108066279904e-05
"41","53264_at",1.70061854291347e-06,0.0215060220936838
"42","53587_at",5.8771438702062e-09,7.43223613826276e-05
"43","53610_at",2.69465317535125e-06,0.0340765840554919
"44","53724_at",5.38014226055915e-09,6.8037279027031e-05
"45","53756_f_at",2.73806491043205e-06,0.0346255688573237
"46","53768_at",7.72058286333708e-08,0.000976344908897607
"47","53797_at",1.51494714281159e-09,1.91580215679954e-05
"48","53998_at",7.21428374281361e-09,9.12318322116209e-05
"49","54250_at",7.44463267105731e-08,0.000941448247581908
"50","54290_at",3.05698827511806e-07,0.0038658673727143
"51","54342_at",1.13718267340072e-06,0.0143808120878255
"52","54792_at",1.0210104206254e-06,0.0129116977792288
"53","54988_at",1.27632952925539e-06,0.0161404632269636
"54","54996_at",3.69889171069715e-09,4.67761845734762e-05
"55","55343_at",2.9527055663676e-07,0.00373399145922847
"56","55364_f_at",2.13422307463825e-06,0.0269893850018753
"57","55815_at",7.06598570787219e-07,0.00893564552617517
"58","55903_at",3.79434956448385e-07,0.00479833445924627
"59","55913_at",8.0154646319045e-07,0.0101363565735064
