"","Gene","p.value","Adjusted.p.value"
"1","48609_r_at",0.109875188360661,1
"2","48610_at",0.0034737146703643,1
"3","48612_at",0.0951184978600419,1
"4","48613_at",0.0302784344612354,1
"5","48615_at",0.503345642734051,1
"6","48617_at",0.211857500441137,1
"7","48619_at",0.00441173347596845,1
"8","48620_at",0.000291544425009883,1
"9","48622_at",0.00842847938589031,1
"10","48624_at",0.242679502058557,1
"11","48626_at",0.0521062172707839,1
"12","48628_at",0.0780239008055629,1
"13","48629_s_at",0.468532639709906,1
"14","48630_r_at",0.028691966046757,1
"15","48631_at",0.503344787524294,1
"16","48633_at",0.0331350113241714,1
"17","48634_at",0.553628198195579,1
"18","48640_g_at",0.0656486892343654,1
"19","48643_r_at",0.380459728087131,1
"20","48645_at",0.00963698647396128,1
"21","48647_at",5.65172916122783e-06,0.0714717669728872
"22","48649_at",0.152686663453063,1
"23","48651_at",0.000210430221291727,1
"24","48654_r_at",0.431252840727588,1
"25","48656_at",0.225329557472483,1
"26","48657_at",0.695746375726488,1
"27","48659_at",0.0143056180615932,1
"28","48662_at",0.116983040751,1
"29","48664_at",0.943907099032307,1
"30","48666_at",0.0336794697212802,1
"31","48668_at",0.521250670470902,1
"32","48670_at",0.0497755466450037,1
"33","48672_at",0.267962595316645,1
"34","48673_at",0.652728776908069,1
"35","48674_at",0.642134247450653,1
"36","48675_at",0.151751662759209,1
"37","48676_at",4.76187742359107e-06,0.0602187018987327
"38","48677_at",0.344268274889336,1
"39","48678_at",2.32244101646027e-05,0.293695890941565
"40","48679_at",0.89844144885798,1
"41","48680_at",0.699377988682635,1
"42","48682_at",0.0342314360522776,1
"43","48684_at",2.87666493547655e-07,0.00363783047740364
"44","48685_at",0.0825492400480252,1
"45","48690_r_at",0.571290908448281,1
"46","48691_at",0.0912897884057883,1
"47","48692_at",0.00522025471087699,1
"48","48694_at",0.0753011694348045,1
"49","48695_at",0.0723950554450641,1
"50","48698_at",0.139966285171086,1
"51","48699_at",0.443810552906424,1
"52","48700_at",0.072109816131103,1
"53","48702_r_at",0.478627926196293,1
"54","48705_at",0.211857500441137,1
"55","48707_at",0.770852802888827,1
"56","48708_at",0.535159253203444,1
"57","48709_at",0.218499871431802,1
"58","48710_at",0.00164284914434867,1
"59","48711_at",0.0150364918849169,1
"60","48712_s_at",0.582465903632344,1
"61","48714_r_at",0.97258808830566,1
"62","48718_at",0.572401601873283,1
"63","48720_at",0.115465982942981,1
"64","48722_at",0.00249589051675224,1
"65","48723_at",0.35606634481507,1
"66","48726_at",0.177038141416171,1
"67","48728_r_at",0.795997380971645,1
"68","48729_at",3.68044550036814e-05,0.465429137976555
"69","48731_at",0.427432965153404,1
"70","48732_at",0.0339548524172097,1
"71","48733_at",0.75712454092219,1
"72","48734_at",0.00310906162258142,1
"73","48735_i_at",0.135192992865891,1
"74","48736_f_at",0.00551817251011247,1
"75","48737_at",0.345939418945862,1
"76","48738_at",0.331892914822375,1
"77","48739_at",0.0146338201019293,1
"78","48741_at",0.000661440516109765,1
"79","48743_at",0.478630569908388,1
"80","48744_g_at",0.033543560209407,1
"81","48746_at",1.58534646163225e-05,0.200482913538014
"82","48749_at",4.04622847593601e-10,5.11686053066867e-06
"83","48751_at",0.000202422161273329,1
"84","48753_at",0.341770120895757,1
"85","48754_at",0.029050840944906,1
"86","48756_at",0.444779157786077,1
"87","48759_r_at",0.510678295106585,1
"88","48762_r_at",0.00249595715805207,1
"89","48763_at",0.00519393795160946,1
"90","48764_at",0.060989298551837,1
"91","48765_s_at",0.457561840424221,1
"92","48766_at",0.443810248544865,1
"93","48767_at",8.86186191811705e-07,0.0112067105816508
"94","48769_at",0.707879243730174,1
"95","48770_at",0.0616758162301042,1
"96","48771_at",0.535159798515007,1
"97","48772_at",0.390301635329408,1
"98","48773_at",0.681289547847732,1
"99","48774_at",8.42488602297582e-05,1
"100","48775_at",0.731133862108103,1
"101","48776_at",0.000159041940880232,1
"102","48777_at",1.28706284255008e-05,0.162761967068883
"103","48778_at",0.0632865829765747,1
"104","48779_at",0.00087916206093778,1
"105","48780_at",0.0276356885319435,1
"106","48782_at",0.607398937692917,1
"107","48784_at",0.16727415497686,1
"108","48785_at",0.0186248983287241,1
"109","48787_g_at",0.726217452300222,1
"110","48788_at",0.266556245271267,1
"111","48789_at",0.0245611082901119,1
"112","48791_at",0.00945562297217924,1
"113","48792_at",0.823899312961508,1
"114","48793_at",0.00164287277919067,1
"115","48795_at",0.0155885534987253,1
"116","48797_at",0.822625338252137,1
"117","48798_at",0.00700570237407375,1
"118","48799_at",0.463528847491343,1
"119","48800_at",0.300314287580569,1
"120","48801_at",0.993472264810175,1
"121","48803_at",0.676496384171799,1
"122","48804_r_at",0.151739631746967,1
"123","48806_at",0.743475439782346,1
"124","48808_at",0.0977394276350581,1
"125","48810_at",0.748431138587612,1
"126","48812_at",0.251367040576667,1
"127","48814_at",0.000233242136858306,1
"128","48815_at",0.709091098044534,1
