,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,Class
GSM152839,-4.284957361,4.183910886,-1.21995945,0.336821105,-0.595933135,2.404518683,-0.70235418,3.103714743,-2.100034462,-0.83387392,0.316584496,-1.832363472,2.078991309,-0.43295291,2.112791221,-0.44381873,0.827178844,-0.050305102,0.300003166,-2.870778859,1.47498233,-4.045959678,-0.295470458,-0.79853726,2.414755185,-2.185636244,1.005404573,-1.14135896,0.71811839,-1.162522796,1.775776369,-2.405719531,0.174773442,-0.187565209,0.66107386,-0.66151862,1.759422449,-2.312435234,0.454638164,-1.804024861,0.062528553,1.209830288,-0.312377718,-0.181977787,0.763465727,-2.501596911,0.940448045,-0.651132523,-0.300401618,0.906324748,0.518520773,-0.605902005,-0.797530633,0.145390019,0.321976388,-0.447451931,-0.388535335,1.582100698,0.405862686,-0.137701895,-0.383585493,-0.373836552,0.85138827,0.93877322,-2.106703268,-0.427486403,-1.414664651,1.385883793,0.514140247,0.602486875,-0.174875183,-0.889966457,0.42166201,0.52129792,0.481239202,0.148946396,-0.061721453,-0.580836648,-1.075975068,0.734149473,0.232285231,0.224400965,-0.555740957,-0.348496068,-0.332250801,-0.181600335,-0.336141699,1.919093195,1.280214472,-0.200504237,-0.750181947,-0.0236682,1.037229186,0.395361911,0.146933312,-0.355176412,-0.194619423,-0.633517307,-1.024972825,0.056631614,0.520039151,0.230703802,-0.810707089,-0.81842714,-0.045298998,-0.133685314,-0.211629355,0.351635221,0.238375708,0.636141986,-0.125576924,-0.018312277,-0.119706084,-0.218700882,-0.197160398,-0.295469774,0.384572322,0.210714333,0.363006018,-0.100125435,-0.150471435,-0.109073382,-0.114105173,-0.371115217,0.305916999,0.047724139,0.143760153,0.201287914,0.120662245,-0.047352921,-0.27707552,-0.132491755,-0.003020068,-0.230424999,0.462209388,0.130799239,0.113362571,-0.170614008,-0.304177536,-0.345573442,-0.132096163,0.438310094,0.299529705,0.030195503,-0.334166463,-0.09212383,-0.218203203,-0.017331333,-0.071091211,-0.405124554,0.093093815,0.292008343,-0.12766399,-0.020200465,-0.36689555,0.015174585,0.19471767,0.10330481,-0.222939769,-0.100043218,0.072381898,0.018395107,-0.131174963,0.10044875,3.99E-16,Normal
GSM152840,-26.80918699,-14.29746092,-1.011985484,-6.897933959,-2.966848979,-3.369101514,8.605679251,5.274158209,0.104901025,5.907684575,7.734708137,-0.441964603,5.506175783,-2.707017002,2.168015656,1.056176608,2.662994408,-3.300443857,1.0273057,1.884348928,1.37418152,1.292382257,2.170946543,-2.278130378,0.814848117,0.747645459,-1.953635075,-1.700726295,-0.892971268,1.21490045,-0.967573622,1.017273062,-0.362107498,-0.379225727,-2.910344893,0.108769498,0.396956406,-0.205540411,0.147322564,-1.031390792,-0.711570152,-0.18791093,-0.6530153,1.260705744,-0.70555394,0.670770455,0.051258731,-0.17325571,-1.404293406,-0.435584636,0.1136878,-1.036987823,-1.232037043,-0.240180285,0.214879517,0.425778387,1.003441873,0.047323824,0.023746966,0.681919686,0.790207577,0.051008977,-0.89492308,-0.187623755,-0.573539666,0.107603646,0.293097266,-0.244199926,0.454779982,-0.156677127,0.666016531,0.154656691,0.898911052,0.477854079,0.067551578,0.284598245,-0.224039981,0.405575614,0.348644892,-0.207952452,0.207435995,-0.568153046,0.504725325,0.428534687,-0.77301654,0.265035632,0.098301131,-0.034754758,0.730546807,-0.26187808,-0.058786986,-0.038283826,0.123197117,-0.42490447,-0.411769379,0.282930643,-0.157652892,-0.190076272,-0.045007783,-0.054696605,0.089203552,-0.572820114,0.218932862,-0.058148029,0.102306322,0.357171966,0.21576275,0.245467822,0.223747425,0.029839934,-0.125051279,0.198966991,0.185695675,-0.086521962,-0.253886212,0.272494082,-0.054693566,-0.109517681,-0.013261342,-0.121390894,-0.379354427,-0.140575092,0.283057892,-0.204496302,0.248146065,0.0931668,-0.212430521,0.079520422,0.019567001,-0.31457539,0.077448278,-0.056781347,-0.081389309,0.143182146,0.235144441,0.137175722,0.090952836,-0.012979624,0.027697688,0.018244092,-0.083546129,-0.042615422,0.122073948,0.023845071,0.152097813,0.049207611,-0.04884657,0.021570863,0.080877244,0.106294904,0.174732156,-0.040980802,0.075932219,-0.097618463,-0.040781862,0.139603397,0.184378546,-0.076459624,0.052814183,0.002723968,0.069702477,-0.073157771,-0.000603045,0.020844724,5.74E-15,Normal
GSM152841,-20.87593395,-10.70282956,-4.162812809,-4.411040113,0.803050384,2.748061362,-1.405700599,-1.721445026,0.436852955,2.419178105,-6.032177601,-3.100794178,-1.85802814,1.508161216,-0.725056556,-1.166455591,-5.041343358,-3.553639026,0.162492654,-0.405297062,2.178417811,0.90387675,0.269207664,1.770288773,3.575892578,-2.200835468,1.704509114,0.969939122,-0.675091181,2.559158128,0.40467695,0.377981528,-0.765609989,-1.262398476,-1.230857082,-0.35111552,0.988436733,0.068288871,0.406035036,-1.825783232,-0.509834943,-1.322067184,0.785922158,-0.567956129,1.402774272,2.06737606,-1.53387031,-1.378414003,0.138342586,-0.3938832,-0.100048927,0.549049642,1.266347473,0.323733431,-1.405681914,-0.418038456,0.691013398,0.327584036,-0.412491593,0.29708331,-0.666537725,-1.581992424,-0.009073514,0.086671169,0.971161582,0.660586773,-0.415122751,0.389981049,0.303935494,-1.233874509,-0.615147478,0.312696217,0.911339115,0.003639438,0.673063967,0.112816897,1.293673045,-0.309429091,0.138762283,0.664697858,-0.501101657,-0.304493609,0.598087495,1.092164595,-0.31843364,-0.381073201,-0.112900371,0.031976192,0.069310398,0.981329919,0.296649676,0.303862512,0.175419686,-0.480148991,-0.673743521,0.298860499,-0.15022114,0.265591103,-0.334302432,0.331151599,0.188386753,-0.198692079,-0.718278035,-0.055528658,-0.353248787,0.332822788,-0.376205066,-0.114495693,0.477167573,0.364812442,0.606580346,-0.249509855,0.043168594,0.3527594,-0.097498899,0.258237119,0.33396589,0.210536167,0.029339825,0.471459566,-0.081910585,0.115874459,-0.226051913,-0.642216624,-0.183161423,-0.305142636,-0.182574286,-0.007501015,-0.406400473,-0.021585354,-0.135193134,-0.020176765,0.245282277,-0.075644489,0.051853077,0.352834339,-3.53E-05,-0.061018744,0.334004666,0.068037237,-0.117827236,-0.187074842,0.206747544,0.058949996,0.033391828,-0.028988208,-0.143834791,0.058545985,-0.022878942,-0.016587766,-0.091401742,0.007070704,-0.035783252,0.066966064,0.090893522,-0.389240418,0.098347194,-0.1495415,-0.097388199,-0.040531039,0.157063259,0.051939028,0.02852718,-0.160807531,3.36E-15,Normal
GSM152842,-3.037169101,7.309246604,-2.337841794,-1.676872074,3.948980132,3.676012657,1.993106936,4.965357103,-1.044927584,1.075295158,1.575657483,-2.147621277,-0.00083846,-1.955364934,-2.343899218,-1.488317471,0.549646598,1.271563791,-1.374495768,-3.356116116,1.868009791,-2.40715028,0.192025668,2.855534575,-0.308802285,0.408208549,0.073728169,0.440643362,0.525393313,-2.210015777,-2.847848899,1.660022311,0.151909432,1.140391506,-0.010209945,0.276328636,0.283599337,-0.160171464,-0.897655088,-0.56722941,2.317153354,-0.69443009,0.644383464,-1.024651889,1.006390566,0.429922388,-2.287433157,1.804760335,0.666985453,-2.539971282,0.107725909,0.983171275,-1.729228143,-0.410404506,-0.145411537,0.341599311,0.896492469,-0.065412307,-1.006656833,0.308326297,0.007552291,1.322202957,-0.028085076,-0.019895034,-0.402675941,0.131808111,-0.556885607,-1.174979087,-0.88367983,-0.173081263,1.513161377,0.498507637,-0.140435494,-1.031396481,0.844774365,-0.043599703,0.646476395,-0.374318737,-0.98039711,-0.058359836,1.24945725,-0.502272761,-0.006454905,0.334124984,-0.453799567,0.008929117,-0.637884709,0.172622165,1.043145248,-0.116346115,0.290906417,0.837901283,0.543839418,0.144947991,-0.092994279,0.505411091,0.357340715,-0.017744008,0.805850014,-0.48701356,-0.152811172,-0.071628694,0.3655891,0.050976606,-0.515183134,0.065522727,0.276921698,-0.201367388,-0.490389964,0.137439252,0.483372272,0.482028963,0.365589614,-0.169055607,0.672524329,0.052790611,-0.267546374,-0.283444447,0.137590876,0.06688038,-0.220892569,-0.14627001,-0.676386869,-0.635344449,-0.251173096,-0.132165852,-0.173224525,0.166948001,-0.056623712,0.293760262,0.026039539,-0.421196153,0.270978125,-0.120764063,-0.722446278,-0.050573418,0.013739648,0.274900892,0.229940756,0.351395393,0.053930483,0.029416412,-0.181638213,-0.140758804,0.116156265,-0.22025086,-0.269441778,-0.120429951,-0.201142222,0.110884247,0.071661469,-0.336645683,0.061020936,0.205227629,-0.26555039,0.039336394,-0.106144133,0.150444605,0.052097997,-0.08439481,0.066892651,0.194185336,-0.116727762,0.043644319,2.19E-16,Normal
GSM152843,-3.938014158,7.008747406,-1.140996845,-2.503707004,4.051785708,2.147048851,1.490480147,6.276595188,-1.009208955,0.340954879,1.290136039,-1.54154271,-0.216515105,0.235059448,-0.312010095,-1.884296975,1.142812119,-0.724975768,0.263402464,-2.477707772,-1.423778042,-2.886546487,2.939033412,1.245125847,-0.46101883,-1.454038083,0.942163445,0.286387393,-1.126473851,-1.283447795,0.481462527,1.202205495,-1.568627248,0.417880219,0.496764022,-1.315193306,-0.019289296,-0.739192659,2.216225685,0.790432074,-0.750298759,1.722356397,-0.925064679,0.568153978,0.966655644,0.246469257,-0.319660367,-0.025651843,0.665795233,-0.124673394,0.261514592,-0.123597513,1.881070184,0.488420139,-0.655221198,1.085158889,0.978669958,-1.873395035,-0.000250868,-1.646463985,-0.163968808,1.538027341,-0.167367812,-1.041475687,1.302579962,-0.177111653,-0.002800309,0.740959728,0.596500764,1.266715562,1.481099773,1.036230929,0.075553996,0.464149183,-0.202474303,-0.631978508,-0.021688791,0.742523036,0.527804677,0.344344073,-1.34903808,0.650977316,-0.456340362,0.319716766,0.354194407,-0.151530889,0.297572313,-0.799451808,-0.824427112,-0.185009894,-0.342129576,0.431601759,-0.484830717,-0.053726378,0.43498549,0.822935443,-0.467189935,-0.60443219,0.136929236,0.008485189,0.006139979,0.310056342,0.154507883,0.092869505,-0.381649742,-0.245759811,-0.248610617,0.027556824,1.10541419,0.391425433,-0.469160341,-0.208311837,-0.702467491,-0.278174026,-0.0119972,0.079110278,0.167266146,0.40821073,-0.338521664,-0.467575061,0.484082039,0.281270003,-0.190039069,0.520317264,-0.064875608,0.360071641,0.033593894,-0.003081325,-0.643165424,-0.354669824,-0.26257025,0.199592472,0.104792725,0.137699856,0.548684988,0.003992798,-0.054074303,0.143307025,0.169152053,-0.016455136,-0.283418498,0.218654103,0.202888461,0.030375396,0.279073351,0.189221457,0.313147868,0.124308927,0.406645596,0.039143799,-0.103831806,0.021077565,-0.279738399,-0.284504584,0.343773998,-0.160192965,0.216745832,-0.214872495,0.214044921,-0.223032022,-0.107394883,0.207081422,-0.079569378,-0.026426965,-1.22E-14,Normal
GSM152844,-13.95150923,-7.030474372,-14.72965066,-9.138683202,6.411990644,3.496037498,-6.886383474,-3.014517715,1.28658027,-3.445411299,2.029184835,2.726365751,-0.604995028,-4.219052042,-0.366587865,-2.833471171,2.048079616,-0.128267196,1.618418467,-1.923695015,1.738246742,-2.083296007,-1.448896842,1.131691092,-0.440662678,0.384176141,-0.152141599,-2.958033783,-2.208526935,-0.663227547,3.202211968,-1.217697697,0.319383189,-0.108645184,1.264951084,-0.348222847,-0.88905704,0.81952784,0.340901175,-0.247372951,-1.243544856,-1.120673368,0.181958817,-1.732312283,-1.251386759,1.029017782,-0.027688125,-0.589936797,-0.188733695,-0.734706151,-0.804507783,-0.262502317,-0.697887865,-1.443046418,0.910882883,-0.273671004,0.026911826,0.346056482,-0.624558241,0.72256411,0.323296444,-0.442232097,0.727960582,-0.687410798,-0.825366677,-0.937983462,-1.01323479,-0.050098463,1.475651161,0.16741612,-0.400110032,0.645088859,-0.913902496,-0.194108308,0.112636078,-0.785605392,-1.370208173,-0.111226279,0.47722209,-0.5170041,0.075704722,-0.100391809,0.403100592,-0.218574546,-0.046544431,-0.020886687,0.361442083,-0.367211463,0.105291477,-0.216647342,-0.012666165,-0.093658249,-0.624540333,-0.109449994,-0.002882114,-0.479328624,0.63503103,0.014502067,-0.105867638,0.197341875,-0.549581298,-0.065982036,0.092399208,0.485098527,0.308753147,0.096601911,-0.188704373,0.241941812,-0.263797617,-0.061776525,-0.127936287,0.167703321,0.110989708,-0.019027072,-0.038144152,-0.039929597,-0.483232775,-0.064712084,-0.06203888,-0.348375771,0.095630281,-0.104762977,0.11441914,0.106748635,0.313119557,-0.037464194,0.070840956,-0.099343741,-0.077525117,-0.054083423,-0.102688572,-0.046033289,-0.196892468,0.181245135,-0.074481242,-0.121332947,0.062058518,0.020881878,0.198771324,-0.099295673,0.099716813,-0.336620881,-0.095848118,-0.023212345,-0.003031855,0.228499962,0.181820399,-0.068619345,0.102759358,-0.016800907,-0.01643248,-0.060928237,0.082140231,-0.067697384,0.230696658,-0.031942158,-0.107262965,0.054756847,0.046604597,0.024500906,0.033902943,-0.123419488,0.045076469,-0.040146628,8.55E-15,Normal
GSM152845,5.704269365,-1.352448532,-8.021506301,3.390202792,-2.586264901,-3.69264289,3.380556433,3.953988867,-0.50131201,-1.902671203,2.848162833,1.377219083,-2.988495877,2.750802198,0.415977123,-1.328399877,0.434333567,0.581570914,-3.020376451,-0.18625898,-1.651130004,0.075626403,-2.352997739,-3.881835361,1.285516634,-1.355767024,0.622181101,0.243583608,0.205711906,-1.271032591,-0.64812674,-0.490390127,-2.462983529,-1.017403073,0.765833777,-0.182976208,0.410639215,1.310576153,-1.357331421,-2.010242782,0.051283684,-0.782723272,0.192681705,-0.813256721,1.172021767,-0.148991211,-0.72332114,0.057260976,0.341039562,-1.498927574,-1.085381043,0.943520562,2.242257618,-0.661086216,0.570508154,0.975539444,-0.826069366,1.207214215,0.505113426,0.532758622,0.537619206,-0.810669457,0.580501855,-0.026480352,0.416863182,0.233252587,0.238313136,1.085512195,0.705430909,0.589770808,1.407851587,-0.803169201,0.848325907,-0.377455814,0.720019505,0.550817302,0.41465033,-0.676058879,1.368404471,-0.460121736,0.742952812,-0.059203016,-0.146288703,0.015615622,-1.0600585,-0.521542566,-0.532281514,-0.406159249,0.164275513,0.757623468,-0.003589255,0.224006989,-0.248800366,0.626371092,0.512874245,-0.13862716,0.579410151,0.623116663,-0.716969066,0.263614194,-0.792005709,-0.546930257,0.278825532,0.334206362,-0.124216429,-0.622968784,0.434106454,-0.29842604,0.454863149,0.396697118,0.643057086,-0.426595791,-0.024366909,-0.108966965,-0.339687139,-0.298444597,0.00395852,0.065612376,-0.351020502,-0.676506693,-0.000928303,0.568716227,0.316638945,0.431234389,-0.174493984,0.230529999,0.067620856,-0.236351699,0.092461515,-0.040796281,0.27419208,0.111347313,-0.169378405,-0.151040943,0.195876666,0.026712733,0.542331747,-0.371288291,0.066975352,0.187137559,-0.130848493,-0.350909904,-0.696194058,-0.075068314,-0.071762312,0.105922339,0.402318624,-0.263317735,0.03639391,0.032007535,0.171719577,-0.080894536,0.053915443,0.066208243,-0.18137596,0.146030726,-0.005753242,0.124625305,-0.021693127,0.009504718,-0.02122342,0.048841231,-0.058274506,-0.149879101,8.67E-16,Normal
GSM152846,-5.094071876,-3.822324281,-7.69978288,1.626992445,0.920067087,-5.514871229,1.709462211,6.409035297,-2.896901459,-0.418443107,4.108365529,-0.148047928,1.079364507,3.328079823,2.692146763,-1.509586607,-3.989138802,-1.361135566,-0.667595969,-1.185418799,2.536821156,2.64399452,-0.654349015,0.834508051,-0.822826996,4.558885242,0.977362686,0.509745663,0.3915297,-2.449315839,1.345811956,-0.758644008,3.389433609,1.175353102,0.581498704,-2.527416765,-1.699025092,-0.070170481,1.726560918,2.268988827,0.277721712,-0.535786253,0.801353771,-0.714533606,-0.458384293,0.435248984,-2.714774141,-0.548525374,0.512314192,0.478717765,-0.246250888,0.707602283,0.009632501,0.596964015,-0.516407409,0.344983358,-1.18637222,-0.243444877,0.701100362,-0.681016572,-0.412033977,-0.125393727,1.026839717,0.473589454,-0.202141435,1.499007888,-0.048697511,-0.361131872,-0.22150503,-0.023871618,-1.382520607,-0.228111136,0.578312946,0.031626365,0.175167677,0.659643235,0.175724805,-0.152922841,0.311568256,-0.046683513,-0.504835752,-0.061968027,0.113508574,0.382231172,0.389930774,0.335397342,0.258897834,-0.254826747,-0.596138149,-0.268576173,-0.430975962,-0.090898618,-0.259797698,0.798686932,-0.027723127,-0.985956096,-0.294267215,-0.649011184,0.162308538,0.447012013,0.432912949,0.874405253,-0.341268788,-0.257952984,-0.125250908,-0.331253994,-0.277442069,0.539054179,-0.377929585,-0.000436834,-0.11956921,-0.326268859,-0.243572025,-0.022463268,0.05107002,0.446176711,0.396195308,-0.17255546,0.057655474,0.265002652,-0.76323694,0.002833186,-0.262664866,0.300994218,-0.081068573,-0.24838123,0.23177291,-0.018242017,-0.011204468,0.106043078,0.145707847,-0.121772815,-0.181490475,0.039798105,-0.098135733,-0.187489326,-0.211425675,0.068328976,-0.042642873,-0.309480868,0.228959723,-0.003809284,-0.124962355,0.130015269,-0.120211566,-0.087093963,0.018480676,-0.011106759,0.006212609,-0.004183764,-0.000839742,0.028247327,-0.03922261,0.087305596,-0.129435467,-0.035496022,0.035154036,-0.015389048,-0.044036164,-0.033873027,-0.106516777,0.027481067,0.000862575,0.000869135,-3.80E-15,Normal
GSM152847,-4.175783599,6.608842761,-0.944975804,0.796889579,-0.187921978,4.981602324,2.048309743,1.418376669,1.946387095,0.68088761,3.604598668,-4.897256937,1.615068201,-0.858316565,-2.158989925,0.027494037,-1.099702593,-1.435470117,-1.605609774,-1.94180068,2.353329219,0.813269848,-1.990457862,1.256542858,-0.651423548,-0.204432331,2.946757924,-2.161781014,-0.400957365,-2.513190479,0.145698468,-0.075111224,-1.594222571,-0.752814386,0.394292292,1.581942616,0.943093951,0.810124993,-1.805278182,-0.582495541,0.194462066,-0.479065683,-0.198927029,1.614472179,-1.162518041,-0.784128052,0.911919469,0.83244506,-0.359913732,1.612732825,-1.274382867,0.766266827,0.142936935,0.746997938,0.173883335,-1.125347466,-1.596757269,-0.228428465,0.252385725,-0.504569181,-0.351218083,0.888471169,-1.511549856,0.993260283,1.35014473,-1.209611599,1.531299116,0.888353441,0.382681289,-0.185659162,-0.447036121,0.224926327,0.808810807,-1.086320874,-0.584586793,-0.370263378,0.8758115,0.291960007,0.019903706,0.561467013,-0.101310852,0.295853269,0.88488031,0.370068141,0.171475111,0.662957475,-0.543735743,0.749111877,-1.374257861,0.553071179,-0.682478402,-0.854285474,-0.315403598,-0.555326857,-0.619179852,-0.49321889,0.469408089,0.030410861,0.33048389,0.608146962,0.212100482,0.262293763,-0.024313535,0.559298048,0.467690676,-0.626762589,0.003479768,0.531478423,-0.215369335,0.153043653,0.211982491,-0.237489376,0.3447724,0.687150682,-0.240132226,-0.71758182,-0.353514712,-0.119932502,-0.603513101,-0.023212684,0.030011218,0.293235189,0.679456643,0.248189095,-0.01857053,0.228799217,-0.386106477,0.510255852,0.224901608,-0.03039715,-0.160777239,-0.131623866,-0.081567095,0.112571692,-0.201338342,0.205573393,-0.31072456,0.209767928,-0.112756986,-0.24880721,-0.134870165,-0.057290713,0.323863732,-0.00593022,0.233132933,0.201904238,-0.09378736,0.01201967,-0.374285521,0.220836216,-0.03210984,-0.071591802,0.083885037,0.150567289,0.10993473,-0.048895784,0.019853925,-0.011021367,-0.053858561,0.205866407,-0.154509503,-0.31103169,-0.028286747,0.046140714,-1.27E-14,Normal
GSM152848,-3.684112081,6.751117083,-1.687296419,-0.340179161,5.073834012,-0.119955321,0.54137178,2.58992809,-0.672959796,-1.090724948,0.070025716,-1.522092855,-1.081072525,1.22654624,0.421472341,0.804916768,-0.722566492,-0.69041704,-1.255798754,2.239548153,-1.711789461,-1.040826277,1.307225398,-1.159983089,1.488201049,0.121287841,-1.091702864,1.438558094,-1.350131332,-0.972163479,1.929712736,2.113253733,1.443738316,-0.668915759,-1.605496875,-0.732992837,-1.90905021,-0.570401348,-2.517071938,-0.723161961,0.889866984,0.614218878,-0.029903935,-0.871905745,0.040921398,-0.955057054,1.677600387,-1.131088644,0.696363972,0.26856466,-1.199130803,2.011587218,-0.928702498,0.200228079,-0.172319327,0.055195984,-0.432859589,-0.005989081,-0.386804018,0.352874522,-0.144847387,-0.454588169,0.123918173,-0.997662879,-0.155525333,-1.433340507,-0.011560478,1.774396773,1.633771542,-0.741763189,0.44918347,-0.793294401,-0.77692357,0.150164947,-0.857688634,1.679637998,0.039932115,-0.587633465,-0.5184972,-0.282482125,-0.223655664,0.103565659,0.380230439,1.484142239,0.467347486,1.014042207,0.579976061,-0.242985708,-0.509055572,-0.468684016,0.204171334,-0.135690525,0.281475444,0.581798208,-0.354702446,1.049592287,-0.472363092,-0.419107201,-0.059443555,-1.484312017,-0.456916152,0.022705336,0.104385085,-0.045048368,0.724716506,0.747895477,-0.538382224,0.314211864,-0.12974073,0.353638727,-0.251157521,0.079934519,-0.038556086,0.013494152,0.090707763,-0.007905564,-0.459462745,-0.388298619,0.990580845,0.549568113,0.290785872,-0.130450268,0.069878357,-0.059223487,0.409198297,-0.193011906,-0.397455221,0.36926277,0.48125638,0.138996542,0.392083414,0.25976766,0.06700278,0.300116597,0.123411166,0.111273347,0.076358424,0.316194488,-0.168381127,0.318655562,0.224882362,0.171937942,-0.26526715,0.036286236,0.027359651,0.062989169,0.114405095,0.142887098,-0.356304855,0.211343823,-0.092869218,-0.135092339,0.062558132,0.029685114,0.036948869,-0.062245943,-0.03634951,-0.150199321,-0.308801775,0.078302246,-0.17495826,0.126938785,0.266494198,-0.286236373,-4.30E-15,Normal
