,PC1,PC2,PC10,PC82,PC130,CLASS
GSM152839,-4.284957361,4.183910886,-0.83387392,0.224400965,-0.047352921,Normal
GSM152840,-26.80918699,-14.29746092,5.907684575,-0.568153046,-0.31457539,Normal
GSM152841,-20.87593395,-10.70282956,2.419178105,-0.304493609,-0.021585354,Normal
GSM152842,-3.037169101,7.309246604,1.075295158,-0.502272761,0.293760262,Normal
GSM152843,-3.938014158,7.008747406,0.340954879,0.650977316,-0.354669824,Normal
GSM152844,-13.95150923,-7.030474372,-3.445411299,-0.100391809,-0.054083423,Normal
GSM152845,5.704269365,-1.352448532,-1.902671203,-0.059203016,-0.040796281,Normal
GSM152846,-5.094071876,-3.822324281,-0.418443107,-0.061968027,0.106043078,Normal
GSM152847,-4.175783599,6.608842761,0.68088761,0.295853269,-0.03039715,Normal
GSM152848,-3.684112081,6.751117083,-1.090724948,0.103565659,0.138996542,Normal
GSM152849,-3.115318017,4.478140713,-0.265071042,0.612676332,-0.498605951,Normal
GSM152850,-1.386139515,4.33493851,1.70509025,-1.018831356,0.28366374,Normal
GSM152851,-6.878203004,-1.931756845,-0.353145348,0.20543218,-0.249951369,Normal
GSM152852,-8.405829909,-6.459003957,-2.891007144,-0.493553845,-0.040331446,Normal
GSM152853,-18.07460522,-11.41967417,2.456608843,1.330810083,0.20579669,Normal
GSM152854,-7.541978669,-1.795368278,1.500615136,0.366981696,0.258078851,Normal
GSM152855,-9.010497097,-0.036768863,-1.533758649,-0.039820472,-0.276087334,Normal
GSM153238,3.678698219,5.308629213,5.262750219,-0.228042558,-0.353462454,Normal
GSM153239,-11.90599744,-4.830791943,1.504419271,-1.378635402,-0.080673272,Normal
GSM153240,-12.55066816,-0.293751849,-4.34696574,-0.370615333,0.376025892,Normal
GSM153241,-4.082000962,1.415028339,0.905722922,0.373748225,0.319118747,Normal
GSM153242,-7.376110035,-7.177674511,1.343173739,0.021725904,0.110880308,Normal
GSM153243,6.677518937,1.088569403,1.701554136,0.620772926,0.112507043,Normal
GSM153244,-5.094740692,-2.185007849,-0.335194849,0.231326713,-0.360598533,Normal
GSM153245,-15.08213426,-5.336027033,3.174019802,1.076631784,-0.036477623,Normal
GSM153246,-2.360200441,-0.371444908,5.212256675,-0.465108075,0.490841515,Normal
GSM153247,0.106511547,0.973692011,4.960234563,-2.193633904,0.22768941,Normal
GSM153248,2.194246196,5.867278086,2.621137701,-0.573899045,-0.008735276,Normal
GSM153249,-10.19794424,-0.619149943,-4.802124988,-0.025998369,-0.265743348,Normal
GSM153250,-3.774731875,7.092170581,-2.533022301,-0.053097805,-0.560613361,Normal
GSM153251,-4.636552657,-3.227128155,1.18086441,0.139964895,0.201136853,Normal
GSM153252,-9.648581127,3.842621774,0.603058466,-0.356883934,-0.078952752,Normal
GSM153253,-22.88053824,-7.734740517,1.057703658,0.053317664,-0.064902744,Normal
