ï..,GSM152839,GSM152840,GSM152841,GSM152842,GSM152843,GSM152844,GSM152845,GSM152846,GSM152847,GSM152848,GSM152849,GSM152850,GSM152851,GSM152852,GSM152853,GSM152854,GSM152855,GSM153238,GSM153239,GSM153240,GSM153241,GSM153242,GSM153243,GSM153244,GSM153245,GSM153246,GSM153247,GSM153248,GSM153249,GSM153250,GSM153251,GSM153252,GSM153253,GSM153254,GSM153255,GSM153256,GSM153257,GSM153258,GSM153259,GSM153260,GSM153261,GSM153262,GSM153263,GSM153264,GSM153265,GSM153266,GSM153267,GSM153268,GSM153269,GSM153270,GSM153271,GSM153272,GSM153273,GSM153274,GSM153275,GSM153276,GSM153277,GSM153278,GSM153279,GSM153280,GSM153281,GSM153282,GSM153283,GSM153284,GSM153285,GSM153286,GSM153287,GSM153288,GSM153289,GSM153290,GSM153291,GSM153292,GSM153293,GSM153294,GSM153295,GSM152906,GSM152907,GSM152908,GSM152909,GSM152910,GSM152911,GSM152912,GSM152913,GSM152914,GSM152915,GSM152916,GSM152917,GSM152918,GSM152919,GSM152920,GSM152921,GSM152922,GSM152923,GSM152924,GSM152925,GSM152926,GSM152927,GSM152928,GSM152929,GSM152930,GSM153054,GSM153055,GSM153056,GSM153057,GSM153058,GSM153059,GSM153060,GSM153061,GSM153062,GSM153063,GSM153064,GSM153065,GSM153066,GSM153067,GSM153068,GSM153069,GSM153070,GSM153071,GSM153072,GSM153073,GSM153074,GSM153075,GSM153076,GSM153077,GSM153078,GSM153079,GSM153080,GSM153081,GSM153082,GSM153083,GSM153084,GSM153085,GSM153086,GSM153087,GSM153088,GSM153089,GSM153090,GSM153091,GSM153092,GSM153093,GSM153094,GSM153095,GSM153096,GSM153097,GSM153098,GSM153099,GSM153100,GSM153101,GSM153102,GSM153103,GSM153104,GSM153105,GSM153106,GSM153107,GSM153108,GSM153109,GSM153110,GSM153111,GSM153112,GSM153113,GSM153114,GSM187532,GSM187533,GSM187534,GSM187535
48678_at,677.3,467.7,463.4,433,586,503.9,159.5,117.9,352.6,556,458,226,580.7,326.3,542.5,498.2,371.5,299.2,468.4,501.6,336.8,295,855.5,342,719.7,430.1,442.9,646.3,441.3,579,325.3,980.9,474.5,419.7,354.2,666.5,515.9,224.3,483.9,142.1,265.3,496.4,891.6,394.4,478.5,205,327.1,476.5,222.8,341.4,527.1,470.4,387.7,307.6,213.9,276,427.8,334.8,344.7,242.5,388.6,547.3,345.2,495.7,448.2,451.4,608.9,507.7,302.5,482.8,554.4,668.4,306.6,331,380.2,359.6,498.2,62.8,144.9,43.1,195.9,55,191.6,205.1,230.6,70,128.4,201.1,73.7,42.3,205.8,23.7,266.1,174.8,454,276,250.6,245,378.9,214.9,468.8,423.3,491.4,330.9,481.4,324.1,323.9,620.7,228.4,272,183.6,593,448.9,516.3,167.8,479.5,437.4,557.5,503.4,334.4,320.4,423.4,823.4,394.5,193.7,295.1,499,398.1,324.6,555.1,449.5,128.7,350.9,517.1,562.2,489.6,417.2,203.4,291.7,487.2,124.3,381,229,875.6,316.2,373.1,220.8,459.1,279.6,152.2,369.2,22.8,397.5,622,128,69.7,121.3,325.4,545.8,119.6,374.2,255,184.8,125.9,236.2
48684_at,454.3,25,112.3,685,518.2,126.1,23.4,108.1,47.7,246.4,453.2,179.1,623.7,209.8,41.6,389.7,238.4,34.3,152.1,92.1,661.7,113.4,219.1,894.9,225.6,252,306.4,244.1,1027.4,95.4,643,592.8,1092,85.3,656.6,1292.6,510.5,187.2,190.3,222.4,399.6,314.9,362.9,400.6,1116,207.3,671.3,114.1,567.7,425.5,257.1,614.3,74.6,332.8,825.7,283.9,712.1,793.5,1169.2,810.5,563,320.7,258.9,814.9,697.3,549.5,494.8,296.8,659.4,344.5,249.8,586.8,419.7,307.6,371.1,126.8,69.6,92,46.4,189.3,191.2,135.5,95.6,117.2,67.6,136.8,33.6,19.6,62.4,128.5,68.5,50,42.8,46.7,118.6,17.6,33.6,41,119,35,341.2,416.9,411.9,118.1,632.2,228.5,320.4,116.4,551.8,332.8,420.6,94.3,249.9,358,352.4,210.8,283.4,390.2,31.5,284.2,572.2,598.3,612.7,341.4,226,46.4,182.7,402.9,64.8,60.9,266.6,137.2,126.9,529.7,158,32.1,492.5,244.3,422.3,435.5,61.3,133.8,188.7,272.7,197.7,357.2,143.5,151.9,15.4,126,664.6,36.5,216.3,238.2,419.5,61.1,80.1,48.8,315.4,29.4,176,56,16.1,149.2,25
48746_at,1054.2,630.4,440.2,783.9,687.3,116,143.5,155.9,534.7,338.2,340.1,128,566.1,418.6,517.5,634.5,787.7,462.2,510.9,264.7,423.2,428.5,260.7,441.5,483,1254.5,435.8,355.7,635.1,306.9,481.4,318,660.5,266.3,897.9,850.1,768.2,535.7,472.6,441.9,892.6,633.3,653,556.7,744.5,339.5,614.3,757.6,291.3,498.3,517.7,792.2,409.7,544.7,536.7,706.1,450.5,311.7,478.9,596.1,672.2,680,627.1,739.5,493.1,331.8,495.5,444.5,661.4,567.9,267.1,464,827.1,508.2,582.2,167.4,125.3,117.3,109.1,85.8,261.1,121.1,149.3,201.7,446.5,294.2,238.1,465.5,682.5,129.4,277.2,79.7,268.4,287,236.5,94.7,202.9,154.2,122.7,152.2,350.4,862.5,524.1,573.3,847.2,745.4,150.7,158.9,248.3,530,566,84.2,315.7,442.6,679.1,897.1,335,505.6,92.3,461.8,697,482.2,457.9,459.4,636.6,459.1,681.8,590.1,1330.2,91.7,130.5,310.5,309.6,465.4,636.8,295.1,531.2,431.4,426.1,730.9,311.5,799.7,449.3,195.3,463.7,418.6,444.7,523.1,240.3,241.3,368.5,22.2,337.3,566.1,314,62.4,359.2,396.2,637.8,643.6,793.6,193,59.3,307.6,289.9
48749_at,166.7,414.3,389.2,143.8,216.8,283.8,231.4,133.1,215.7,220.8,165.9,226.7,243.6,13.7,294.8,212.8,260.7,40.2,269.9,213.2,240.8,186.4,173.9,147.3,233.6,343.9,194.1,43.9,236.5,174.6,252.9,199.6,362.2,82.4,336.7,151.8,297.2,110.5,133.2,14.3,73.7,336.7,243,124.6,151.1,172,243.3,379.8,241.8,122.1,228.1,290.2,180.4,197.6,134.5,190.1,228.1,93.2,274.3,358.6,219.8,270.8,128.8,219.1,275.4,254.4,408.8,276.6,177.4,324.5,171.4,270.8,182.8,176.7,136.2,67.4,171.4,158.5,24.4,63.4,33.3,151.9,147.9,123.3,72.5,171.7,87.2,107.7,108.1,113.6,136.2,165.9,146.8,94,51.4,143.3,123.3,80.9,50.8,88.4,136.2,144.2,203.2,277.6,96,102.6,26.5,115.4,14,66.5,107.1,166.1,139.6,162.3,296.5,319.3,171.7,333.1,161.1,124.7,196.8,198,224.2,123.9,27.6,100.8,122.7,85.7,81.1,54.4,117.1,117.6,51,112.8,149.4,195.7,225,144.3,127.9,240.7,68.9,150.1,85.8,128,169,236.9,199.8,211.3,101.8,134.2,180.4,1.2,91.7,103.1,227.6,137.3,125.9,94.1,91.1,104.2,374.2,25.2,72.4,132.3,53.9
48767_at,111.3,108.1,292.3,339.5,177.8,293.2,23.4,273,130.6,155.1,146.7,266.3,96.1,158.3,135.9,268.5,62.8,79.5,160.5,144.7,119.8,267.7,140.8,234.1,305.5,375.4,164.4,53.5,139.8,219.8,144.8,173.8,124.7,106.5,146.8,118.7,199,127.5,87,69.4,138.6,85.1,62.6,148.5,96.4,164.5,98.4,180.1,127,139.4,192.8,197.9,105.9,63.1,156.3,164,30.8,148.3,154.4,110.3,122.3,115.5,157.4,149.1,202.7,128.5,161.1,131.8,172.8,126.3,151,209.2,122.5,69.8,140.9,35.3,180.4,18.9,26.2,43.3,103.1,7.3,12.6,63.4,97.9,53.4,110.3,29.5,28.4,55.6,41.6,22.3,32.7,10.2,99.7,130.1,15.2,136.4,14.1,66.6,131.4,62.3,99.8,201.7,165.7,50.2,137.7,23.2,142,160.1,17.2,112.7,13.7,140.2,217.9,125.1,131.9,307.2,12.3,291.9,74.2,80,242,192.5,171,5,61.3,171.1,78.5,16.3,117.7,113.8,14.6,125.8,202.5,125.1,209,117.4,136.8,215,104.4,193.6,69.9,86.3,107.3,174.3,118.7,136.9,84.6,12.2,164.6,10.9,82.9,23.1,128.4,95,151.4,11.5,57.2,187,133.2,31.2,9.4,9.7,51.5
48777_at,1828.1,2147.7,2254.5,2892.4,2912.9,8060.3,482.4,1794.7,2067.2,1650.3,1565.7,1740.2,964.5,7556.7,3994.2,1322.8,1581.7,1101,1519.4,1657.3,738.9,276.3,573.5,496.6,934.6,1221.5,952.2,1560.2,1100.7,1559.1,407,1638.9,1245.4,856,1180.1,1951.3,1288.5,1236.6,2403,1597.6,1585.3,1577.3,1509.3,1887.9,2214.7,1643.1,1507.1,1500.1,1072.3,1627.9,1413.3,1515.9,1629.3,1300.7,1431.6,1284.4,1675.8,1711.4,750.5,978.5,1829.7,1806.4,1432.6,1533.4,1667.1,1445.1,958.3,999.9,1417,1279,1155.2,1155.1,1435.6,1077.1,1631.9,1093.7,1120.7,145.4,144.8,176.5,130.7,165.4,356.5,140.5,178.3,496.7,166.7,653.8,1262.9,752,136.6,216.7,927.8,926.1,384.2,993.5,189.6,1434.9,1298.5,376.5,1256,1236.9,1505.1,249.2,1090.2,1207.3,949.3,1049.6,572.3,1404.6,1611.9,1168.6,1664.2,1290.8,1758.8,1069.5,1876.9,1161.5,1248.5,1147.9,1495.3,1043.8,1561.2,1551.9,1361.7,1163.1,1830.5,1749,1568.7,1321,947.1,1216.6,1983.6,1109.6,1532.5,1196.1,1296,1301.9,1653.6,1510.9,599.6,1688.4,1681.4,1116.7,1100.6,1599.5,1451.3,1801.5,1233.4,1084.4,849,27.4,1524.5,1816,1287.6,825,2159.6,1399.6,1349.7,829.3,1066,134.5,123.3,625.3,1325.2
48883_at,2075.2,2637.8,3268.9,2503.3,2453.4,2707.9,932.8,1613.8,2307.2,2540.8,2164.1,2450.4,2467.5,2200.5,2595.5,1897.5,2265.5,2163.5,2227.1,2314.7,2346.1,1620.9,1383.3,1800,2821.8,1164.3,2117,2239.2,2224,2151,2480.9,2781.9,3816.6,2076.7,2695,2427.4,2608,1895.6,2335.6,2899.9,3242.2,3714.4,3257,2798.7,2589.5,2271.3,1986.6,3913.6,2577.5,1903.8,2169.8,2190.2,2013.8,2314.1,2208.5,2512,2467,3597.6,3036.5,2688.7,2961,2981.1,2114.7,2229.8,2693.5,2475.3,2938.8,2649,2288.5,2341.6,2422.5,2564.9,2505.3,2723.9,3872.8,869.2,1248.1,1188.8,1586.8,1090.1,1588,1120.1,1288.9,1728.8,1778.5,1273.6,1490.1,1911.9,1690.6,1477.9,1129.5,1222.1,1298.3,1395.8,1351.5,1226.8,1044,1364.8,1390.3,1250,1882.9,2123.5,2421.8,1503.8,1690.3,1205.9,1995.9,1685.7,1294.6,2140.8,1801.8,1228.5,2474.3,2039.6,2116.8,3120.4,1998.6,2540.8,2362.7,2227.2,1999.6,2155.4,2881.9,2481.1,2010.1,2266.4,3248,3160.5,2153.9,1722.8,2371.6,2465.3,1576,2222.5,1929.5,2810.8,2031.6,1940,2152.9,2043.3,2395.4,2838.8,2418.3,1920.2,2034.5,2616.1,2406.8,1917.7,1638.2,2318.7,2996.6,121.3,1754.5,1987.4,1820.7,1331.8,1936.2,1654.1,1669.6,2278.1,2077.1,1364,2146.7,2664.5,1912.1
48967_at,235,729.2,569.3,348.9,193.2,414.3,133.7,380.2,300.4,190.3,214.8,134.3,175.4,259.4,493.9,245.4,332.2,153.5,315.9,194.7,178.3,398.7,317.8,335.6,515.8,479.4,190.5,207.9,205.6,112.5,111,314.1,401.1,196.4,209,293,251,131.2,157.4,206.1,88.7,305.6,231.7,81,339.5,198.5,224.4,293.4,217.7,207.4,140.9,294.3,215.7,287.6,242.3,267.2,364,217.7,343,237.5,189.6,382.2,239.5,208.7,391.2,229.1,371.2,158.6,154.3,325.3,261.8,381.8,241.9,197.6,226.4,110,240.7,84.1,125.2,118.1,148.9,179.3,123,121.8,64.1,132.8,51.7,71.5,138.7,108.6,79,94.5,113,139.3,26.3,140.1,163.5,173.7,73.1,157.8,133.2,159.8,240.8,267.6,87.1,147.5,142.9,128.1,176.1,205.9,125,189.4,87.2,272.7,173.7,336.3,137,240.2,137.4,203.2,156.5,188.6,177,73.5,248.5,219.1,311.2,153.9,183.6,185.4,154,130.7,92.6,287.2,163.8,324.1,204.9,112.3,204.3,258.6,203.9,140,247.4,198.3,173.7,234,313.7,250.5,158.7,87.3,291.2,9.8,252.4,293.9,207.4,150.7,56.3,99,235.3,83,268.5,52.4,17.1,187.8,260.5
48980_at,180.3,1323.7,1972.4,450.9,341.2,1355.6,129.2,427.4,273.7,265.9,331.2,192.6,508,1634.9,1446.7,481,459,250.2,1027.9,515.4,296.7,1229.3,54.1,484.8,920.6,205.6,416.4,179.7,370.5,294.6,788,527,1289.3,293.7,617.5,384.1,511.5,122.9,80.7,24.6,338.6,946.5,325.7,177.6,1322.7,330.3,278.4,1182.8,282.5,372.7,265.1,462.7,348.5,338.5,249.9,406.4,515.3,66.1,560,628.4,713.8,879.3,307.2,434.4,854.1,486,638.7,465,234.4,690.9,345.8,664.6,272.3,368.1,734.1,130.2,1028.1,134.3,39.8,47.7,65.3,72.7,408.1,43,182.7,137.4,112.7,11.3,22.6,301.6,145.9,135,28.8,26.8,319.8,248.8,162.5,172.3,68.4,105,237.1,349.5,346.5,781,496.1,333.2,430.4,94.5,271.8,434.7,42.7,43,273.6,615.3,487.1,834.6,314.5,482,512.1,630,343.1,475.4,406.5,140.9,212.8,160.2,706.2,84.8,176.4,32.5,33.1,297.9,116.1,583.9,219.7,420.2,349,134.8,211.4,589.1,286.9,225.9,188.8,167.6,280.3,523.3,439.4,278.7,94.1,326.5,379.9,10.6,268.9,213,351.5,37.2,66,33.3,145.2,329,539.9,276.6,38.6,31.3,219
48993_at,732.4,387,629.9,1201.2,701.1,223.6,329.1,293.5,1251,741.9,803.6,566.7,615,421.5,429.6,629.3,658.5,1196.9,766.3,817.5,883.1,898,4372.9,1545.2,464.1,706.8,1222.6,1560.4,521.1,879.7,1036.6,951.2,617.5,876.4,928.4,660,454.1,949.3,958.5,1520.2,1310.7,797.7,907.9,1104.7,592.5,1219,993.6,348.3,1195.9,846.3,983.2,755.7,1327.1,1274.2,1051.2,789,584.4,1588.5,882.1,408.9,793.8,714,1226.9,762.7,650.1,988.5,663.8,989.1,783.9,846.7,745.6,554.7,717.9,982.3,869.4,975.5,1098.2,1547.7,618,1912.6,1379.1,1574.6,646.6,1435.3,1226.7,1672,1545.7,2261.1,961,1350.6,1599.6,1814.2,1483.3,1423.8,961.9,2380.3,1599.2,1175,1201.8,945.9,942.2,1001.7,668.1,1771.6,1393.8,1060.3,1150.4,2416.3,522.8,1469.2,952.8,1272.5,1343.5,762.2,1276.3,594.7,1136.3,2043.6,1881.1,2870.7,766.6,647.4,1345.4,1471.1,929.5,996.2,1210.3,834.5,1067.5,1591.9,1062.6,1402,1133.9,909.7,900,2157.3,1047.8,1614.7,1106.8,597.1,1304.2,1277.8,1220.4,1331.6,1292.4,821.6,939.7,1127.6,1006.5,1341,1132.7,39.5,858.4,794.5,1114.6,943.4,1160,931.9,1357,1414.2,749.5,1592.8,1799.9,1714.4,579.6
