"","Gene","p.value","Adjusted.p.value"
"1","48619_at",0.00353165325942367,0.0357576358035802
"2","48620_at",0.000185280028537581,0.00379748985556928
"3","48647_at",6.29895096995148e-06,0.000252877885606369
"4","48651_at",0.00206213160869959,0.0237718471500593
"5","48676_at",6.29432879611573e-05,0.00165484577870436
"6","48678_at",1.81390282157922e-06,9.23648160095877e-05
"7","48684_at",1.34366539820998e-07,1.17999948790024e-05
"8","48710_at",0.00159162748257365,0.0197912695620712
"9","48711_at",0.00140998439852341,0.0180264007460495
"10","48720_at",0.00390947252916959,0.0385040417475691
"11","48722_at",0.00331354036039157,0.0340122008096686
"12","48729_at",3.19878779100334e-05,0.000940220539221697
"13","48734_at",0.00310202195905309,0.0322865594190826
"14","48741_at",0.00179452073984817,0.0214089710152076
"15","48746_at",1.73007247525813e-06,8.96659693529275e-05
"16","48749_at",1.241657441891e-06,6.88684210971647e-05
"17","48751_at",9.97815766269054e-05,0.00234247159038495
"18","48763_at",0.00411325119648332,0.0400432445194212
"19","48767_at",9.27080942792595e-09,1.27433321766904e-06
"20","48774_at",9.36895938621771e-05,0.00224617996121255
"21","48776_at",0.000421148354931411,0.00725591566275562
"22","48777_at",2.16071726509931e-06,0.000104691304729678
"23","48779_at",0.00152625545625383,0.0191288666994905
"24","48793_at",0.000673140363405105,0.010343296519588
"25","48795_at",0.00280339413438438,0.029992996804928
"26","48814_at",8.32235909520856e-05,0.00205155074304108
"27","48821_at",0.000459121686954823,0.0077842423481549
"28","48832_at",7.76348816124737e-05,0.00194410042152741
"29","48833_at",0.00503198953810027,0.0472767754077385
"30","48840_s_at",0.00337365109080696,0.0345371323502222
"31","48841_at",0.00203262977457436,0.0235389483335869
"32","48883_at",2.20888723596264e-08,2.49407035589139e-06
"33","48898_at",0.00539805996912248,0.0496464482687439
"34","48904_at",0.000128555007245923,0.00285211688005605
"35","48913_at",5.03334912974604e-06,0.000212882050484175
"36","48926_at",2.69602808644338e-05,0.000827523572358326
"37","48928_at",3.32507311235423e-05,0.000968062228466848
"38","48956_at",6.90017336908072e-05,0.00177356895173567
"39","48959_at",0.00517382339133521,0.0481368945573323
"40","48965_at",0.00291784569077264,0.0308520707403936
"41","48967_at",5.24646774492182e-10,1.16021010639282e-07
"42","48971_at",6.08378342265136e-06,0.000245017596060029
"43","48980_at",1.30594998927302e-08,1.65150435643467e-06
"44","48988_at",0.000136249002669834,0.00297069808234951
"45","48990_at",0.0050954994266679,0.0475906098594108
"46","48993_at",3.38162154194302e-06,0.000156072941676684
"47","49000_at",3.01275917011965e-07,2.20227470897879e-05
"48","49009_at",9.70675123891843e-05,0.00230303144779292
"49","49011_at",0.00013298739063698,0.00291621567976984
"50","49017_at",0.00022622623086977,0.00446311531291593
"51","49023_r_at",0.000348716578648565,0.00629144021580132
"52","49038_at",2.12033173538043e-08,2.4156500113172e-06
"53","49054_at",8.78272669186752e-05,0.00215244887103404
"54","49063_at",2.19244541811768e-05,0.000700207614441748
"55","49068_at",0.00106720913748868,0.0145030815981935
"56","49073_at",7.04980384822934e-07,4.41345640914397e-05
"57","49080_at",7.6430706843714e-12,3.83654294955818e-09
"58","49087_at",0.000224416949673283,0.00445848323493634
"59","49091_at",0.00025176847771898,0.00483135685771506
"60","49100_at",0.000360498812569952,0.00645732009031107
"61","49112_at",2.42161251965581e-06,0.000115126736554765
"62","49140_at",1.47676677913775e-05,0.000499336702913798
"63","49173_at",3.29372730258161e-07,2.36661792434358e-05
"64","49175_at",6.7470693819939e-06,0.000265805107179735
"65","49177_at",0.00205152913843343,0.0236712020845156
"66","49183_at",0.00546019371496944,0.0499274112216222
"67","49188_at",0.00290868617906051,0.0308325611235534
"68","49189_g_at",6.25250815196105e-05,0.00165071436512943
"69","49208_at",0.00349678514262732,0.0354613832507338
"70","49216_at",0.000295831759279636,0.00551509328297338
"71","49217_g_at",0.000245782248408408,0.00475981977545595
"72","49231_r_at",0.000540554672600257,0.00884327864127147
"73","49255_at",9.72927359277565e-12,4.24263427083589e-09
"74","49265_g_at",0.00144361654910632,0.0182742491291277
"75","49268_at",1.20906387040408e-08,1.59268976095104e-06
"76","49278_g_at",6.66072970098901e-05,0.00172905559472806
"77","49279_s_at",0.000111733290091067,0.00255828882683551
"78","49280_s_at",8.57962852435328e-07,5.08549685182887e-05
"79","49295_f_at",1.0589511260475e-07,9.63416974100483e-06
"80","49310_s_at",9.03899634267421e-05,0.00220188510504276
"81","49326_at",0.00164084787119578,0.0202376008689278
"82","49334_at",0.000684189994835459,0.0104875959693203
"83","49354_at",0.000250314713273569,0.00481075967182
"84","49369_at",0.000480120380940808,0.00804185740049994
"85","49386_at",0.00255485098355241,0.0280213751413736
"86","49394_at",0.00156438380924057,0.0195293165366795
"87","49422_at",2.943881897139e-05,0.000886388820743327
"88","49493_at",5.93889808644176e-06,0.000240715721798534
"89","49497_f_at",0.00164764358974767,0.0202488832224966
"90","49508_at",0.00069357243427488,0.0105673698841447
"91","49551_at",1.5342458233894e-05,0.000516012571345275
"92","49558_at",6.36958216535321e-06,0.000253594138259135
"93","49569_at",0.000213955065947485,0.00428791721707114
"94","49599_at",0.00121948490880469,0.0160641730799418
"95","49605_g_at",0.000539402249697924,0.00883585602290148
"96","49633_at",0.000124952733532311,0.00279672967831789
"97","49664_s_at",0.00022944553101006,0.00451957661238818
"98","49666_s_at",6.41200425540995e-06,0.000254188732958979
"99","49669_r_at",1.24851643098496e-06,6.89464575818157e-05
"100","49690_at",0.000213765235322918,0.00428791721707114
"101","49695_i_at",0.00027225273479988,0.00516178123580103
"102","49714_at",0.000177087195362637,0.00367724905181594
"103","49728_s_at",4.03968168311672e-06,0.00018244933773105
"104","49746_at",0.00326134084981311,0.0335854367970168
"105","49749_at",1.76773736899614e-05,0.00057914007171827
"106","49764_g_at",0.00542101975518366,0.0497490680871209
"107","49769_at",4.14112137667938e-06,0.000185704329537189
"108","49791_s_at",0.00108292817439326,0.014649339343041
"109","49809_s_at",7.32872069708866e-05,0.00186852826482627
"110","49825_at",5.24734297505291e-08,5.26649994146977e-06
"111","49838_at",0.00183856331749559,0.0217905076973282
"112","49864_at",9.86273849472954e-06,0.000361519394215507
"113","49879_at",3.36008448458639e-06,0.000155646990447178
"114","49926_at",0.00195260164460626,0.022800185039419
"115","50058_at",4.40587964748969e-06,0.000194135031436079
"116","50084_at",0.000865502498093135,0.0124802104799154
"117","50104_at",0.00259146086511171,0.0283491471455041
"118","50107_s_at",9.94589632892333e-06,0.000363513887212614
"119","50123_at",1.02119499371191e-05,0.000370029567062486
"120","50127_g_at",1.4680872218534e-05,0.000497732734787081
"121","50144_at",0.00390595977770643,0.0384994289546965
"122","50164_at",0.00421304702226847,0.040826201259469
"123","50175_s_at",9.66131143212691e-05,0.00229655910471197
"124","50183_at",4.62361377941428e-05,0.00125742408289189
"125","50186_s_at",1.24943270982783e-05,0.000434074891441832
"126","50199_s_at",1.65772560642609e-05,0.000550225669786466
"127","50333_at",0.00492101324970998,0.0464411444446511
"128","50348_at",0.00229723532291159,0.0257771409880568
