"","Gene","p.value","Adjusted.p.value"
"1","48609_r_at",0.0761610426875463,0.295073759674531
"2","48610_at",0.0895917804093882,0.325000769368493
"3","48612_at",0.0944707110874883,0.335206681372721
"4","48613_at",0.00735398357069551,0.0607436160908004
"5","48615_at",0.524680153491513,0.789697981380712
"6","48617_at",0.575880346478283,0.816547751413747
"7","48619_at",0.00353165325942367,0.0357576358035802
"8","48620_at",0.000185280028537581,0.00379748985556928
"9","48622_at",0.0277432574748513,0.153742872053887
"10","48624_at",0.592129364737542,0.82483673775212
"11","48626_at",0.174005187266513,0.46776639574686
"12","48628_at",0.218455031257436,0.53034792192005
"13","48629_s_at",0.365075100129214,0.680935061391452
"14","48630_r_at",0.00605458991368461,0.0532820765820846
"15","48631_at",0.993204342365097,0.997872420029936
"16","48633_at",0.0108529053431362,0.0797477286282981
"17","48634_at",0.671002792277124,0.868455840412853
"18","48640_g_at",0.0406143011758061,0.19746576419425
"19","48643_r_at",0.884922000107229,0.960502038712611
"20","48645_at",0.069304023156952,0.278493383172169
"21","48647_at",6.29895096995148e-06,0.000252877885606369
"22","48649_at",0.447063338208979,0.738020909339215
"23","48651_at",0.00206213160869959,0.0237718471500593
"24","48654_r_at",0.290791128417161,0.610347653105962
"25","48656_at",0.259075788399552,0.577927750943858
"26","48657_at",0.992649964695971,0.997872420029936
"27","48659_at",0.353678753867666,0.670669784082212
"28","48662_at",0.254992098217967,0.572758450100251
"29","48664_at",0.949447577954044,0.986258753968034
"30","48666_at",0.0233731519440473,0.136714560353572
"31","48668_at",0.0373171239547447,0.187128427445557
"32","48670_at",0.0194628436336368,0.121484264852404
"33","48672_at",0.302184422633691,0.622266819182109
"34","48673_at",0.98145545555143,0.995866620468858
"35","48674_at",0.882943690016307,0.960385375925784
"36","48675_at",0.0481318776472968,0.219975048032977
"37","48676_at",6.29432879611573e-05,0.00165484577870436
"38","48677_at",0.272121919446543,0.59097609364949
"39","48678_at",1.81390282157922e-06,9.23648160095877e-05
"40","48679_at",0.405751651955535,0.709158027597433
"41","48680_at",0.49613653097064,0.772107133971784
"42","48682_at",0.0208319600782234,0.126789450058205
"43","48684_at",1.34366539820998e-07,1.17999948790024e-05
"44","48685_at",0.406922087663471,0.709784375254104
"45","48690_r_at",0.790374119162005,0.923674763165182
"46","48691_at",0.0535554339930026,0.236639419383477
"47","48692_at",0.0138716585658565,0.0946686423226232
"48","48694_at",0.10148856834601,0.349458467729676
"49","48695_at",0.0704432764331347,0.281001300995113
"50","48698_at",0.130345995514459,0.400617298918396
"51","48699_at",0.227414876304242,0.540993517009602
"52","48700_at",0.295728414080828,0.615399296440045
"53","48702_r_at",0.491158783588448,0.768978251739206
"54","48705_at",0.302170190525445,0.622266819182109
"55","48707_at",0.615218787065783,0.839338695918151
"56","48708_at",0.497998566055451,0.773862111862525
"57","48709_at",0.220783060570148,0.533337647367734
"58","48710_at",0.00159162748257365,0.0197912695620712
"59","48711_at",0.00140998439852341,0.0180264007460495
"60","48712_s_at",0.680617955070066,0.87315042098885
"61","48714_r_at",0.883274825117098,0.960437956872813
"62","48718_at",0.581785631835304,0.819692375497969
"63","48720_at",0.00390947252916959,0.0385040417475691
"64","48722_at",0.00331354036039157,0.0340122008096686
"65","48723_at",0.344427242407134,0.662984304018262
"66","48726_at",0.195499517795779,0.498780165624861
"67","48728_r_at",0.0992448546937775,0.344919578010295
"68","48729_at",3.19878779100334e-05,0.000940220539221697
"69","48731_at",0.946856589167771,0.984854730379766
"70","48732_at",0.325081908300811,0.645670773106966
"71","48733_at",0.898093512854431,0.965756000302478
"72","48734_at",0.00310202195905309,0.0322865594190826
"73","48735_i_at",0.107602509389566,0.359984479825517
"74","48736_f_at",0.036615836353784,0.184995551949641
"75","48737_at",0.445883697137864,0.738020909339215
"76","48738_at",0.305500542888329,0.624794418629996
"77","48739_at",0.0180736456503702,0.115550719360253
"78","48741_at",0.00179452073984817,0.0214089710152076
"79","48743_at",0.680904885175327,0.87315042098885
"80","48744_g_at",0.0442737342088084,0.208601208198432
"81","48746_at",1.73007247525813e-06,8.96659693529275e-05
"82","48749_at",1.241657441891e-06,6.88684210971647e-05
"83","48751_at",9.97815766269054e-05,0.00234247159038495
"84","48753_at",0.356671077020626,0.67420963228742
"85","48754_at",0.0816466413168756,0.307375586180386
"86","48756_at",0.432857217502222,0.730829422234059
"87","48759_r_at",0.518329918099328,0.785891457861349
"88","48762_r_at",0.00559477090418279,0.0506451461260372
"89","48763_at",0.00411325119648332,0.0400432445194212
"90","48764_at",0.0629673430424958,0.262713632502607
"91","48765_s_at",0.343610008000406,0.662374670624633
"92","48766_at",0.305391346964065,0.624794418629996
"93","48767_at",9.27080942792595e-09,1.27433321766904e-06
"94","48769_at",0.897289904326533,0.965420146827215
"95","48770_at",0.0483994026223894,0.220402897213805
"96","48771_at",0.624188078061797,0.844749905381295
"97","48772_at",0.423225319852289,0.723345551839263
"98","48773_at",0.298095335280361,0.617783285800631
"99","48774_at",9.36895938621771e-05,0.00224617996121255
"100","48775_at",0.992090053390468,0.997872420029936
"101","48776_at",0.000421148354931411,0.00725591566275562
"102","48777_at",2.16071726509931e-06,0.000104691304729678
"103","48778_at",0.121676528742886,0.387938986272081
"104","48779_at",0.00152625545625383,0.0191288666994905
"105","48780_at",0.127198935672275,0.395874914771794
"106","48782_at",0.790267609279038,0.923674763165182
"107","48784_at",0.307424630248912,0.627461000536405
"108","48785_at",0.0661440309098108,0.271880146173097
"109","48787_g_at",0.3102423383496,0.631571894843697
"110","48788_at",0.275404391080898,0.59442893439412
"111","48789_at",0.023280189403691,0.136468479488568
"112","48791_at",0.00574229609939451,0.0515014726758461
"113","48792_at",0.586518714230362,0.822023236191638
"114","48793_at",0.000673140363405105,0.010343296519588
"115","48795_at",0.00280339413438438,0.029992996804928
"116","48797_at",0.540499634637143,0.799329944312668
"117","48798_at",0.00751964559050963,0.0616349229891536
"118","48799_at",0.693970775478501,0.880398995409656
"119","48800_at",0.0362055887849577,0.183362385172037
"120","48801_at",0.649970142965315,0.857908921777571
"121","48803_at",0.46845603670582,0.754661788558191
"122","48804_r_at",0.130970776443275,0.401030614746164
"123","48806_at",0.146147854930643,0.426728685700531
"124","48808_at",0.416344223111121,0.717762620735245
"125","48810_at",0.229049159581034,0.542934521473619
"126","48812_at",0.27801721246861,0.59721516372992
"127","48814_at",8.32235909520856e-05,0.00205155074304108
"128","48815_at",0.775615181138694,0.919654077539991
"129","48816_g_at",0.106126964084169,0.356877601715471
"130","48817_at",0.0104428042195724,0.0780494693621233
"131","48818_s_at",0.834595899948686,0.942179945612487
"132","48819_at",0.0947734936047213,0.335809918779856
"133","48820_at",0.818983023247534,0.937221846186934
"134","48821_at",0.000459121686954823,0.0077842423481549
"135","48823_at",0.0703723730787842,0.281000640970731
"136","48825_at",0.0915620120274645,0.328615069323273
"137","48827_at",0.174106504714062,0.467860360946457
"138","48828_at",0.0298570457595347,0.161852806358155
"139","48830_r_at",0.207400605558758,0.514272168214912
"140","48832_at",7.76348816124737e-05,0.00194410042152741
"141","48833_at",0.00503198953810027,0.0472767754077385
"142","48835_s_at",0.215063119528506,0.525340585195575
"143","48837_at",0.247599846025881,0.563865955851485
"144","48840_s_at",0.00337365109080696,0.0345371323502222
"145","48841_at",0.00203262977457436,0.0235389483335869
"146","48846_s_at",0.0821242824379422,0.308356198251252
"147","48849_i_at",0.690349237195262,0.87810867567605
"148","48850_r_at",0.920239380483557,0.974815480448573
"149","48852_at",0.26212457111908,0.581344673162379
"150","48853_at",0.149875187043794,0.432524330295713
"151","48857_at",0.247938649928617,0.564276958359003
"152","48858_at",0.0767810558315505,0.296118704497038
"153","48860_at",0.230374904858325,0.544335652952091
"154","48861_at",0.0123433503745612,0.0868858071627223
"155","48866_at",0.0187780360690941,0.118911889899732
"156","48867_at",0.0525731758608091,0.233687304722598
"157","48869_g_at",0.0273834097926613,0.152416637428695
"158","48872_at",0.559690053009071,0.806959344470723
"159","48873_at",0.058689756151274,0.250994472874201
"160","48875_at",0.260963725805399,0.579583294087649
"161","48881_at",0.00828917154753267,0.0660025695301052
"162","48883_at",2.20888723596264e-08,2.49407035589139e-06
"163","48884_at",0.0281834952612007,0.155636891298316
"164","48894_s_at",0.168863792500753,0.461220630661884
"165","48895_at",0.0137725756420377,0.0941448603076805
"166","48897_at",0.997913866575786,0.999178048829564
"167","48898_at",0.00539805996912248,0.0496464482687439
"168","48899_at",0.823269438896781,0.938694916985726
"169","48900_at",0.838942537610116,0.943958513554555
"170","48901_at",0.00549443041571478,0.0501317222490109
"171","48902_at",0.00842060131435632,0.066721130464505
"172","48904_at",0.000128555007245923,0.00285211688005605
"173","48906_at",0.0074726783873101,0.0614431020064522
"174","48908_r_at",0.259713037783219,0.578532865211659
"175","48909_at",0.618019892149219,0.84118999434156
"176","48911_at",0.0872761584986724,0.319893735858945
"177","48913_at",5.03334912974604e-06,0.000212882050484175
"178","48916_at",0.89208029222457,0.963468048122975
"179","48917_at",0.0258266534503998,0.146196893255934
"180","48920_at",0.960531813565896,0.990203359644743
"181","48923_at",0.906286949280948,0.969899184599502
"182","48924_r_at",0.195512263344515,0.498780165624861
"183","48926_at",2.69602808644338e-05,0.000827523572358326
"184","48928_at",3.32507311235423e-05,0.000968062228466848
"185","48929_at",0.00878537828070028,0.06892052961398
"186","48931_at",0.861057647547727,0.952579390332303
"187","48933_at",0.425515977938219,0.724919177826581
"188","48944_r_at",0.404756196309095,0.708351350473958
"189","48946_at",0.549501119370961,0.802423920965956
"190","48948_i_at",0.0262479347875494,0.148051464461798
"191","48951_f_at",0.759139671270545,0.913162777788196
"192","48953_at",0.739739739706715,0.903004364682346
"193","48955_at",0.0701891420667002,0.280944502618829
"194","48956_at",6.90017336908072e-05,0.00177356895173567
"195","48959_at",0.00517382339133521,0.0481368945573323
"196","48961_at",0.961266558612913,0.990287773356981
"197","48963_at",0.0141119352126353,0.0955996665288434
"198","48965_at",0.00291784569077264,0.0308520707403936
"199","48967_at",5.24646774492182e-10,1.16021010639282e-07
"200","48971_at",6.08378342265136e-06,0.000245017596060029
"201","48977_s_at",0.605639685032825,0.833579940280315
"202","48980_at",1.30594998927302e-08,1.65150435643467e-06
"203","48983_at",0.743382582988918,0.905055949213233
"204","48984_at",0.555854674282726,0.805265714941265
"205","48986_r_at",0.178965834489433,0.475356963913247
"206","48988_at",0.000136249002669834,0.00297069808234951
