"","Gene","p.value","Adjusted.p.value"
"1","48609_r_at",0.0761610426875463,1
"2","48610_at",0.0895917804093882,1
"3","48612_at",0.0944707110874883,1
"4","48613_at",0.00735398357069551,1
"5","48615_at",0.524680153491513,1
"6","48617_at",0.575880346478283,1
"7","48619_at",0.00353165325942367,1
"8","48620_at",0.000185280028537581,1
"9","48622_at",0.0277432574748513,1
"10","48624_at",0.592129364737542,1
"11","48626_at",0.174005187266513,1
"12","48628_at",0.218455031257436,1
"13","48629_s_at",0.365075100129214,1
"14","48630_r_at",0.00605458991368461,1
"15","48631_at",0.993204342365097,1
"16","48633_at",0.0108529053431362,1
"17","48634_at",0.671002792277124,1
"18","48640_g_at",0.0406143011758061,1
"19","48643_r_at",0.884922000107229,1
"20","48645_at",0.069304023156952,1
"21","48647_at",6.29895096995148e-06,0.0796565339660064
"22","48649_at",0.447063338208979,1
"23","48651_at",0.00206213160869959,1
"24","48654_r_at",0.290791128417161,1
"25","48656_at",0.259075788399552,1
"26","48657_at",0.992649964695971,1
"27","48659_at",0.353678753867666,1
"28","48662_at",0.254992098217967,1
"29","48664_at",0.949447577954044,1
"30","48666_at",0.0233731519440473,1
"31","48668_at",0.0373171239547447,1
"32","48670_at",0.0194628436336368,1
"33","48672_at",0.302184422633691,1
"34","48673_at",0.98145545555143,1
"35","48674_at",0.882943690016307,1
"36","48675_at",0.0481318776472968,1
"37","48676_at",6.29432879611573e-05,0.795980819556795
"38","48677_at",0.272121919446543,1
"39","48678_at",1.81390282157922e-06,0.0229386150816908
"40","48679_at",0.405751651955535,1
"41","48680_at",0.49613653097064,1
"42","48682_at",0.0208319600782234,1
"43","48684_at",1.34366539820998e-07,0.00169919926257634
"44","48685_at",0.406922087663471,1
"45","48690_r_at",0.790374119162005,1
"46","48691_at",0.0535554339930026,1
"47","48692_at",0.0138716585658565,1
"48","48694_at",0.10148856834601,1
"49","48695_at",0.0704432764331347,1
"50","48698_at",0.130345995514459,1
"51","48699_at",0.227414876304242,1
"52","48700_at",0.295728414080828,1
"53","48702_r_at",0.491158783588448,1
"54","48705_at",0.302170190525445,1
"55","48707_at",0.615218787065783,1
"56","48708_at",0.497998566055451,1
"57","48709_at",0.220783060570148,1
"58","48710_at",0.00159162748257365,1
"59","48711_at",0.00140998439852341,1
"60","48712_s_at",0.680617955070066,1
"61","48714_r_at",0.883274825117098,1
"62","48718_at",0.581785631835304,1
"63","48720_at",0.00390947252916959,1
"64","48722_at",0.00331354036039157,1
"65","48723_at",0.344427242407134,1
"66","48726_at",0.195499517795779,1
"67","48728_r_at",0.0992448546937775,1
"68","48729_at",3.19878779100334e-05,0.404518704050282
"69","48731_at",0.946856589167771,1
"70","48732_at",0.325081908300811,1
"71","48733_at",0.898093512854431,1
"72","48734_at",0.00310202195905309,1
"73","48735_i_at",0.107602509389566,1
"74","48736_f_at",0.036615836353784,1
"75","48737_at",0.445883697137864,1
"76","48738_at",0.305500542888329,1
"77","48739_at",0.0180736456503702,1
"78","48741_at",0.00179452073984817,1
"79","48743_at",0.680904885175327,1
"80","48744_g_at",0.0442737342088084,1
"81","48746_at",1.73007247525813e-06,0.0218784965221143
"82","48749_at",1.241657441891e-06,0.0157020000101535
"83","48751_at",9.97815766269054e-05,1
"84","48753_at",0.356671077020626,1
"85","48754_at",0.0816466413168756,1
"86","48756_at",0.432857217502222,1
"87","48759_r_at",0.518329918099328,1
"88","48762_r_at",0.00559477090418279,1
"89","48763_at",0.00411325119648332,1
"90","48764_at",0.0629673430424958,1
"91","48765_s_at",0.343610008000406,1
"92","48766_at",0.305391346964065,1
"93","48767_at",9.27080942792595e-09,0.000117238656025552
"94","48769_at",0.897289904326533,1
"95","48770_at",0.0483994026223894,1
"96","48771_at",0.624188078061797,1
"97","48772_at",0.423225319852289,1
"98","48773_at",0.298095335280361,1
"99","48774_at",9.36895938621771e-05,1
"100","48775_at",0.992090053390468,1
"101","48776_at",0.000421148354931411,1
"102","48777_at",2.16071726509931e-06,0.0273244305344459
"103","48778_at",0.121676528742886,1
"104","48779_at",0.00152625545625383,1
"105","48780_at",0.127198935672275,1
"106","48782_at",0.790267609279038,1
"107","48784_at",0.307424630248912,1
"108","48785_at",0.0661440309098108,1
"109","48787_g_at",0.3102423383496,1
"110","48788_at",0.275404391080898,1
"111","48789_at",0.023280189403691,1
"112","48791_at",0.00574229609939451,1
"113","48792_at",0.586518714230362,1
"114","48793_at",0.000673140363405105,1
"115","48795_at",0.00280339413438438,1
"116","48797_at",0.540499634637143,1
"117","48798_at",0.00751964559050963,1
"118","48799_at",0.693970775478501,1
"119","48800_at",0.0362055887849577,1
"120","48801_at",0.649970142965315,1
"121","48803_at",0.46845603670582,1
"122","48804_r_at",0.130970776443275,1
"123","48806_at",0.146147854930643,1
"124","48808_at",0.416344223111121,1
"125","48810_at",0.229049159581034,1
"126","48812_at",0.27801721246861,1
"127","48814_at",8.32235909520856e-05,1
"128","48815_at",0.775615181138694,1
"129","48816_g_at",0.106126964084169,1
"130","48817_at",0.0104428042195724,1
"131","48818_s_at",0.834595899948686,1
"132","48819_at",0.0947734936047213,1
"133","48820_at",0.818983023247534,1
"134","48821_at",0.000459121686954823,1
"135","48823_at",0.0703723730787842,1
"136","48825_at",0.0915620120274645,1
"137","48827_at",0.174106504714062,1
"138","48828_at",0.0298570457595347,1
"139","48830_r_at",0.207400605558758,1
"140","48832_at",7.76348816124737e-05,0.981770712871343
"141","48833_at",0.00503198953810027,1
"142","48835_s_at",0.215063119528506,1
"143","48837_at",0.247599846025881,1
"144","48840_s_at",0.00337365109080696,1
"145","48841_at",0.00203262977457436,1
"146","48846_s_at",0.0821242824379422,1
"147","48849_i_at",0.690349237195262,1
"148","48850_r_at",0.920239380483557,1
"149","48852_at",0.26212457111908,1
"150","48853_at",0.149875187043794,1
"151","48857_at",0.247938649928617,1
"152","48858_at",0.0767810558315505,1
"153","48860_at",0.230374904858325,1
"154","48861_at",0.0123433503745612,1
"155","48866_at",0.0187780360690941,1
"156","48867_at",0.0525731758608091,1
"157","48869_g_at",0.0273834097926613,1
"158","48872_at",0.559690053009071,1
"159","48873_at",0.058689756151274,1
"160","48875_at",0.260963725805399,1
"161","48881_at",0.00828917154753267,1
"162","48883_at",2.20888723596264e-08,0.000279335879859836
"163","48884_at",0.0281834952612007,1
"164","48894_s_at",0.168863792500753,1
"165","48895_at",0.0137725756420377,1
"166","48897_at",0.997913866575786,1
"167","48898_at",0.00539805996912248,1
"168","48899_at",0.823269438896781,1
"169","48900_at",0.838942537610116,1
"170","48901_at",0.00549443041571478,1
"171","48902_at",0.00842060131435632,1
"172","48904_at",0.000128555007245923,1
"173","48906_at",0.0074726783873101,1
"174","48908_r_at",0.259713037783219,1
"175","48909_at",0.618019892149219,1
"176","48911_at",0.0872761584986724,1
"177","48913_at",5.03334912974604e-06,0.0636517330947684
"178","48916_at",0.89208029222457,1
"179","48917_at",0.0258266534503998,1
"180","48920_at",0.960531813565896,1
"181","48923_at",0.906286949280948,1
"182","48924_r_at",0.195512263344515,1
"183","48926_at",2.69602808644338e-05,0.34093971181163
"184","48928_at",3.32507311235423e-05,0.420488745788316
"185","48929_at",0.00878537828070028,1
"186","48931_at",0.861057647547727,1
"187","48933_at",0.425515977938219,1
"188","48944_r_at",0.404756196309095,1
"189","48946_at",0.549501119370961,1
"190","48948_i_at",0.0262479347875494,1
"191","48951_f_at",0.759139671270545,1
"192","48953_at",0.739739739706715,1
"193","48955_at",0.0701891420667002,1
"194","48956_at",6.90017336908072e-05,0.872595924253948
"195","48959_at",0.00517382339133521,1
"196","48961_at",0.961266558612913,1
"197","48963_at",0.0141119352126353,1
"198","48965_at",0.00291784569077264,1
"199","48967_at",5.24646774492182e-10,6.63468311022814e-06
"200","48971_at",6.08378342265136e-06,0.0769355251628491
"201","48977_s_at",0.605639685032825,1
"202","48980_at",1.30594998927302e-08,0.000165150435643467
"203","48983_at",0.743382582988918,1
"204","48984_at",0.555854674282726,1
"205","48986_r_at",0.178965834489433,1
"206","48988_at",0.000136249002669834,1
"207","48990_at",0.0050954994266679,1
"208","48991_at",0.718057501208477,1
"209","48993_at",3.38162154194302e-06,0.0427639860194114
"210","48994_at",0.159859571115314,1
"211","48996_at",0.789801837787653,1
"212","48998_at",0.239652713088829,1
"213","49000_at",3.01275917011965e-07,0.00380993524653332
"214","49001_at",0.484897500995069,1
"215","49003_at",0.258453897980157,1
"216","49005_at",0.363322439676281,1
"217","49006_s_at",0.0262816849262862,1
"218","49007_at",0.5561433143297,1
"219","49009_at",9.70675123891843e-05,1
"220","49011_at",0.00013298739063698,1
"221","49013_at",0.631186824649072,1
"222","49015_at",0.14733214017983,1
"223","49017_at",0.00022622623086977,1
"224","49018_at",0.730094761774053,1
"225","49023_r_at",0.000348716578648565,1
"226","49025_at",0.0578186576402607,1
"227","49027_at",0.152470438872435,1
"228","49030_s_at",0.504830490708901,1
"229","49032_at",0.0709657336380486,1
"230","49034_at",0.439697426986477,1
"231","49036_s_at",0.722223476631995,1
"232","49038_at",2.12033173538043e-08,0.000268137151256209
"233","49040_at",0.874647146227512,1
"234","49042_at",0.257571205342961,1
"235","49044_at",0.252041856817597,1
"236","49047_r_at",0.121195644928926,1
"237","49049_at",0.877385415840964,1
"238","49051_g_at",0.00669522865134446,1
"239","49054_at",8.78272669186752e-05,1
"240","49056_at",0.649429404234819,1
"241","49057_g_at",0.112286490558805,1
"242","49058_at",0.741088003862604,1
"243","49059_at",0.344405760378838,1
"244","49061_at",0.26572756404239,1
"245","49063_at",2.19244541811768e-05,0.277256647575162
"246","49065_at",0.585737930234824,1
"247","49067_at",0.490364742599702,1
"248","49068_at",0.00106720913748868,1
"249","49071_at",0.64833531695208,1
"250","49073_at",7.04980384822934e-07,0.00891518194647082
"251","49077_at",0.11853828668672,1
"252","49080_at",7.6430706843714e-12,9.66542718745607e-08
"253","49082_at",0.0113736314908144,1
"254","49085_at",0.822177624335716,1
"255","49087_at",0.000224416949673283,1
"256","49090_at",0.018002902954759,1
"257","49091_at",0.00025176847771898,1
"258","49093_at",0.0378404380606349,1
"259","49095_at",0.319317378476609,1
"260","49097_at",0.269172458418423,1
"261","49100_at",0.000360498812569952,1
"262","49102_at",0.98170598795912,1
"263","49110_s_at",0.120635588807883,1
"264","49112_at",2.42161251965581e-06,0.0306237119235674
"265","49113_s_at",0.597820174555973,1
"266","49115_s_at",0.979990912008423,1
"267","49121_at",0.179643045318258,1
"268","49135_s_at",0.312311296063414,1
"269","49136_at",0.679285533019191,1
"270","49138_s_at",0.0139665205085572,1
"271","49139_r_at",0.188766936808023,1
"272","49140_at",1.47676677913775e-05,0.18675192688976
"273","49141_at",0.175589427082971,1
"274","49143_s_at",0.103925298211722,1
"275","49144_at",0.831938594276061,1
"276","49146_at",0.141485763500702,1
"277","49149_at",0.210439111225828,1
"278","49151_s_at",0.0828650569749186,1
"279","49152_r_at",0.149596419757476,1
"280","49155_s_at",0.9589890441789,1
"281","49157_at",0.341741530589216,1
"282","49159_at",0.116897880910942,1
"283","49166_f_at",0.681357738398828,1
"284","49167_at",0.229756848233716,1
"285","49169_at",0.614668894125807,1
"286","49172_at",0.769544803829846,1
"287","49173_at",3.29372730258161e-07,0.00416524754684471
"288","49175_at",6.7470693819939e-06,0.0853234394046948
"289","49177_at",0.00205152913843343,1
"290","49178_at",0.793565173789348,1
"291","49180_s_at",0.0384236141406889,1
"292","49181_at",0.0915251049786508,1
"293","49182_s_at",0.0383698687804878,1
"294","49183_at",0.00546019371496944,1
"295","49186_g_at",0.0159252301708059,1
"296","49188_at",0.00290868617906051,1
"297","49189_g_at",6.25250815196105e-05,0.790692180896995
"298","49191_at",0.835486229063859,1
"299","49196_at",0.442252268716811,1
"300","49205_g_at",0.988228429524737,1
"301","49206_at",0.460470317752273,1
"302","49207_at",0.332451692586759,1
"303","49208_at",0.00349678514262732,1
"304","49209_at",0.0269921159385125,1
"305","49213_s_at",0.248627217895974,1
"306","49214_s_at",0.103534952950881,1
"307","49215_s_at",0.563855240172265,1
"308","49216_at",0.000295831759279636,1
"309","49217_g_at",0.000245782248408408,1
"310","49218_s_at",0.685045838715997,1
"311","49220_s_at",0.646067699818688,1
"312","49223_s_at",0.589152742940418,1
"313","49230_i_at",0.893721624107747,1
"314","49231_r_at",0.000540554672600257,1
"315","49232_at",0.745203328838794,1
"316","49233_at",0.587571002136133,1
"317","49235_at",0.153035285346168,1
"318","49236_at",0.449721533794417,1
"319","49238_g_at",0.337534152629542,1
"320","49240_at",0.975278404463637,1
"321","49249_s_at",0.790885789845545,1
"322","49250_at",0.0129653500581922,1
"323","49253_g_at",0.574118334431935,1
"324","49255_at",9.72927359277565e-12,1.23036393854241e-07
"325","49257_at",0.024808646907454,1
"326","49265_g_at",0.00144361654910632,1
"327","49266_at",0.608653538765654,1
"328","49268_at",1.20906387040408e-08,0.0001528982170513
"329","49269_at",0.361915249183751,1
"330","49270_at",0.362462826246456,1
"331","49271_at",0.731766457553005,1
"332","49272_at",0.0187519748338496,1
"333","49275_g_at",0.559298536100145,1
"334","49276_at",0.262825698938925,1
"335","49277_at",0.224925254708771,1
"336","49278_g_at",6.66072970098901e-05,0.842315877987071
"337","49279_s_at",0.000111733290091067,1
"338","49280_s_at",8.57962852435328e-07,0.0108497982318972
"339","49281_r_at",0.231841641554944,1
"340","49283_at",0.188451017552215,1
"341","49285_f_at",0.225472636778132,1
"342","49288_s_at",0.443853314589321,1
"343","49289_s_at",0.468296891544203,1
"344","49290_s_at",0.795435555605936,1
"345","49291_r_at",0.466698429060888,1
"346","49292_s_at",0.170383738417715,1
"347","49293_s_at",0.452801948039156,1
"348","49295_f_at",1.0589511260475e-07,0.00133914959399967
"349","49304_r_at",0.615502193446263,1
"350","49307_s_at",0.712125286485049,1
"351","49310_s_at",9.03899634267421e-05,1
"352","49311_r_at",0.76503570114598,1
"353","49312_at",0.184497856394005,1
"354","49313_g_at",0.458518844205093,1
"355","49319_s_at",0.589803013815288,1
"356","49324_s_at",0.501598519773294,1
"357","49326_at",0.00164084787119578,1
"358","49329_at",0.12546445855106,1
